
[00:00:00.000 --> 00:00:02.760]  我們繼續查考《尼希米記》
[00:00:02.760 --> 00:00:05.480]  為什麼我會來查《尼希米記》呢?
[00:00:05.480 --> 00:00:10.360]  因為我相信很多人對《舊約》其實不是太大的興趣
[00:00:10.360 --> 00:00:13.720]  特別有時候人名我們覺得很煩
[00:00:13.720 --> 00:00:14.880]  就會跳了它
[00:00:14.880 --> 00:00:17.680]  但其實裡面有很多寶貴的教導
[00:00:17.680 --> 00:00:22.520]  所以想和大家去看整卷的《尼希米記》
[00:00:22.520 --> 00:00:24.960]  這次我們講到第五次了
[00:00:24.960 --> 00:00:29.320]  上一次我們看到敵人包圍著它
[00:00:29.440 --> 00:00:31.040]  它們四面楚歌
[00:00:31.040 --> 00:00:34.960]  它們要來建造城牆保護自己的時候
[00:00:34.960 --> 00:00:38.000]  但被敵人用不同的方法去攻擊
[00:00:38.000 --> 00:00:40.920]  它們去藐視它、笑它
[00:00:40.920 --> 00:00:42.720]  提了五個問題
[00:00:42.720 --> 00:00:46.440]  就說到你們這些軟弱的猶太人
[00:00:46.440 --> 00:00:49.680]  你們是不是想憲制?挑戰它們的信仰
[00:00:49.680 --> 00:00:53.200]  就說到你以為你現在做這些事情這麼容易成功嗎?
[00:00:53.200 --> 00:00:54.840]  那就挫他們的銳氣
[00:00:54.840 --> 00:00:57.480]  真真假假到最後的時候就說到
[00:00:57.600 --> 00:00:59.600]  你們那些是豆腐渣工程
[00:00:59.600 --> 00:01:03.120]  狐狸走上去那些牆都會倒塌
[00:01:03.120 --> 00:01:04.680]  嘲弄它們
[00:01:04.680 --> 00:01:07.200]  但是果效不太大的時候
[00:01:07.200 --> 00:01:09.720]  於是就運一些人進去
[00:01:09.720 --> 00:01:12.440]  然後做一些殺戮的工作
[00:01:12.440 --> 00:01:14.040]  使得它們內亂
[00:01:14.040 --> 00:01:20.640]  但是我們看到尼希米如何應付這些外敵的入侵
[00:01:20.640 --> 00:01:24.120]  它們第一就是自己好好的準備
[00:01:24.120 --> 00:01:27.120]  就是一隻手拿兵器、一隻手拿鋤頭
[00:01:27.360 --> 00:01:30.120]  去警醒和互相之間去守望
[00:01:30.120 --> 00:01:32.600]  最重要是什麼呢?它們是專心
[00:01:32.600 --> 00:01:38.120]  不會被那些東西引誘到或者誘惑到或者迷惑到
[00:01:38.120 --> 00:01:39.160]  是專心工作
[00:01:39.160 --> 00:01:42.200]  所以成長很快就慢慢的建立了
[00:01:42.200 --> 00:01:44.960]  我們留意到一件事就是
[00:01:44.960 --> 00:01:47.000]  如果外敵入侵
[00:01:47.000 --> 00:01:51.800]  有時候是會使得那些人有更強的凝聚力的
[00:01:51.800 --> 00:01:53.560]  但是
[00:01:53.560 --> 00:01:55.680]  最大一個問題是什麼呢?
[00:01:55.680 --> 00:01:58.960]  我們看到無論是歷史或者過去
[00:01:58.960 --> 00:02:00.520]  甚至教會
[00:02:00.520 --> 00:02:03.200]  有時候產生的問題是什麼呢?
[00:02:03.200 --> 00:02:05.360]  不是因為外面的人的迫害
[00:02:05.360 --> 00:02:06.680]  這個會有
[00:02:06.680 --> 00:02:08.920]  但是最大的破壞性
[00:02:08.920 --> 00:02:10.760]  就是內部的分化
[00:02:10.760 --> 00:02:12.200]  內部的分裂
[00:02:12.200 --> 00:02:14.200]  甚至是產生了內訌
[00:02:14.200 --> 00:02:19.160]  帶來的衝擊或者困難就非常大了
[00:02:19.160 --> 00:02:21.520]  所以外面的攻擊
[00:02:21.520 --> 00:02:22.960]  我們容易去抵擋
[00:02:23.320 --> 00:02:26.240]  但是內部的混亂
[00:02:26.240 --> 00:02:28.640]  是很難撥亂歸正的
[00:02:28.640 --> 00:02:30.080]  或者
[00:02:30.080 --> 00:02:32.880]  兩者的攻擊表達方式不同
[00:02:32.880 --> 00:02:35.000]  但是同樣是很無情
[00:02:35.000 --> 00:02:37.080]  以及難以叫人忍受的
[00:02:37.080 --> 00:02:39.000]  內部分裂
[00:02:39.000 --> 00:02:40.680]  同樣是囚敵
[00:02:40.680 --> 00:02:43.440]  那一個魔鬼的工作
[00:02:43.440 --> 00:02:45.800]  如果我們看過去的歷史
[00:02:45.800 --> 00:02:48.120]  你說日本打中國
[00:02:48.120 --> 00:02:50.880]  南京大屠殺
[00:02:50.880 --> 00:02:52.600]  也死了幾十萬人
[00:02:52.920 --> 00:02:54.640]  但是死人最多是什麼時候呢?
[00:02:54.640 --> 00:02:56.320]  原來是文化大革命
[00:02:56.320 --> 00:02:57.120]  是不是?
[00:02:57.120 --> 00:02:59.520]  死了數以千萬計的人
[00:02:59.520 --> 00:03:01.640]  所以我們一定要看一看
[00:03:01.640 --> 00:03:03.840]  這一段的聖經今次
[00:03:03.840 --> 00:03:05.840]  就是在第五章裡面
[00:03:05.840 --> 00:03:10.040]  究竟他們產生什麼內部分裂
[00:03:10.040 --> 00:03:12.400]  然後我們再看尼希米
[00:03:12.400 --> 00:03:15.320]  怎麼去面對這些事情
[00:03:15.320 --> 00:03:18.120]  最後我們會去探討
[00:03:18.120 --> 00:03:19.760]  內部分化的危機
[00:03:19.760 --> 00:03:21.400]  第一件事就是
[00:03:21.400 --> 00:03:22.840]  當中有些人
[00:03:23.080 --> 00:03:25.640]  感覺到是很不公平
