
[00:00:00.000 --> 00:00:02.520]  大兄姊妹 主內平安
[00:00:02.520 --> 00:00:06.840]  很高興再一次和大家在一個港台的見面
[00:00:06.840 --> 00:00:08.320]  始終那些不習慣
[00:00:08.320 --> 00:00:10.200]  因為都不是一個實體的崇拜
[00:00:10.200 --> 00:00:13.360]  期望這個疫症就很快結束
[00:00:13.360 --> 00:00:16.280]  就可以再一次大家回到教會
[00:00:16.280 --> 00:00:18.440]  我們一起可以親熱一下 是不是?
[00:00:18.440 --> 00:00:22.640]  但是想起都不知道神的計劃會是怎樣
[00:00:22.640 --> 00:00:27.000]  因為這場的疫症真的是一直持續著
[00:00:27.000 --> 00:00:31.520]  有些地方可能又會覺得現在好像好一點了
[00:00:31.520 --> 00:00:33.120]  放寬一點
[00:00:33.120 --> 00:00:36.680]  一放寬又好像疫情又差了
[00:00:36.680 --> 00:00:37.960]  看回今天的新聞
[00:00:37.960 --> 00:00:40.240]  這個南韓就是這樣
[00:00:40.240 --> 00:00:42.560]  就是放寬了幾天
[00:00:42.560 --> 00:00:44.640]  那個疫症又要高了
[00:00:44.640 --> 00:00:46.640]  真的都挺可怕的
[00:00:46.640 --> 00:00:49.200]  經過四個月這個疫症
[00:00:49.200 --> 00:00:53.760]  大家知道今天全球那個的感染的
[00:00:53.760 --> 00:00:56.320]  就是確診的人數是超過400萬
[00:00:56.320 --> 00:00:59.160]  我們知道只不過是確診而已
[00:00:59.160 --> 00:01:01.960]  有很多人是患了病是不知道
[00:01:01.960 --> 00:01:05.440]  有些人患了病可能因為可能症狀不是明顯
[00:01:05.440 --> 00:01:06.960]  也都沒有測試過
[00:01:06.960 --> 00:01:10.400]  死亡人數更加是驚人
[00:01:10.400 --> 00:01:14.280]  超過差不多38萬 差不多40萬人
[00:01:14.280 --> 00:01:16.600]  而我們英國就真的是重災區
[00:01:16.600 --> 00:01:19.840]  整個歐洲來說我們是第一重災區
[00:01:19.840 --> 00:01:21.720]  死亡人數是超過3萬
[00:01:21.720 --> 00:01:23.240]  這是保守估計
[00:01:23.240 --> 00:01:28.680]  所以真的使得我們除了靠我們的神之外
[00:01:28.680 --> 00:01:32.320]  我們人真的沒什麼可以做到
[00:01:32.320 --> 00:01:35.400]  經過這個所謂戒嚴
[00:01:35.400 --> 00:01:37.160]  六個星期了
[00:01:37.160 --> 00:01:39.320]  我們經常都
[00:01:39.320 --> 00:01:40.800]  人們開始悶了
[00:01:40.800 --> 00:01:42.160]  經常在家裡就叫悶
[00:01:42.160 --> 00:01:49.080]  但是我們真的要想一下那個大一點的圖畫
[00:01:49.080 --> 00:01:50.280]  就是每一天
[00:01:50.280 --> 00:01:51.480]  這個疫症仍然很嚴重
[00:01:51.480 --> 00:01:55.560]  每一天仍然是有很多人是睡在醫院那裡
[00:01:55.560 --> 00:01:56.960]  睡在ICU
[00:01:56.960 --> 00:01:59.360]  有很多人是離開這個世界
[00:01:59.360 --> 00:02:01.280]  也是很年輕的都有
[00:02:01.280 --> 00:02:03.840]  所以我們只能夠做一個公民的責任
[00:02:03.840 --> 00:02:06.400]  就是我們聽我們的政府指示
[00:02:06.400 --> 00:02:08.720]  這個指示未必一定是對的
[00:02:08.720 --> 00:02:11.680]  因為從來沒試過有這麼大型的
[00:02:11.680 --> 00:02:13.480]  這麼恐怖的疫症
[00:02:13.480 --> 00:02:16.160]  在近代世界是沒有的
[00:02:16.160 --> 00:02:19.760]  所以我們都不可以太怪我們的政府
[00:02:19.760 --> 00:02:21.760]  究竟我們
[00:02:21.760 --> 00:02:24.360]  不可以太怪他們做的事情是否正確
[00:02:24.360 --> 00:02:26.040]  其實他們都在摸索
[00:02:26.040 --> 00:02:28.400]  所以我們只能夠跟足去做
