
[00:00:00.000 --> 00:00:04.360]  我挑戰你一件事,你回去從頭到尾看《李美記》看一次
[00:00:04.360 --> 00:00:08.220]  假設《李美記》是講敬拜的
[00:00:08.220 --> 00:00:11.880]  其實你不用假設,大家都知道是講敬拜的
[00:00:11.880 --> 00:00:14.340]  很多人說《舊約聖經》哪一本講敬拜?
[00:00:14.340 --> 00:00:17.120]  我知道,是《詩篇》
[00:00:17.120 --> 00:00:20.420]  《詩篇》就不是你胡亂去解釋
[00:00:20.420 --> 00:00:24.920]  我們不是很快,我希望可以很快地跟你講《詩篇》
[00:00:24.920 --> 00:00:33.400]  因為現在在66本書中,被人解釋得最糟糕的就是《詩篇》
[00:00:33.400 --> 00:00:36.500]  因為《詩篇》你喜歡怎麼解釋都可以
[00:00:36.500 --> 00:00:40.860]  如果你用《詩篇》來做敬拜,你就麻煩了
[00:00:40.860 --> 00:00:44.700]  因為你的敬拜會成為以人為中心的敬拜
[00:00:44.700 --> 00:00:49.820]  因為《詩篇》經常都說,主啊,我啊,惡人啊,我是異人啊,什麼什麼的
[00:00:49.820 --> 00:00:53.920]  於是你代入了,於是你用了《詩篇》來做敬拜
[00:00:53.920 --> 00:00:59.060]  但是你的敬拜會變成什麼?以人為中心
[00:00:59.060 --> 00:01:05.120]  假設你不用《詩篇》,你以《利未記》做敬拜
[00:01:05.120 --> 00:01:08.460]  你得到的是什麼?以上帝為中心的
[00:01:08.460 --> 00:01:15.060]  你會發現,在《利未記》裡面,所有的東西與你無關
[00:01:15.060 --> 00:01:16.620]  所有的敬拜與你無關
[00:01:16.620 --> 00:01:21.300]  當然你要去俯伏在上帝面前,上帝不用與你俯伏
[00:01:21.300 --> 00:01:24.440]  但是如果我們這個世代沒有了《利未記》
[00:01:24.440 --> 00:01:28.280]  沒有了上帝的聖潔,沒有了對上帝的敬畏
[00:01:28.280 --> 00:01:34.820]  那麼我們的上帝就變成了聖誕老人
[00:01:34.820 --> 00:01:36.220]  聖誕老人
[00:01:36.220 --> 00:01:38.480]  有什麼問題呢?問題就大了
