
[00:00:00.000 --> 00:00:05.620]  今天要和大家講「使徒恨傳」第十三章和第十四章
[00:00:05.620 --> 00:00:07.440]  我給他們一個很有趣的題目
[00:00:07.440 --> 00:00:11.460]  叫做「先知、神蹟和神的道」
[00:00:11.460 --> 00:00:16.620]  究竟「先知、神蹟和神的道」有什麼關係呢?
[00:00:16.620 --> 00:00:20.000]  其實今天的題目是從第十三章至第十四章
[00:00:20.000 --> 00:00:21.860]  一個首尾的結構
[00:00:21.860 --> 00:00:26.180]  令我看到的題目就是這三樣東西
[00:00:26.180 --> 00:00:30.020]  這三樣東西有什麼作用呢?
[00:00:30.020 --> 00:00:33.860]  跟早期的福音侍功是很有關係的
[00:00:33.860 --> 00:00:35.960]  就算我們今天的教會
[00:00:35.960 --> 00:00:40.200]  跟我們的教會的侍功也是息息相關
[00:00:40.200 --> 00:00:43.520]  有一個叫做Henry Martin
[00:00:43.520 --> 00:00:46.960]  肯尼馬丁的一個宣教士
[00:00:46.960 --> 00:00:50.080]  他曾經去到印度和波斯
[00:00:50.080 --> 00:00:53.080]  他說基督的靈是宣教的精神
[00:00:53.080 --> 00:00:58.180]  我們越接近基督就會變成越強的宣教士
[00:00:58.180 --> 00:01:02.820]  我相信這句話不單止是跟宣教士說話
[00:01:02.820 --> 00:01:05.360]  每一個基督徒都是一樣
[00:01:05.360 --> 00:01:07.380]  當我們越接近基督
[00:01:07.380 --> 00:01:08.820]  越來越像耶穌基督
[00:01:08.820 --> 00:01:11.180]  我們自然有這個負擔
[00:01:11.180 --> 00:01:12.660]  去傳福音
[00:01:12.660 --> 00:01:15.780]  自然對大使命有負擔
[00:01:15.780 --> 00:01:18.580]  你看我們是否接近耶穌基督
[00:01:18.580 --> 00:01:21.380]  看看我們有沒有這樣的負擔
[00:01:21.380 --> 00:01:22.860]  我們就知道
[00:01:22.860 --> 00:01:23.860]  今天我們見到
[00:01:23.860 --> 00:01:27.420]  蘇羅和巴拿巴正是有這樣的負擔
[00:01:27.420 --> 00:01:33.460]  是將福音開始傳給當時所認識的世界
[00:01:33.460 --> 00:01:35.660]  在羅馬書的十五章十九節
[00:01:35.660 --> 00:01:36.500]  保羅說
[00:01:36.500 --> 00:01:40.580]  「甚至我從耶路撒冷直轉到伊利利古
[00:01:40.580 --> 00:01:44.380]  到處傳了基督的福音」
[00:01:44.380 --> 00:01:46.980]  在使徒行者的十三至二十八章
[00:01:46.980 --> 00:01:51.060]  是記錄當時古代的地理
[00:01:51.060 --> 00:01:53.700]  教會開始由耶路撒冷
[00:01:53.700 --> 00:01:55.980]  福音傳到去撒瑪利亞
[00:01:55.980 --> 00:01:57.500]  去到大馬式
[00:01:57.500 --> 00:01:59.980]  去到凱撒利亞
[00:01:59.980 --> 00:02:02.940]  接著是敘利亞的安提瓦
[00:02:02.940 --> 00:02:05.460]  使徒行者裡面起碼有
[00:02:05.460 --> 00:02:08.860]  告訴我們有四十個不同的城市
[00:02:08.860 --> 00:02:13.340]  只是在書十三和十四章裡面使徒行者
[00:02:13.340 --> 00:02:18.300]  路加醫生已經說了有六個城市
[00:02:18.300 --> 00:02:20.740]  今天這個旅程
[00:02:20.740 --> 00:02:22.820]  使徒行者的十三章、十四章
[00:02:22.820 --> 00:02:25.140]  是保羅的第一個旅程
[00:02:25.140 --> 00:02:28.580]  開始是由敘利亞的安提瓦
[00:02:28.580 --> 00:02:31.980]  而結束也是安提瓦這個地方
[00:02:31.980 --> 00:02:36.220]  使徒行者的十三章是一個很大的轉捩點
[00:02:36.220 --> 00:02:37.700]  到目前為止
[00:02:37.700 --> 00:02:41.420]  所有的事工都是圍繞著耶路撒冷
[00:02:41.420 --> 00:02:43.620]  但是從十三章開始
