
[00:00:00.000 --> 00:00:03.140]  當我接到這個訊息的時候
[00:00:03.140 --> 00:00:05.520]  《民訴記》第十九章
[00:00:05.520 --> 00:00:07.520]  我就很感恩
[00:00:07.520 --> 00:00:08.560]  為了港督堂感恩
[00:00:08.560 --> 00:00:12.540]  能夠用一段長的時間
[00:00:12.540 --> 00:00:15.820]  來看《民訴記》
[00:00:15.820 --> 00:00:18.320]  因為《民訴記》都頗為出名的
[00:00:18.320 --> 00:00:20.120]  出名就是
[00:00:20.120 --> 00:00:22.360]  出到埃及出不到《民訴記》
[00:00:22.360 --> 00:00:24.060]  都頗為出名的
[00:00:24.060 --> 00:00:25.960]  我覺得港督堂的定念詞
[00:00:25.960 --> 00:00:28.880]  一定是很熟稔成熟的人
[00:00:28.880 --> 00:00:31.420]  去一路去看這個《民訴記》
[00:00:31.420 --> 00:00:33.440]  今天這個《民訴記》第十九章
[00:00:33.440 --> 00:00:34.340]  如果有聖經
[00:00:34.340 --> 00:00:38.540]  無論是紙的聖經或者是電子的聖經
[00:00:38.540 --> 00:00:40.380]  你都可以打開第十九章
[00:00:40.380 --> 00:00:42.740]  今天會講一到二十二節
[00:00:42.740 --> 00:00:47.800]  命題是「神對死亡的答案」
[00:00:47.800 --> 00:00:51.620]  其實我有兩個可能的題目
[00:00:51.620 --> 00:00:53.340]  一個題目
[00:00:53.340 --> 00:00:57.600]  就是我想星期六早堂
[00:00:57.600 --> 00:00:59.360]  星期六晚五堂和今天早堂
[00:00:59.360 --> 00:01:01.200]  是講聖潔的神
[00:01:01.200 --> 00:01:05.000]  因為當中有一組字出現了很多
[00:01:05.000 --> 00:01:06.340]  另外一個題目
[00:01:06.340 --> 00:01:08.080]  當我祈禱的時候
[00:01:08.080 --> 00:01:11.480]  我嘗試用這個角度來看
[00:01:11.480 --> 00:01:15.240]  就是上帝是一個生命的主
[00:01:15.240 --> 00:01:17.020]  當然上帝也是聖潔的主
[00:01:17.020 --> 00:01:18.640]  亦都講到不潔淨的當中
[00:01:18.640 --> 00:01:22.560]  看一看在第十九章第一到第三節
[00:01:22.560 --> 00:01:26.360]  「耶和華分佈摩西和亞倫說
[00:01:26.360 --> 00:01:28.500]  耶和華所吩咐的律法中
[00:01:28.500 --> 00:01:30.920]  其中一條律例是這樣說的
[00:01:30.920 --> 00:01:34.760]  要吩咐以色列人把一頭健康
[00:01:34.760 --> 00:01:36.120]  沒有殘疾
[00:01:36.120 --> 00:01:38.680]  未曾富額的紅毛牛
[00:01:38.680 --> 00:01:40.800]  牽到你這裡來
[00:01:40.800 --> 00:01:42.880]  交給以利亞撒濟斯
[00:01:42.880 --> 00:01:45.400]  他要把牛牽到營外
[00:01:45.400 --> 00:01:50.560]  人就在他們面前把牛宰了」
[00:01:50.560 --> 00:01:53.360]  第十九章一開始很明顯
[00:01:53.360 --> 00:01:55.560]  就是耶和華吩咐摩西和亞倫
[00:01:55.560 --> 00:01:57.040]  有一條律例
[00:01:57.040 --> 00:02:00.680]  那條律例就是黃色的字
[00:02:00.680 --> 00:02:07.000]  要留意黃色的字有「紅毛牛」
[00:02:07.000 --> 00:02:09.560]  在舊約當中提到的「紅毛牛」
