
[00:00:00.000 --> 00:00:10.000]  「錄音或錄影的版權是屬於基督教宣導會不各堂所有,
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本,
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友。
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權,請勿轉錄或剪輯本錄音或錄影。
[00:00:24.000 --> 00:00:30.000]  甚願好像使徒行傳二十章三十二節下所講:
[00:00:30.000 --> 00:00:36.000]  「這道能建立你們,叫你們和一切誠誠的人同得基業。」
[00:00:36.000 --> 00:00:44.000]  從前有兩兄弟,他們是年糕來的,
[00:00:44.000 --> 00:00:47.000]  從小到大都是黏在一起的。
[00:00:47.000 --> 00:00:51.000]  某一年的農曆新年終於有人帶了他們回家了,
[00:00:51.000 --> 00:00:58.000]  負責烹飪的人很小心地將他們切開,放進鍋裡煎香。
[00:00:58.000 --> 00:01:02.000]  這兩兄弟從來沒有試過分開,
[00:01:02.000 --> 00:01:09.000]  當然也沒有試過被煎香的時候熱辣辣、軟綿綿、香噴噴的感覺。
[00:01:09.000 --> 00:01:14.000]  不知道你們信不信,不過他們就覺得很興奮了,
[00:01:14.000 --> 00:01:18.000]  哥哥就跟弟弟說「High Five!」
[00:01:18.000 --> 00:01:23.000]  於是他們又再黏在一起了。
[00:01:23.000 --> 00:01:27.000]  分享這個中學時期到現在的冷笑話,
[00:01:27.000 --> 00:01:31.000]  其實是因為今天的主題是「連結一起」。
[00:01:31.000 --> 00:01:36.000]  年糕的質地是很自然地會連結一起的,
[00:01:36.000 --> 00:01:38.000]  不過人就不是年糕,
[00:01:38.000 --> 00:01:44.000]  要和其他人連結一起,有時我們也不是很情願。
[00:01:44.000 --> 00:01:48.000]  教會似乎是一個很注重關係的地方,
[00:01:48.000 --> 00:01:54.000]  但是注重關係又不代表關係一定是好和緊密的。
[00:01:54.000 --> 00:01:59.000]  面對著愛不下的人,要處理棘手的關係,
[00:01:59.000 --> 00:02:03.000]  或者經歷過人際關係上的傷害,
[00:02:03.000 --> 00:02:07.000]  這些都可能讓人對建立關係卻步,
[00:02:07.000 --> 00:02:13.000]  更何況理想的教會和團體關係是如此親密,
[00:02:13.000 --> 00:02:17.000]  亦需要投放這麼多心力去建立呢?
[00:02:17.000 --> 00:02:22.000]  那麼麻煩,為何教會要叫人連結一起呢?
[00:02:22.000 --> 00:02:27.000]  希望這段經文能帶給我們一些適切的提醒。
[00:02:27.000 --> 00:02:33.000]  哥倫多前書開頭的這一部分可以分為兩個段落,
[00:02:33.000 --> 00:02:37.000]  一至三節是保羅向哥倫多教會的文案,
[00:02:37.000 --> 00:02:42.000]  而四至九節是保羅為哥倫多教會感恩的內容。
[00:02:42.000 --> 00:02:46.000]  這個書信開頭的格式在其他的新約書信,
[00:02:46.000 --> 00:02:50.000]  和當時希臘羅馬世界絕大部分的書信都是會用到的。
[00:02:50.000 --> 00:02:57.000]  我們讀經的時候可能都會對這些新約書信引言的部分輕輕帶過就算了,
[00:02:57.000 --> 00:03:00.000]  不會花太多時間去咀嚼這些內容。
[00:03:00.000 --> 00:03:05.000]  不過保羅其實在這本書花了一些心思,
[00:03:05.000 --> 00:03:13.000]  將整封信一些重要的議題在這裏已經預先做好鋪排。
[00:03:13.000 --> 00:03:18.000]  為何說大家未必會花太多時間留意書信的引言呢?
[00:03:18.000 --> 00:03:25.000]  其中一個原因可能是因為在經文的用語上沒有太多突出的字眼,
[00:03:25.000 --> 00:03:28.000]  沒甚麼記憶點,沒甚麼突出的東西大家記得。
[00:03:28.000 --> 00:03:34.000]  大家猜猜剛才讀經的時候,其實出現得最多的是哪個字眼?
[00:03:36.000 --> 00:03:37.000]  嗯,是基督。
[00:03:37.000 --> 00:03:41.000]  在一至九節裏面,基督這個詞語出現了十次,
[00:03:41.000 --> 00:03:44.000]  在原文是少一次的,出現了九次。
[00:03:44.000 --> 00:03:51.000]  大家可能覺得在聖經裏面出現基督這個字眼其實很平常,沒甚麼值得留意。
[00:03:51.000 --> 00:03:57.000]  不過其實在新約,平均每十四點三節才會提到一次基督,
[00:03:57.000 --> 00:04:03.000]  而在哥林多前書裏面是平均每六點九節才提到一次基督。
[00:04:03.000 --> 00:04:09.000]  在這段就是平均每一節提到一次基督。
[00:04:09.000 --> 00:04:14.000]  所以保羅在這裏刻意強調主耶穌基督,
[00:04:14.000 --> 00:04:17.000]  但強調的用意是甚麼呢?
[00:04:17.000 --> 00:04:24.000]  我們可以細緻些去看經文如何將基督這個字連繫其他詞語。
[00:04:24.000 --> 00:04:31.000]  在這九節經文裏面,基督最常和耶穌或主這些用詞一起出現,
[00:04:31.000 --> 00:04:34.000]  因為我們很熟悉的,是對聖旨的稱呼。
[00:04:34.000 --> 00:04:40.000]  而之後最常出現的就是原文用到Kaleo這個字根的用詞,
[00:04:40.000 --> 00:04:47.000]  Kaleo即是Call,即有稱呼、命名、邀請、召喚等等的意思,
[00:04:47.000 --> 00:04:51.000]  引申亦包括我們熟悉的呼召的意思。
[00:04:51.000 --> 00:05:02.000]  這段經文「蒙召」、「呼召」、「求告」和「教會」等等都是用到Kaleo這個字根的詞語。
[00:05:02.000 --> 00:05:07.000]  其實在第九節保羅總結這段經文信息時,
[00:05:07.000 --> 00:05:13.000]  是這樣形容剛才提到的關鍵字眼,基督和呼召的關係。
[00:05:13.000 --> 00:05:23.000]  他說:「神是信實的,他呼召你們,要讓你們跟他而止,我們的主耶穌基督連結在一起。」
[00:05:23.000 --> 00:05:29.000]  整句的意思可能比較複雜,如果我簡化一點,最核心的述析是這樣的:
[00:05:29.000 --> 00:05:36.000]  「神呼召你們,跟他而止,耶穌基督連結在一起。」
[00:05:36.000 --> 00:05:40.000]  其中一個ESV的翻譯會更加直接:
[00:05:40.000 --> 00:05:44.000]  「You were called into the fellowship of his son, Jesus Christ。」
[00:05:44.000 --> 00:05:51.000]  「連結在一起」或者「fellowship」這個字,其實就是反映Koinonia,
[00:05:51.000 --> 00:05:59.000]  可能弟兄姊妹都聽過了,就是團契的意思,是在說親密相交的關係。
[00:05:59.000 --> 00:06:02.000]  《新漢語》譯本的註腳是這樣解釋的:
[00:06:02.000 --> 00:06:07.000]  「連結在一起」原名的意思是「分享」或者「分擔」,
[00:06:07.000 --> 00:06:16.000]  是指我們成為基督的身體,分享基督的生命,聖情,苦難,榮耀。
[00:06:16.000 --> 00:06:22.000]  事實上在一章一至九節,當經文提及呼召這個概念的時候,
[00:06:22.000 --> 00:06:28.000]  都是在說信徒被呼召和耶穌基督連結在一起。
[00:06:28.000 --> 00:06:33.000]  第一節說:「保羅是蒙召作基督耶穌使徒。」
[00:06:33.000 --> 00:06:38.000]  第二節說:「哥倫多教會和各地的人都是蒙召作聖徒。」
[00:06:38.000 --> 00:06:45.000]  而經文亦補充聖徒是在基督耶穌裏面已經分別為聖的。
[00:06:45.000 --> 00:06:53.000]  這些都是在說神和人垂直的關係,特別是指和主耶穌基督的關係。
[00:06:53.000 --> 00:06:57.000]  所以當我們去說「連結一起」這個主題的時候,
[00:06:57.000 --> 00:07:01.000]  這段經文反映最核心要連結一起的關係,
