
[00:00:00.000 --> 00:00:02.000]  好 弟兄姊妹 主內平安
[00:00:02.000 --> 00:00:03.400]  歡迎大家來到當中
[00:00:03.400 --> 00:00:06.600]  今天也有新朋友來到 歡迎大家
[00:00:06.600 --> 00:00:10.920]  好 我們一齊先有個祈禱
[00:00:10.920 --> 00:00:15.400]  親愛的主 多謝祢讓我們可以讀祢的說話
[00:00:15.400 --> 00:00:17.880]  藉著聖經幫助我們的生命
[00:00:17.880 --> 00:00:20.800]  藉著祢的話語去塗造我們
[00:00:20.800 --> 00:00:22.280]  求主祢幫助我們
[00:00:22.280 --> 00:00:24.520]  讓我們逐步認識祢的說話
[00:00:24.520 --> 00:00:28.280]  也讓我們在神的面前真心立志
[00:00:28.280 --> 00:00:30.880]  求祢帶領我們 聽我們祈禱
[00:00:30.880 --> 00:00:34.040]  奉耶穌名字而求 阿們
[00:00:34.040 --> 00:00:37.800]  好 今天跟大家讀的經文是
[00:00:37.800 --> 00:00:41.440]  《猶大書》一章一至二十五節
[00:00:41.440 --> 00:00:44.520]  不知道大家知不知道
[00:00:44.520 --> 00:00:47.880]  今年2026年的教會主題是甚麼
[00:00:47.880 --> 00:00:52.280]  對了 教會主題就是這個題目
[00:00:52.280 --> 00:00:54.800]  「紮根聖賢淺行真道」
[00:00:54.800 --> 00:00:57.400]  「紮根」就是向上紮根
[00:00:57.400 --> 00:00:59.920]  「淺行」就是走出來
[00:00:59.920 --> 00:01:03.160]  藉著上帝的道 我們的信仰
[00:01:03.160 --> 00:01:08.360]  我們將神的說話活生生在地上走出來
[00:01:08.360 --> 00:01:10.280]  所以我們選擇了這個主題
[00:01:10.280 --> 00:01:12.880]  而這個主題裡面我們今年用的經文
[00:01:12.880 --> 00:01:14.880]  就是在《猶大書》裡面的經文
[00:01:14.880 --> 00:01:17.200]  稍後我們也會讀到
[00:01:17.200 --> 00:01:20.080]  事實上我們為了配合這個主題
[00:01:20.080 --> 00:01:22.400]  我們今年的重點方向
[00:01:22.400 --> 00:01:25.000]  我們也會希望能夠去讀經
[00:01:25.000 --> 00:01:26.400]  一個讀經的運動
[00:01:26.400 --> 00:01:31.080]  我們希望能夠重複我們讀經的渴求和追求
[00:01:31.080 --> 00:01:34.160]  所以我們也希望能夠多讀一些聖經
[00:01:34.160 --> 00:01:36.640]  所以剛才主席問我們是否要讀完
[00:01:36.640 --> 00:01:41.960]  我說讀完 因為這樣就可以讀到一章聖經
[00:01:41.960 --> 00:01:43.560]  你知不知道剛才你讀一章聖經
[00:01:43.560 --> 00:01:46.080]  《猶大書》用了多少時間?
[00:01:46.080 --> 00:01:49.240]  我已經按了計時器
[00:01:49.240 --> 00:01:52.760]  認為三分鐘的 舉起你的手
[00:01:52.760 --> 00:01:55.200]  三分鐘剛才已經讀完了?
[00:01:55.200 --> 00:01:57.920]  認為讀了四分鐘的?
[00:01:57.920 --> 00:02:00.480]  認為剛才讀了五分鐘的?
[00:02:00.480 --> 00:02:03.000]  認為剛才讀了六分鐘的?
[00:02:03.000 --> 00:02:04.400]  沒有了吧
[00:02:04.400 --> 00:02:09.520]  剛才的計時顯示我們只讀了四分五十秒
[00:02:09.520 --> 00:02:10.760]  四分五十秒
[00:02:10.760 --> 00:02:13.880]  就是說 剛才我們用了四分五十秒
[00:02:13.880 --> 00:02:15.880]  就讀完一章聖經了
[00:02:15.880 --> 00:02:18.080]  所以如果我們用今年的讀經計劃
[00:02:18.080 --> 00:02:20.480]  大約一天讀兩章
[00:02:20.480 --> 00:02:22.120]  不是一天讀四章
[00:02:22.120 --> 00:02:24.120]  一年讀完整章聖經
[00:02:24.120 --> 00:02:28.040]  其實一天的目標是讀兩章聖經
[00:02:28.040 --> 00:02:31.080]  用了不用十分鐘就讀完了
[00:02:31.080 --> 00:02:32.640]  更加感恩的是
[00:02:32.640 --> 00:02:34.360]  我們用了四分五十秒
[00:02:34.360 --> 00:02:37.600]  就讀完一卷聖經了
[00:02:37.600 --> 00:02:39.400]  聖經裡面有六十六卷書
[00:02:39.400 --> 00:02:42.280]  我們用了四分五十秒
[00:02:42.280 --> 00:02:43.160]  就讀完一卷聖經
[00:02:43.160 --> 00:02:44.760]  你看多滿足
[00:02:44.760 --> 00:02:47.480]  所以讀聖經找到的樂趣
[00:02:47.480 --> 00:02:49.520]  其實不是很悶
[00:02:49.520 --> 00:02:51.480]  也不是很艱難
[00:02:51.480 --> 00:02:55.880]  怕不怕我們也能夠多讀聖經
[00:02:55.880 --> 00:02:57.720]  不過剛才我們讀的聖經裡面
[00:02:57.720 --> 00:02:58.920]  這個《猶大書》
[00:02:58.920 --> 00:03:00.040]  我不知道你讀的時候
[00:03:00.040 --> 00:03:05.720]  你知不知道這是什麼書卷的聖經
[00:03:05.720 --> 00:03:09.040]  在聖經裡面有很多不同類型的
[00:03:09.040 --> 00:03:11.080]  題材的聖經
[00:03:11.080 --> 00:03:14.160]  有些是好像故事一樣的聖經
[00:03:14.160 --> 00:03:16.440]  敘述的聖經
