
[00:00:00.000 --> 00:00:04.500]  我今日要講的是在我裏面的訊息很激勵我
[00:00:04.500 --> 00:00:10.000]  就是我試下從使徒約翰的眼睛來看耶穌
[00:00:10.000 --> 00:00:13.000]  從約翰的看耶穌
[00:00:13.000 --> 00:00:14.000]  怎樣看耶穌呢?
[00:00:14.000 --> 00:00:17.000]  約翰究竟對耶穌有甚麼理解?
[00:00:17.000 --> 00:00:24.000]  他的理解和我們這一群人所謂的基督徒有甚麼關係呢?
[00:00:24.000 --> 00:00:26.000]  我們來讀一段聖經
[00:00:26.000 --> 00:00:41.000]  但既這些時,要叫你們信耶穌是基督,是神的兒子,並且叫你們信了他,就可以因他的名得生命。
[00:00:41.000 --> 00:00:44.000]  未信耶穌的人,難道沒有生命嗎?
[00:00:44.000 --> 00:00:46.000]  有嗎?
[00:00:46.000 --> 00:00:57.000]  不過,這個生命和你仍然懂得行走的那個生命,未信耶穌的生命,真的有天淵之別。
[00:00:57.000 --> 00:00:59.000]  因為這個得生命是甚麼呢?
[00:00:59.000 --> 00:01:06.000]  是進入一個靈、魂、體完全要被贖回的一個狀態
[00:01:06.000 --> 00:01:10.000]  和旁邊那個說,是靈、魂、體都要贖回
[00:01:10.000 --> 00:01:13.000]  是靈、魂、體都要贖回
[00:01:13.000 --> 00:01:24.000]  使徒約翰說,我記載這些東西,我寫這些東西,其實我們都知道約翰福音是最後一卷方書
[00:01:24.000 --> 00:01:31.000]  其實一卷就夠了,兩卷就夠了,三卷都有點太多了
[00:01:31.000 --> 00:01:39.000]  為甚麼使徒約翰仍然被聖靈開啟他,感動他要寫約翰福音呢?
[00:01:39.000 --> 00:01:44.000]  因為他裏面有一個很重要的元素
[00:01:44.000 --> 00:01:49.000]  他說,我記載這些東西,我從另外一個角度介紹耶穌
[00:01:49.000 --> 00:01:52.000]  告訴你們,要叫你們信祂
[00:01:52.000 --> 00:01:59.000]  然後,你因為信耶穌,因為耶穌的名字,你信祂,你呼求祂
[00:01:59.000 --> 00:02:02.000]  你就會得甚麼呢?得生命
[00:02:02.000 --> 00:02:06.000]  如果你記得約翰福音十章十節,你就要記住
[00:02:06.000 --> 00:02:09.000]  得的更甚麼?豐盛
[00:02:09.000 --> 00:02:13.000]  就是我剛才所說的,靈、魂、體都要贖回
[00:02:13.000 --> 00:02:17.000]  同意嗎?你想不想靈、魂、體都贖回?
[00:02:17.000 --> 00:02:19.000]  嘩,這個真是很寶貴
[00:02:19.000 --> 00:02:26.000]  這裏,約翰福音二十章三十一節,使徒約翰說
[00:02:26.000 --> 00:02:32.000]  耶穌是直不甩的,是神的甚麼?神的兒子
[00:02:32.000 --> 00:02:35.000]  耶穌是神的兒子,祂的名字叫耶穌
[00:02:35.000 --> 00:02:39.000]  祂的職份叫基督尼塞亞
[00:02:39.000 --> 00:02:45.000]  嘩,很清楚,一下就全部介紹了,對不對?
[00:02:45.000 --> 00:02:50.000]  神的兒子,祂來到世界,祂做甚麼呢?
[00:02:50.000 --> 00:02:52.000]  其實約翰有另外一個體見
[00:02:52.000 --> 00:02:58.000]  我沒有把經文給你們,因為我想趕快說完
[00:02:58.000 --> 00:03:03.000]  大家這麼熱,都很想去甚麼?去嘆冷氣,對不對?
[00:03:03.000 --> 00:03:09.000]  所以,我現在都在嘆,不過一直吃,因為我很熱
[00:03:09.000 --> 00:03:12.000]  所以我不覺得祂有冷氣,對不對?
[00:03:12.000 --> 00:03:23.000]  約翰福音第一章三十六節,使徒約翰介紹耶穌另外一個很重要的身份
[00:03:23.000 --> 00:03:35.000]  他說看,其實他是描述施洗約翰說的,看,這是甚麼?神的羔羊
[00:03:35.000 --> 00:03:38.000]  這是神的羔羊
[00:03:38.000 --> 00:03:42.000]  所以你跟旁邊那個說,耶穌不只是神的兒子
[00:03:42.000 --> 00:03:46.000]  祂都是神的甚麼?羔羊
[00:03:46.000 --> 00:03:48.000]  祂是神的羔羊
[00:03:48.000 --> 00:03:51.000]  除了這樣之外,還有一節聖經
[00:03:51.000 --> 00:03:54.000]  就是啟示錄,五章五節
[00:03:54.000 --> 00:03:58.000]  五章五節,其實有一段故事
[00:03:58.000 --> 00:04:07.000]  使徒約翰上到天上,他發現有一本書沒辦法打開,沒人可以看到
[00:04:07.000 --> 00:04:13.000]  他知道那本書在末後的日子裡,是非常重要的
