
[00:00:00.000 --> 00:00:02.000]  讓我們一起再次禱告
[00:00:02.000 --> 00:00:07.000]  以十字架成就救恩的主
[00:00:07.000 --> 00:00:11.000]  我們願意再次來到祢的庚前
[00:00:11.000 --> 00:00:15.000]  在降伏,在祢愛的懷抱當中
[00:00:15.000 --> 00:00:19.000]  因為我們知道祢就是我們的主
[00:00:19.000 --> 00:00:24.000]  求祢幫助我們在紛擾、躁動的世界當中
[00:00:24.000 --> 00:00:28.000]  安靜過來
[00:00:29.000 --> 00:00:32.000]  提高我們的心思,使我們能夠有耳可聽
[00:00:32.000 --> 00:00:37.000]  有眼可以見到那些屬榮幸、屬祢的事
[00:00:37.000 --> 00:00:40.000]  讓今天在祢的話語當中
[00:00:40.000 --> 00:00:45.000]  我們得著力量去走生命的路和得著亮光
[00:00:45.000 --> 00:00:48.000]  叫我們一生遵行,永不轉離
[00:00:48.000 --> 00:00:51.000]  正如耶穌基督說
[00:00:51.000 --> 00:00:54.000]  有了我的命令,有遵守的
[00:00:54.000 --> 00:00:56.000]  這個人就是愛我
[00:00:57.000 --> 00:01:00.000]  救聖靈陪伴我們走過這一段聽道的時間
[00:01:00.000 --> 00:01:02.000]  叫聽的、說的
[00:01:02.000 --> 00:01:05.000]  在祢面前生命有反省和反思
[00:01:05.000 --> 00:01:07.000]  我們這樣禱告
[00:01:07.000 --> 00:01:11.000]  是奉群陽大牧者耶穌基督的名求
[00:01:11.000 --> 00:01:13.000]  阿們
[00:01:13.000 --> 00:01:16.000]  驚見與信服
[00:01:16.000 --> 00:01:20.000]  兩者是很有直接的關係
[00:01:20.000 --> 00:01:26.000]  有人說信服神是基督徒的一個胎誌或胎記
[00:01:27.000 --> 00:01:29.000]  不知道我們在當中有沒有弟兄姊妹說
[00:01:29.000 --> 00:01:31.000]  我有啊,我有的
[00:01:31.000 --> 00:01:33.000]  不過不方便給你看
[00:01:33.000 --> 00:01:38.000]  但是這個胎記相信會一生跟著我
[00:01:38.000 --> 00:01:40.000]  正如有人這樣說
[00:01:40.000 --> 00:01:43.000]  他說基督徒的胎記就是信服神
[00:01:43.000 --> 00:01:45.000]  所以我相信
[00:01:45.000 --> 00:01:47.000]  他應該是在說
[00:01:47.000 --> 00:01:50.000]  在基督徒的生命裡面一個很重要的特質
[00:01:50.000 --> 00:01:53.000]  就是他時時被人很辨認到
[00:01:53.000 --> 00:01:56.000]  他是跟從神,不是跟從人
[00:01:57.000 --> 00:01:59.000]  今天我們在這個世界裡面
[00:01:59.000 --> 00:02:01.000]  聽到很多不同的聲音
[00:02:01.000 --> 00:02:03.000]  甚至乎是雜音
[00:02:03.000 --> 00:02:09.000]  叫我們跟從的是那些所謂羊群效應的人聲
[00:02:09.000 --> 00:02:12.000]  又或者可能是我們自己內心裡面
[00:02:12.000 --> 00:02:14.000]  我覺得不需要跟從
[00:02:14.000 --> 00:02:17.000]  因為我們這個是高舉和高仗
[00:02:17.000 --> 00:02:19.000]  一個人權的時候
[00:02:19.000 --> 00:02:22.000]  以前不懂的,我現在懂得說了
[00:02:22.000 --> 00:02:24.000]  以前我們不會這樣求的
[00:02:25.000 --> 00:02:27.000]  就好像以色列人
[00:02:27.000 --> 00:02:30.000]  當他們初初跟從神的時候
[00:02:30.000 --> 00:02:34.000]  怎料到他們被四周圍的東西看到的時候
[00:02:34.000 --> 00:02:36.000]  他說我們都要一個王
[00:02:36.000 --> 00:02:38.000]  其實神沒有拒絕的
[00:02:38.000 --> 00:02:41.000]  不過神說這些王都需要好好地
[00:02:41.000 --> 00:02:44.000]  重視神自己的教導和吩咐
[00:02:44.000 --> 00:02:47.000]  信服神是的
