
[00:00:00.000 --> 00:00:03.000]  按摩師書的識讀 今晚第三堂
[00:00:03.000 --> 00:00:05.000]  其實今晚最重要的 你見不見我講呢
[00:00:05.000 --> 00:00:09.000]  整卷按摩師書呢 最重要那一張是第幾張
[00:00:09.000 --> 00:00:11.000]  第幾張 第五張
[00:00:11.000 --> 00:00:14.000]  第五張 真是好 大家都好記得 第五張
[00:00:14.000 --> 00:00:17.000]  所以今晚我們一定會看第五張
[00:00:17.000 --> 00:00:19.000]  看完第五張之後呢
[00:00:19.000 --> 00:00:22.000]  我想下個禮拜不用來 因為下個禮拜最後一堂
[00:00:22.000 --> 00:00:24.000]  但下個禮拜都會講返呢
[00:00:24.000 --> 00:00:26.000]  即是他們如果不聽話的時候
[00:00:26.000 --> 00:00:30.000]  所面對的刑罰 那些異象在哪裏
[00:00:30.000 --> 00:00:33.000]  希望我們都會全套啦 好不好
[00:00:33.000 --> 00:00:35.000]  好 那我們領受神話之前呢
[00:00:35.000 --> 00:00:36.000]  我們先低頭我們祈禱嘛
[00:00:36.000 --> 00:00:38.000]  天王多謝你讓我們有機會一齊來學習
[00:00:38.000 --> 00:00:41.000]  求主你自己親自來帶去眷顧
[00:00:41.000 --> 00:00:44.000]  神龍我們都知道大英展會門其實都好忙
[00:00:44.000 --> 00:00:46.000]  他們的人在上個星期沒有來到的時候
[00:00:46.000 --> 00:00:50.000]  但都好希望呢 他們能夠銜接到這個內容
[00:00:50.000 --> 00:00:52.000]  其實都可能今天晚上都有些人
[00:00:52.000 --> 00:00:54.000]  因為他們工作的厭倦 亦都可能未必會來到
[00:00:54.000 --> 00:00:56.000]  但都願意藉著科技
[00:00:56.000 --> 00:00:58.000]  真是可以來到大英展會幫助我們
[00:00:58.000 --> 00:01:00.000]  都可以在網上可以聽返
[00:01:00.000 --> 00:01:03.000]  但最重要是讓我們今晚有領受 有得著
[00:01:03.000 --> 00:01:05.000]  你使用孩子 孩子所講的
[00:01:05.000 --> 00:01:07.000]  都成為重大影展會的幫助
[00:01:07.000 --> 00:01:09.000]  讓我們一個渴望追求利華如的心
[00:01:09.000 --> 00:01:11.000]  我們能夠按著正義分解真理的道
[00:01:11.000 --> 00:01:16.000]  亦都將這些訊息和我們今天所要面對的
[00:01:16.000 --> 00:01:18.000]  來到大英展會相對照
[00:01:18.000 --> 00:01:20.000]  以致我們怎樣回應這個社會
[00:01:20.000 --> 00:01:21.000]  多謝你
[00:01:21.000 --> 00:01:24.000]  我們在此宣傳祈禱教堂 來奉耶穌德性的名祈禱
[00:01:24.000 --> 00:01:25.000]  Amen
[00:01:25.000 --> 00:01:28.000]  好 上次就講了第三章 第四章
[00:01:28.000 --> 00:01:30.000]  見過一句很熟的
[00:01:30.000 --> 00:01:32.000]  「二人若不同心」 怎樣啊
[00:01:32.000 --> 00:01:34.000]  「豈能同行」
[00:01:34.000 --> 00:01:38.000]  我們整天都拿這句去質我們的丈夫
[00:01:38.000 --> 00:01:41.000]  或者拍拖的人就會講這件事
[00:01:41.000 --> 00:01:43.000]  真正的解釋是什麼呢
[00:01:43.000 --> 00:01:47.000]  如果兩個人沒有約定的話
[00:01:47.000 --> 00:01:50.000]  其實是很難在一個大的抗疫裏面
[00:01:50.000 --> 00:01:52.000]  會預見到的
[00:01:52.000 --> 00:01:53.000]  你記不記得這一段
[00:01:53.000 --> 00:01:56.000]  其實一直在講一個邏輯
[00:01:56.000 --> 00:02:01.000]  因為摩斯要宣告審判的訊息
[00:02:01.000 --> 00:02:03.000]  聽到那些人就很生氣
[00:02:03.000 --> 00:02:04.000]  你什麼料子
[00:02:04.000 --> 00:02:08.000]  你現在在南國為何走上來隔離我們
[00:02:08.000 --> 00:02:10.000]  摩斯就說 如果不是神叫我
[00:02:10.000 --> 00:02:12.000]  我怎會來呢
[00:02:12.000 --> 00:02:14.000]  你記住 摩斯書很好
[00:02:14.000 --> 00:02:15.000]  很有邏輯性的
[00:02:15.000 --> 00:02:18.000]  於是他就舉了這些例子
[00:02:18.000 --> 00:02:20.000]  「二人不同心 豈能同行」
