
[00:00:00.000 --> 00:00:02.780]  那麼今天這個題目是
[00:00:02.780 --> 00:00:05.900]  叫做「今夕是何年」
[00:00:05.900 --> 00:00:09.320]  大家有讀過文學的人就知道是從哪裡出來的
[00:00:09.320 --> 00:00:13.320]  這首歌叫做「水調歌頭」
[00:00:13.320 --> 00:00:13.980]  我也不認識的
[00:00:13.980 --> 00:00:15.660]  就是出自這一句話
[00:00:15.660 --> 00:00:17.000]  說到某人
[00:00:17.000 --> 00:00:18.920]  蘇軾見他的弟弟
[00:00:18.920 --> 00:00:20.800]  在懷緬一番的時候
[00:00:20.800 --> 00:00:22.320]  就想起其中一句
[00:00:22.320 --> 00:00:24.200]  唉呀,今天這樣的環境
[00:00:24.200 --> 00:00:27.120]  在天上究竟這是什麼時間呢?
[00:00:27.120 --> 00:00:29.240]  他覺得人間就是這樣活的
[00:00:29.240 --> 00:00:32.080]  天上是什麼時間呢?
[00:00:32.080 --> 00:00:34.760]  我覺得這個跟我們港獨是有關係的
[00:00:34.760 --> 00:00:40.080]  我們說今年來到2018年最後一個主日崇拜
[00:00:40.080 --> 00:00:41.320]  明天是最後一天
[00:00:41.320 --> 00:00:42.720]  究竟我們活了這一年
[00:00:42.720 --> 00:00:46.480]  究竟在神的眼光看來是怎麼樣的呢?
[00:00:46.480 --> 00:00:48.200]  剛才我們祈禱會也有分享
[00:00:48.200 --> 00:00:50.720]  我們有些頂姐妹去檢討
[00:00:50.720 --> 00:00:53.120]  我都盼望我們眾頂姐妹去想一下
[00:00:53.120 --> 00:00:55.040]  今年活成怎麼樣呢?
[00:00:55.040 --> 00:00:58.080]  在神的眼光怎麼看待我們的人生呢?
[00:00:58.080 --> 00:01:00.840]  今天瘋講了一些漢字
[00:01:00.840 --> 00:01:02.520]  我都查了一點點
[00:01:02.520 --> 00:01:05.480]  日本今年的漢字2018年是災字
[00:01:05.480 --> 00:01:07.040]  就是災情很嚴重
[00:01:07.040 --> 00:01:10.800]  最近印尼又有很多的災
[00:01:10.800 --> 00:01:12.760]  本身日本又有災
[00:01:12.760 --> 00:01:14.640]  中國民間的字是什麼字呢?
[00:01:14.640 --> 00:01:17.920]  有沒有人知道,有沒有看過?
[00:01:17.920 --> 00:01:20.800]  中國民間的字是合併字
[00:01:20.800 --> 00:01:23.080]  是一個窮字加一個醜字
[00:01:23.080 --> 00:01:25.000]  兩個併在一起,不知道怎麼讀
[00:01:25.000 --> 00:01:27.160]  有些人說讀我字,不知道讀什麼字
[00:01:27.160 --> 00:01:29.960]  他說窮和醜兩個字併在一起
[00:01:29.960 --> 00:01:33.720]  是中國今年的漢字的一個主要字眼
[00:01:33.720 --> 00:01:36.480]  代表著又窮又醜,真的不是好事
[00:01:36.480 --> 00:01:38.720]  我不知道你的人生
[00:01:38.720 --> 00:01:41.840]  或者覺得教會用了什麼字去代表
[00:01:41.840 --> 00:01:45.240]  無論如何我們都需要一些檢視
[00:01:45.240 --> 00:01:48.040]  對我們自己或者教會
[00:01:48.040 --> 00:01:53.120]  有些去思想,有些去想一下
[00:01:53.120 --> 00:01:54.800]  究竟我們怎麼樣呢?
[00:01:54.800 --> 00:01:57.200]  所以我今天選了詩篇第90篇
[00:01:57.200 --> 00:02:00.400]  原則上基本上整篇這樣去宣講
[00:02:00.400 --> 00:02:02.120]  不過很長,我就減了幾節
[00:02:02.120 --> 00:02:03.640]  但是都會講一下
[00:02:03.640 --> 00:02:05.880]  我們明白
[00:02:05.880 --> 00:02:08.040]  詩人摩西是一個怎樣的人
[00:02:08.040 --> 00:02:11.520]  一生很傳奇,分開三個四十年
[00:02:11.520 --> 00:02:14.200]  四十年、四十年、四十年
[00:02:14.200 --> 00:02:15.600]  很不同的人生
[00:02:15.600 --> 00:02:17.920]  我不知道大家的人生階段去到哪裡
[00:02:17.920 --> 00:02:19.880]  我不知道你是分開三個階段
[00:02:19.880 --> 00:02:21.680]  你是否進入第三個階段
[00:02:21.680 --> 00:02:23.960]  第二個階段還是第一個階段
[00:02:23.960 --> 00:02:27.320]  這個經文很值得我們去思想
[00:02:27.320 --> 00:02:30.040]  可以去
[00:02:30.040 --> 00:02:32.760]  我們由開始去簡單講一下
[00:02:32.760 --> 00:02:36.440]  主要是世世代代作人的居所
[00:02:36.440 --> 00:02:39.880]  這個摩西第一個的
[00:02:39.880 --> 00:02:41.800]  圖文或者一個的重讚
[00:02:41.800 --> 00:02:45.360]  他是重讚上帝是世世代代作人的居所
[00:02:45.360 --> 00:02:47.760]  我們知道上帝是一個永恆的
[00:02:47.760 --> 00:02:50.120]  是一個永遠的長存
[00:02:50.120 --> 00:02:52.840]  是從耿古到永遠
[00:02:52.840 --> 00:02:55.200]  其實和後面的節數是一個相比
[00:02:55.200 --> 00:02:56.840]  人生是很短暫
[00:02:56.840 --> 00:02:58.440]  但是上帝是永恆的
[00:02:58.440 --> 00:03:00.840]  不過這個經文裡面提到一個很重要的觀念
[00:03:00.840 --> 00:03:05.160]  就是你作我們的居所
[00:03:05.160 --> 00:03:06.360]  其實我們看
[00:03:06.360 --> 00:03:08.240]  從創世紀伊甸園開始
[00:03:08.240 --> 00:03:09.960]  神就與人同在
[00:03:09.960 --> 00:03:12.040]  不過這個是此起彼落
[00:03:12.040 --> 00:03:13.360]  有時人犯罪
[00:03:13.360 --> 00:03:14.520]  離開上帝
[00:03:14.520 --> 00:03:15.560]  又趕了他出去
[00:03:15.560 --> 00:03:17.280]  神又再次尋找人
[00:03:17.280 --> 00:03:20.120]  找艾伯拉罕、找摩西、找不同的人
[00:03:20.120 --> 00:03:22.360]  再次回到他的身邊
[00:03:22.360 --> 00:03:24.600]  從此至終上帝都有一個心意
[00:03:24.600 --> 00:03:27.320]  就是願意與人同在
[00:03:27.320 --> 00:03:28.840]  一個居所
[00:03:28.840 --> 00:03:30.720]  後來在回眸、在聖殿
[00:03:30.720 --> 00:03:32.000]  來到新的教會
[00:03:32.000 --> 00:03:33.880]  是一個透過教會
[00:03:33.880 --> 00:03:35.240]  祂的臨在
[00:03:35.240 --> 00:03:38.080]  與我們是很緊密的同在
[00:03:38.080 --> 00:03:41.280]  所以這是摩西的一種禱告
[00:03:41.280 --> 00:03:42.240]  一種心願
[00:03:42.240 --> 00:03:45.040]  一種很大的期盼
[00:03:45.040 --> 00:03:47.520]  接著的下一段經文
[00:03:47.520 --> 00:03:50.320]  就是講到短暫的人生
[00:03:50.320 --> 00:03:52.040]  摩西用了好幾種的比喻
[00:03:52.040 --> 00:03:55.240]  講到千年如一日
[00:03:55.240 --> 00:03:58.920]  好像草一樣
[00:03:58.920 --> 00:04:00.240]  早上生長
[00:04:00.240 --> 00:04:01.680]  晚上割下,敷乾
[00:04:01.680 --> 00:04:03.360]  睡一覺,醒來
[00:04:03.360 --> 00:04:04.840]  好短暫
[00:04:04.840 --> 00:04:07.000]  人生可以好像很漫長
[00:04:07.000 --> 00:04:08.280]  也可以很短暫
[00:04:08.280 --> 00:04:11.800]  當你人生去到很後期的時候
[00:04:11.800 --> 00:04:13.320]  覺得很短暫
[00:04:13.320 --> 00:04:15.760]  我發覺現在我的日子越來越短
[00:04:15.760 --> 00:04:16.800]  我想長一點
[00:04:16.800 --> 00:04:20.000]  可以預備做多點事情去服侍
[00:04:20.000 --> 00:04:21.720]  但是我覺得很短暫
[00:04:21.720 --> 00:04:23.120]  晚上我去打籃球的時候
[00:04:23.120 --> 00:04:24.160]  別人叫我阿伯
[00:04:24.160 --> 00:04:25.000]  叫我叔叔
[00:04:25.000 --> 00:04:26.040]  我覺得很遲
[00:04:26.040 --> 00:04:26.800]  我現在打球
[00:04:26.800 --> 00:04:29.360]  雖然我技術還有很多進步空間
[00:04:29.360 --> 00:04:31.440]  但是覺得人生真的很短暫
[00:04:31.440 --> 00:04:32.520]  很多事情
[00:04:32.520 --> 00:04:34.160]  為什麼年輕的時候不做多點
[00:04:34.160 --> 00:04:35.000]  為什麼年輕的時候
[00:04:35.000 --> 00:04:36.760]  不去預備好自己
[00:04:36.760 --> 00:04:38.000]  我不知道你有沒有感覺
[00:04:38.000 --> 00:04:39.480]  今天我們去侍奉
[00:04:39.480 --> 00:04:42.480]  去熟悉聖經
[00:04:42.480 --> 00:04:44.880]  去一起去服侍人
[00:04:44.880 --> 00:04:45.800]  我不知道你有沒有覺得
[00:04:45.800 --> 00:04:47.320]  裝備夠不夠
[00:04:47.320 --> 00:04:50.520]  或者生命
[00:04:50.520 --> 00:04:52.320]  能不能連日給多點機會
[00:04:52.320 --> 00:04:53.680]  我去侍奉上帝
[00:04:53.680 --> 00:04:55.440]  活得更加精彩
[00:04:55.440 --> 00:04:56.840]  我們說
[00:04:56.840 --> 00:04:58.240]  今年形成很多的災情
[00:04:58.240 --> 00:05:01.040]  印尼那些人突然間在狂歡裡面
[00:05:01.040 --> 00:05:02.120]  突然間水淹過來
[00:05:02.120 --> 00:05:03.880]  生命就沒有了
[00:05:03.880 --> 00:05:06.160]  我家裡有兩個嫂子
[00:05:06.160 --> 00:05:08.240]  她的父母都是八十多歲
[00:05:08.240 --> 00:05:09.240]  剛剛去世
[00:05:09.240 --> 00:05:10.960]  一個是前日去世
[00:05:10.960 --> 00:05:12.880]  在加拿大飛回來陪她
[00:05:12.880 --> 00:05:14.120]  人生可以很長
[00:05:14.120 --> 00:05:16.360]  但是也可以很短暫地消去
[00:05:16.360 --> 00:05:18.200]  究竟我們怎麼看
[00:05:18.200 --> 00:05:19.760]  我們人生是否認為很多日子
[00:05:19.760 --> 00:05:20.600]  我們數秒數
[00:05:20.600 --> 00:05:21.920]  數到極限都不到
[00:05:21.920 --> 00:05:24.760]  還是很快就到呢
[00:05:24.760 --> 00:05:26.880]  你的人生怎麼看自己呢
[00:05:26.880 --> 00:05:27.880]  你會珍惜
[00:05:27.880 --> 00:05:29.640]  還是你不珍惜時間呢
[00:05:29.640 --> 00:05:30.680]  很多時間
[00:05:30.680 --> 00:05:34.400]  用了一些不應該用的地方
[00:05:34.400 --> 00:05:36.240]  今天正式來到這段經文
[00:05:36.240 --> 00:05:40.320]  第十一、十二節的第一個段落
[00:05:40.320 --> 00:05:42.440]  是一種生命的智慧
[00:05:42.440 --> 00:05:42.760]  他說
[00:05:42.760 --> 00:05:44.560]  誰曉得你怒氣的權勢
[00:05:44.560 --> 00:05:46.400]  誰安住你該受的敬畏
[00:05:46.400 --> 00:05:48.240]  曉得你的憤怒呢
[00:05:48.240 --> 00:05:51.400]  求你指教我們怎樣數算自己的日子
[00:05:51.400 --> 00:05:54.760]  好叫我們得著智慧的心
[00:05:54.760 --> 00:05:58.200]  前陣子我突然間失去了五年的光陰
[00:05:58.200 --> 00:06:01.440]  因為我有一天去換了手提電話
[00:06:01.440 --> 00:06:03.240]  買了一條線
[00:06:03.240 --> 00:06:05.680]  我看看買的很便宜的、很貴的
[00:06:05.680 --> 00:06:07.160]  我覺得電話都是新的
[00:06:07.160 --> 00:06:08.360]  不如買一條好一點的線
[00:06:08.360 --> 00:06:10.040]  買一條線我就發覺
[00:06:10.040 --> 00:06:11.640]  原來有五年保用
