
[00:00:00.000 --> 00:00:04.360]  有一個調查訪問世界上四十幾個國家的人
[00:00:04.360 --> 00:00:11.260]  這個問題是問在人生裏面最重要的十個願望是甚麼呢
[00:00:11.260 --> 00:00:15.100]  其中一個最多人去擁抱的願望
[00:00:15.100 --> 00:00:16.640]  就是平安
[00:00:16.640 --> 00:00:19.200]  甚麼是平安呢
[00:00:19.200 --> 00:00:25.080]  有一個機構曾經舉辦了一個世界油畫大賽
[00:00:25.080 --> 00:00:27.140]  主題是平安
[00:00:28.420 --> 00:00:30.720]  第一名的油畫竟然是這幅
[00:00:30.720 --> 00:00:33.800]  大家看上去有哪一幅有平安呢
[00:00:33.800 --> 00:00:37.640]  行雷閃電狂風暴雨瀑布激流
[00:00:37.640 --> 00:00:41.480]  你就可以想像如果你置身當場的時候
[00:00:41.480 --> 00:00:44.040]  有甚麼令你感覺到平安呢
[00:00:44.040 --> 00:00:47.620]  當大家留意諸事
[00:00:47.620 --> 00:00:53.000]  大水的下面瀑布的下面裏面竟然有個雀巢
[00:00:53.260 --> 00:00:58.640]  有個雀巢有個雀的媽媽在這裏很安然安穩地去步彈
[00:00:58.640 --> 00:01:00.680]  這個就是平安
[00:01:00.680 --> 00:01:02.480]  第一個意思
[00:01:02.480 --> 00:01:05.800]  是心靈內裏的平安
[00:01:05.800 --> 00:01:07.600]  不單是這件事
[00:01:07.600 --> 00:01:09.380]  我不知道
[00:01:09.380 --> 00:01:15.780]  丁子妹你有沒有和人家做過生日,開過生日會的時候,你有沒有問過,你有甚麼生日願望呀
[00:01:15.780 --> 00:01:17.320]  你知不知道最慷的答案是甚麼
[00:01:17.320 --> 00:01:20.140]  世界和平是吧
[00:01:20.140 --> 00:01:22.700]  想不到的時候就說世界和平啦
[00:01:22.960 --> 00:01:24.740]  雖然你的答案很慷慨
[00:01:24.740 --> 00:01:27.560]  但你可以想想有些想法
[00:01:27.560 --> 00:01:34.220]  原來人心裏面都是期望一種沒有衝突,沒有欠缺,那種關係上的平安
[00:01:34.220 --> 00:01:39.860]  這不僅是人與人,甚至可能外太空也有這件事
[00:01:39.860 --> 00:01:41.900]  在1967年
[00:01:41.900 --> 00:01:45.480]  美國太陽神11號太空船成功登陸月球
[00:01:45.480 --> 00:01:48.560]  當太空船慢慢降落月球表面的時候
[00:01:48.560 --> 00:01:51.380]  這個太空船掛著一塊金屬的牌
[00:01:51.380 --> 00:01:52.660]  上面寫著
[00:01:53.940 --> 00:01:57.260]  人類在這裏第一次踏足月球
[00:01:57.260 --> 00:02:00.580]  我們是帶著人類的平安來的
[00:02:00.580 --> 00:02:04.700]  換句話說,你不知道月球有沒有生物,或者宇宙有沒有生物
[00:02:04.700 --> 00:02:11.100]  但是原來人都期望和其他的生物,或者人與人之間
[00:02:11.100 --> 00:02:14.160]  都有種關係上沒有衝突的平安
[00:02:14.160 --> 00:02:15.440]  這不僅是平安
[00:02:15.440 --> 00:02:18.500]  那究竟聖經的平安又是甚麼呢
