
[00:00:00.000 --> 00:00:02.000]  生於亂世有種責任
[00:00:02.000 --> 00:00:06.400]  但我今天要說的不是生於亂世有種責任
[00:00:06.400 --> 00:00:08.400]  而是有種堅持
[00:00:08.400 --> 00:00:10.900]  甚麼堅持 或者堅持些甚麼呢
[00:00:10.900 --> 00:00:12.900]  我鼓勵一些弟兄姊妹
[00:00:12.900 --> 00:00:14.900]  你堅持聽下去先
[00:00:14.900 --> 00:00:16.900]  為甚麼要堅持聽下去呢
[00:00:16.900 --> 00:00:21.700]  因為就著這個政府推出逃犯條例修訂一時
[00:00:21.700 --> 00:00:24.500]  無論你是甚麼年紀 你是甚麼背景
[00:00:24.500 --> 00:00:28.500]  你是甚麼政治立場 你都要有憤怒的時刻
[00:00:28.500 --> 00:00:30.500]  你都會有心痛的時候
[00:00:30.500 --> 00:00:34.000]  你會看著一個有一個的生命失去
[00:00:34.000 --> 00:00:38.500]  你會看著一場又一場的遊行 舉行
[00:00:38.500 --> 00:00:41.500]  或者是那些衝突 亦都是這樣發生
[00:00:41.500 --> 00:00:45.000]  關係一段又一段的撕裂
[00:00:45.000 --> 00:00:46.500]  無論是同屋企人
[00:00:46.500 --> 00:00:50.500]  同你很久 相識了很久的同學朋友
[00:00:50.500 --> 00:00:53.500]  甚至家會的弟兄姊妹
[00:00:53.500 --> 00:00:57.500]  其實基督徒所面對的挑戰和掙扎是更加大
[00:00:57.500 --> 00:01:01.500]  有些人會不滿教會走得太前或者太黃
[00:01:01.500 --> 00:01:05.500]  有些人又會嫌棄教會不問世事不盡
[00:01:05.500 --> 00:01:07.500]  先知的角色與責任
[00:01:07.500 --> 00:01:09.500]  來對斥責不義的事情
[00:01:09.500 --> 00:01:11.500]  對部分人來說
[00:01:11.500 --> 00:01:14.500]  其實回到教會都是希望心靈可以平靜一下
[00:01:14.500 --> 00:01:17.500]  誰知講到又講社會事情
[00:01:17.500 --> 00:01:19.500]  但對有些人來說
[00:01:19.500 --> 00:01:21.500]  正正是面對著社會的事情
[00:01:21.500 --> 00:01:23.500]  很辛苦 很想回到教會
[00:01:23.500 --> 00:01:25.500]  有些是訴苦的時刻
[00:01:25.500 --> 00:01:28.500]  或者聽到教導我們應該怎樣去面對
[00:01:28.500 --> 00:01:31.500]  但有些教會卻是若無其事
[00:01:31.500 --> 00:01:34.500]  不講又或者是不敢講
[00:01:34.500 --> 00:01:36.500]  不敢得失弟兄姊妹
[00:01:36.500 --> 00:01:38.500]  亦都是因為這個緣故
[00:01:38.500 --> 00:01:41.500]  我知道有些弟兄姊妹曾經
[00:01:41.500 --> 00:01:44.500]  或者現在都只是在想
[00:01:44.500 --> 00:01:47.500]  是否要用腳來表示他們的立場
