
[00:00:00.000 --> 00:00:04.000]  在廣島月仙我們一齊有簡短的祈禱
[00:00:04.000 --> 00:00:06.000]  七天會感謝你
[00:00:06.000 --> 00:00:08.000]  讓我們今天能聚在一起
[00:00:08.000 --> 00:00:10.000]  這真是你好大的恩典
[00:00:10.000 --> 00:00:12.000]  求你到寂靜靈開通我們的耳朵
[00:00:12.000 --> 00:00:14.000]  開通我們的心
[00:00:14.000 --> 00:00:16.000]  將我們的心帶回你面前
[00:00:16.000 --> 00:00:18.000]  讓我們能從你的話語裡得到安慰
[00:00:18.000 --> 00:00:20.000]  幫助提醒
[00:00:20.000 --> 00:00:22.000]  祈禱交托 服主明求
[00:00:22.000 --> 00:00:24.000]  阿們
[00:00:24.000 --> 00:00:26.000]  最近因為疫情的緣故
[00:00:26.000 --> 00:00:28.000]  我們跟家人朋友的相聚都減少
[00:00:28.000 --> 00:00:30.000]  尤其是教會不能聚會
[00:00:30.000 --> 00:00:32.000]  弟兄姊妹又不能像以前一樣
[00:00:32.000 --> 00:00:34.000]  經常見面
[00:00:34.000 --> 00:00:36.000]  不知道大家習慣嗎?
[00:00:36.000 --> 00:00:42.000]  可能都幾個月了
[00:00:42.000 --> 00:00:44.000]  可能其實就算習慣不習慣
[00:00:44.000 --> 00:00:46.000]  我們都希望可以快點
[00:00:46.000 --> 00:00:48.000]  好像之前那樣
[00:00:48.000 --> 00:00:50.000]  多點見面
[00:00:50.000 --> 00:00:52.000]  亦都希望可以從聚日子快點來
[00:00:52.000 --> 00:00:54.000]  從聚確實是值得我們珍惜
[00:00:54.000 --> 00:00:56.000]  和期待
[00:00:56.000 --> 00:00:58.000]  在剛才讀的《創世紀》
[00:00:58.000 --> 00:01:00.000]  48章裡面
[00:01:00.000 --> 00:01:02.000]  亦都描述了一個感人的父子重聚故事
[00:01:02.000 --> 00:01:04.000]  就是雅各和約瑟
[00:01:04.000 --> 00:01:06.000]  這對父子的重聚
[00:01:06.000 --> 00:01:08.000]  雅各晚年的時候
[00:01:08.000 --> 00:01:10.000]  他失去了他最愛的兒子
[00:01:10.000 --> 00:01:12.000]  約瑟
[00:01:12.000 --> 00:01:14.000]  約瑟的哥哥們因為嫉妒他
