
[00:00:00.000 --> 00:00:01.520]  好,弟兄姊妹,早晨
[00:00:01.520 --> 00:00:04.720]  我們今天繼續來到《思想多倫多》前書第十章
[00:00:04.720 --> 00:00:07.280]  就是講到基督徒的自由的第三講
[00:00:07.280 --> 00:00:10.600]  我們一起來低頭禱告
[00:00:10.600 --> 00:00:12.400]  天父,我求祢教導我們
[00:00:12.400 --> 00:00:15.200]  主想到我們在世行事為人的時候
[00:00:15.200 --> 00:00:19.120]  不單止是思想到我們有什麼可以做
[00:00:19.120 --> 00:00:20.240]  有什麼不可以做
[00:00:20.240 --> 00:00:23.440]  更加思想到我們是怎樣去討你的喜悅
[00:00:23.440 --> 00:00:25.480]  願祢帶領我們,幫助我們
[00:00:25.480 --> 00:00:27.040]  讓我們明白祢的心意
[00:00:27.040 --> 00:00:28.920]  讓我們讀祢的聖經的時候
[00:00:28.920 --> 00:00:31.720]  懂得怎樣在我們的生活上去跟從
[00:00:31.720 --> 00:00:33.760]  奉耶穌基督的名祈求,阿們
[00:00:33.760 --> 00:00:38.640]  好,今天繼續來看《思想多倫多》前書第十章
[00:00:38.640 --> 00:00:42.000]  之前也跟大家講過
[00:00:42.000 --> 00:00:45.640]  哥倫多教會他們面對著吃肉的問題
[00:00:45.640 --> 00:00:48.520]  因為他們所有吃的肉
[00:00:48.520 --> 00:00:50.360]  在市場上買得到的肉
[00:00:50.360 --> 00:00:53.200]  其實都是祭過偶像的肉
[00:00:53.200 --> 00:00:56.720]  而由吃肉的問題引發出來的
[00:00:56.720 --> 00:00:59.320]  其實就更牽連更廣闊了
[00:00:59.320 --> 00:01:02.000]  不單止是否吃肉和吃素
[00:01:02.000 --> 00:01:04.560]  而是基督徒究竟有什麼可以做
[00:01:04.560 --> 00:01:05.800]  有什麼不可以做呢?
[00:01:05.800 --> 00:01:09.280]  在那些聖經沒有清楚講的地方的時候
[00:01:09.280 --> 00:01:11.320]  他們是如何抉擇
