
[00:00:00.000 --> 00:00:04.120]  今天是教會傳統裏面
[00:00:04.120 --> 00:00:07.400]  將它叫做「棕樹主日」
[00:00:07.400 --> 00:00:10.520]  或者叫「棕櫚主日」的星期日
[00:00:10.520 --> 00:00:14.560]  主要是因為接下來下個星期日就是復活節
[00:00:14.560 --> 00:00:16.840]  而在復活節之前
[00:00:16.840 --> 00:00:17.880]  如果我們看回福音書
[00:00:17.880 --> 00:00:21.160]  就是耶穌在復活節一個星期前
[00:00:21.160 --> 00:00:23.600]  進入耶路撒冷
[00:00:23.600 --> 00:00:28.280]  以致去接受群眾的歡呼、歡迎
[00:00:28.280 --> 00:00:32.560]  經歷了這條十字架的道路
[00:00:32.560 --> 00:00:36.040]  所以今天都想和大家藉著「棕樹主日」
[00:00:36.040 --> 00:00:39.720]  我們都從馬太福音的經文裏面
[00:00:39.720 --> 00:00:45.560]  一起來領受耶穌的小路區的訊息
[00:00:45.560 --> 00:00:48.800]  讓我們從耶穌、從小路區的身上
[00:00:48.800 --> 00:00:50.800]  我們有所學習
[00:00:50.800 --> 00:00:52.800]  一段可能你在教會久一點
[00:00:52.800 --> 00:00:56.200]  你都會有機會在節詞廳的經文
[00:00:56.200 --> 00:00:58.560]  我們都嘗試一起重溫
[00:00:58.560 --> 00:01:01.600]  無論是馬太福音、馬可路加約翰
[00:01:01.600 --> 00:01:03.640]  都有類似的記載
[00:01:03.640 --> 00:01:05.640]  今天我選用了馬太的福音
[00:01:05.640 --> 00:01:10.600]  因為它當中其實是提到應驗先知的預言
[00:01:10.600 --> 00:01:11.880]  而這個先知的預言
[00:01:11.880 --> 00:01:13.960]  就在我們剛才讀啟應經文
[00:01:13.960 --> 00:01:15.400]  撒加利亞書的時候
[00:01:15.400 --> 00:01:16.960]  已經讀過一次
[00:01:16.960 --> 00:01:19.480]  稍後都會在馬太福音21章裏面
[00:01:19.480 --> 00:01:20.840]  又會再出現
[00:01:20.840 --> 00:01:25.040]  都可以幫助我們更加記得這段聖經
[00:01:25.040 --> 00:01:26.760]  你可以看著你手上的聖經
[00:01:26.760 --> 00:01:28.360]  或者是看螢光幕
[00:01:28.360 --> 00:01:32.200]  我們一起讀完馬太福音21章1至9節
[00:01:32.200 --> 00:01:33.960]  預備起
[00:01:33.960 --> 00:01:37.760]  耶穌和門徒將近耶路撒冷
[00:01:37.760 --> 00:01:39.720]  到了白髮旗
[00:01:39.720 --> 00:01:42.120]  在橄欖山那裏
[00:01:42.120 --> 00:01:45.320]  耶穌就打發兩個門徒
[00:01:45.320 --> 00:01:47.040]  對他們說
[00:01:47.040 --> 00:01:50.120]  你們往對面村子裏去
[00:01:50.120 --> 00:01:53.800]  別看見一匹驢山在那裏
[00:01:53.800 --> 00:01:56.880]  還有驢驅童在一處
[00:01:56.880 --> 00:01:58.680]  你們解開
[00:01:58.680 --> 00:02:01.320]  牽到我這裏來
[00:02:01.320 --> 00:02:04.600]  若有人對你們說甚麼
[00:02:04.600 --> 00:02:06.080]  你們就說
[00:02:06.080 --> 00:02:08.160]  主要容他
[00:02:08.160 --> 00:02:12.160]  那人必立時讓你們牽來
[00:02:12.160 --> 00:02:17.560]  這是成就是要應驗先知的話說
[00:02:17.560 --> 00:02:20.400]  要對石安的居民說
[00:02:20.400 --> 00:02:24.280]  漢男 你的王來到你這裏
[00:02:24.280 --> 00:02:25.880]  是溫柔的
[00:02:25.880 --> 00:02:27.720]  又騎著驢
[00:02:27.720 --> 00:02:30.880]  就是騎著驢驅子
[00:02:30.880 --> 00:02:35.200]  門徒就照耶穌所吩咐的去行
[00:02:35.200 --> 00:02:37.920]  牽了驢和驢驅來
[00:02:37.920 --> 00:02:41.480]  把自己的衣服搭在上面
[00:02:41.480 --> 00:02:43.880]  耶穌就騎上
[00:02:43.880 --> 00:02:47.800]  眾人多半把衣服鋪在路上
[00:02:47.800 --> 00:02:53.000]  還有人砍下樹枝來鋪在路上
[00:02:53.000 --> 00:02:56.920]  前行後鎚的眾人喊著說
[00:02:56.920 --> 00:03:00.680]  和剎那歸於大衛的子孫
[00:03:00.680 --> 00:03:05.280]  奉主命來的是應當稱頌的
[00:03:05.280 --> 00:03:09.120]  高高在上 和剎那
[00:03:09.120 --> 00:03:13.160]  這裏提到他們把一些樹枝鋪在路上
[00:03:13.160 --> 00:03:14.760]  甚至有些經文提到
[00:03:14.760 --> 00:03:18.480]  徒人一起揮動手上的樹枝
[00:03:18.480 --> 00:03:20.520]  這個樹枝其實就是當時候
[00:03:20.520 --> 00:03:23.120]  他們很常見到的植物
[00:03:23.120 --> 00:03:25.200]  棕櫚樹的樹枝
[00:03:25.200 --> 00:03:27.520]  所以當這個場面的時候
[00:03:27.520 --> 00:03:29.760]  我們教會歷史當中就將它
