
[00:00:00.000 --> 00:00:03.920]  今日的經文是在約翰福音的結束部份
[00:00:03.920 --> 00:00:06.800]  第六章的六十至七十一節
[00:00:06.800 --> 00:00:09.920]  是整個篇章裏面的結束部份
[00:00:09.920 --> 00:00:12.400]  它承接著前面整個第六章裏面
[00:00:12.400 --> 00:00:17.560]  記載關於耶穌的神蹟和祂的講論
[00:00:17.560 --> 00:00:23.920]  而讓我去思考這段經文的分享的時候
[00:00:23.920 --> 00:00:25.400]  第一句說話
[00:00:25.400 --> 00:00:28.440]  第六十節裏面的一句說話
[00:00:28.440 --> 00:00:31.520]  引起我很大的回響
[00:00:31.520 --> 00:00:34.640]  這句說話很難誰聽得盡呢
[00:00:34.640 --> 00:00:40.960]  其實是在說究竟人怎樣去聽上帝的說話
[00:00:40.960 --> 00:00:45.160]  人怎樣去理解耶穌所說的話
[00:00:45.160 --> 00:00:46.960]  又或者轉一步來說
[00:00:46.960 --> 00:00:51.560]  人怎樣去看待耶穌
[00:00:51.560 --> 00:00:53.760]  耶穌說的話難聽
[00:00:53.760 --> 00:00:55.680]  難在哪裏呢
[00:00:55.680 --> 00:00:59.240]  那為什麼耶穌不說一些動聽的說話呢
[00:00:59.240 --> 00:01:03.760]  動聽的說話不一定是口是心非
[00:01:03.760 --> 00:01:06.120]  動聽的說話其實很多時候
[00:01:06.120 --> 00:01:10.120]  都會能夠迎合到聽的人心意
[00:01:10.120 --> 00:01:12.000]  又來得合時
[00:01:12.000 --> 00:01:13.680]  曾賢書說
[00:01:13.680 --> 00:01:17.120]  就好像金蘋果掉到銀網紙裏面
[00:01:17.120 --> 00:01:21.120]  形容那些人說話說得合時
[00:01:21.120 --> 00:01:23.640]  你開心我又開心
[00:01:23.640 --> 00:01:25.440]  為什麼不好呢
[00:01:25.440 --> 00:01:28.680]  不過說關心的說話
[00:01:28.680 --> 00:01:30.760]  說這個動聽說話
[00:01:30.760 --> 00:01:36.400]  又不一定是有好收場
[00:01:36.400 --> 00:01:38.360]  我剛剛聽到弟兄分享
[00:01:38.360 --> 00:01:41.240]  他說去葫蘆縣探訪
[00:01:41.240 --> 00:01:43.920]  問候一個長輩
[00:01:43.920 --> 00:01:45.120]  問問他
[00:01:45.120 --> 00:01:47.360]  說說你的子女有沒有來探望你
[00:01:47.360 --> 00:01:48.360]  他說有
[00:01:48.360 --> 00:01:49.160]  那就很好
[00:01:49.160 --> 00:01:54.280]  就像拜山一樣一年一次
[00:01:54.280 --> 00:01:58.880]  一句說話究竟有什麼效果
[00:01:58.880 --> 00:02:00.040]  有什麼反應
[00:02:00.040 --> 00:02:04.360]  其實重點有時未必一定是說的人
[00:02:04.360 --> 00:02:07.880]  而是聽的人怎麼聽
[00:02:07.880 --> 00:02:11.120]  說得不好有時候反而弄巧反拙
[00:02:11.120 --> 00:02:14.600]  所以有時候我們坊間的警世良言
[00:02:14.600 --> 00:02:18.000]  就是你來探病還是來取命
[00:02:18.000 --> 00:02:22.240]  你說得不好就帶來反效果
[00:02:22.240 --> 00:02:26.920]  同樣耶穌今天所說的言論
[00:02:26.920 --> 00:02:28.760]  我們怎麼聽呢
[00:02:28.760 --> 00:02:33.280]  是不是由我決定是否合聽
