
[00:00:00.000 --> 00:00:03.480]  好 讓我們一起同心低頭祷告
[00:00:03.480 --> 00:00:05.340]  慈悲的天父 多謝祢
[00:00:05.340 --> 00:00:10.920]  讓我們能夠有生命再次經歷多天的生命生活
[00:00:10.920 --> 00:00:13.600]  更重要的是能夠讓我們可以
[00:00:13.600 --> 00:00:16.120]  藉著祢所賦予的生命
[00:00:16.120 --> 00:00:21.340]  在這個地上能夠活出有主祢的樣式的這個機會
[00:00:21.340 --> 00:00:23.340]  求祢的聖靈與我們同在
[00:00:23.340 --> 00:00:25.440]  特別我們在這段時間
[00:00:25.440 --> 00:00:30.040]  一切的同心被祢的說話焦聚來到你的根前
[00:00:30.040 --> 00:00:35.180]  求祢的真理成為我們生命的灌溉
[00:00:35.180 --> 00:00:38.460]  好使我們能夠真正在主祢的真道當中
[00:00:38.460 --> 00:00:40.160]  一步一步地成長
[00:00:40.160 --> 00:00:43.800]  雖然我們知道這條道路可能很漫長
[00:00:43.800 --> 00:00:47.720]  但我知道上帝祢的靈陪伴著我們
[00:00:47.720 --> 00:00:49.380]  求祢與我們同在
[00:00:49.380 --> 00:00:51.340]  我們同心禱告
[00:00:51.340 --> 00:00:54.220]  奉靠主耶穌得聖靈自救
[00:00:54.220 --> 00:00:56.040]  阿們
[00:00:56.040 --> 00:01:00.620]  今天和大家一起分享的經文是出自《馬太福音》
[00:01:00.620 --> 00:01:04.420]  第四章第十八至第二十二節
[00:01:04.420 --> 00:01:06.340]  今天的講題就是
[00:01:06.340 --> 00:01:09.000]  「我們不配作主的人嗎?」
[00:01:09.000 --> 00:01:13.460]  Are we the not the right people?
[00:01:13.460 --> 00:01:15.560]  我們在聆聽主導儀式
[00:01:15.560 --> 00:01:17.240]  我們再次打開這段聖經
[00:01:17.240 --> 00:01:19.680]  一起去讀一下好嗎?
[00:01:19.680 --> 00:01:23.060]  耶穌在加利利海邊行走
[00:01:23.060 --> 00:01:25.700]  看見弟兄二人
[00:01:25.700 --> 00:01:28.980]  就是那稱呼彼得的西門
[00:01:28.980 --> 00:01:31.360]  和他兄弟安德烈
[00:01:31.360 --> 00:01:33.380]  在海裡撒網
[00:01:33.380 --> 00:01:35.800]  他們本是打魚的
[00:01:35.800 --> 00:01:37.760]  耶穌對他們說
[00:01:37.760 --> 00:01:39.720]  來跟從我
[00:01:39.720 --> 00:01:43.540]  我要叫你們得人如得魚一樣
[00:01:43.540 --> 00:01:46.400]  他們就立刻捨了網
[00:01:46.400 --> 00:01:48.480]  跟從了他
[00:01:48.480 --> 00:01:50.640]  從那裡往前走
[00:01:50.640 --> 00:01:53.040]  又看見弟兄二人
[00:01:53.040 --> 00:01:56.140]  就是西比泰的兒子雅各
[00:01:56.140 --> 00:01:58.800]  和他兄弟約翰
[00:01:58.800 --> 00:02:01.860]  和他們的父親西比泰
[00:02:01.860 --> 00:02:04.040]  在船上保網
[00:02:04.040 --> 00:02:06.880]  耶穌就招呼他們
[00:02:06.880 --> 00:02:09.380]  他們立刻捨了船
[00:02:09.380 --> 00:02:11.000]  別了父親
[00:02:11.000 --> 00:02:14.220]  跟從了耶穌
[00:02:14.220 --> 00:02:17.660]  不知道大家有沒有曾經說過這些話
[00:02:17.660 --> 00:02:19.460]  就是和你的朋友說
[00:02:19.460 --> 00:02:23.940]  找天約出來吃飯,我請你吃飯
[00:02:23.940 --> 00:02:26.000]  我相信很多弟兄姊妹
[00:02:26.000 --> 00:02:29.140]  都好像一般人一樣很喜歡這樣說
[00:02:29.140 --> 00:02:32.140]  但是如果你回心想一下
[00:02:32.140 --> 00:02:33.780]  你說了這番話
[00:02:33.780 --> 00:02:37.460]  其實有多少次是真的兌現的呢?
[00:02:37.460 --> 00:02:41.240]  還是真的好像長江之水向東流
[00:02:41.240 --> 00:02:43.800]  一流就一去不返呢?
[00:02:43.800 --> 00:02:46.920]  很多時候我們都是很容易
[00:02:46.920 --> 00:02:50.240]  好像廣東人所說的口糠糠大隻講
[00:02:50.240 --> 00:02:52.860]  講了之後就不算數
[00:02:52.860 --> 00:02:57.520]  甚至沒有想過真的去履行或者去實踐
[00:02:57.520 --> 00:02:59.960]  甚至有些時候覺得
[00:02:59.960 --> 00:03:02.540]  約人的時候可能那個人又怎樣
[00:03:02.540 --> 00:03:05.040]  為那個對方想了很多的
[00:03:05.040 --> 00:03:07.640]  其實可能不存在的理由
[00:03:07.640 --> 00:03:12.320]  藉以將自己想推搪的心態
[00:03:12.320 --> 00:03:14.400]  將它埋藏起來
[00:03:14.400 --> 00:03:16.320]  今天為什麼我這樣說呢?
[00:03:16.320 --> 00:03:17.980]  因為這樣的情況
[00:03:17.980 --> 00:03:21.620]  其實也有來我們基督徒很多時候受
[00:03:21.620 --> 00:03:24.560]  很多不信主的人的攻擊
[00:03:24.560 --> 00:03:27.120]  尤其是類型這麼小的事情
[00:03:27.120 --> 00:03:30.240]  很多時候我們信口如一些不信主的人
[00:03:30.240 --> 00:03:32.000]  這樣講了之後
[00:03:32.000 --> 00:03:34.660]  那些不信主的人就特別容易留意得到
[00:03:34.660 --> 00:03:36.440]  因為他們都喜歡講這些話
[00:03:36.440 --> 00:03:39.160]  但是他就很中意用回這句話
[00:03:39.160 --> 00:03:41.640]  就說我都說你是基督徒
[00:03:41.640 --> 00:03:42.720]  和我們有什麼分別呢?
[00:03:42.720 --> 00:03:45.240]  信和不信沒有分別
[00:03:45.240 --> 00:03:46.500]  都是一樣
