
[00:00:00.000 --> 00:00:09.000]  感謝主的恩典,讓我們在這麼好的清晨一起去朝見祂,讓我們先再一次同心祈禱。
[00:00:09.000 --> 00:00:28.000]  上主多謝祢讓我們有美好的清晨,暖和的陽光,祢的顯現照耀我們的生命,願祢恩代賜福,願每個人口中的言語,頂著每個人之間的心思意念,蒙主祢的月立,禱告奉耶穌基督的名,Amen。
[00:00:28.000 --> 00:00:40.000]  方書裡面記載耶穌出來傳道服務的事情,我不知道你有多熟悉,今天方書的經課就正正在講耶穌一些傳道的故事,
[00:00:40.000 --> 00:00:50.000]  如果你有聖經在手,你翻開聖經,特別在馬化音裡面你會看見,在馬化音一章十五節,一開始講耶穌出來的時候,
[00:00:50.000 --> 00:00:58.000]  祂就宣告,祂說日期滿了,上帝的國近了,你們要悔改,順福音。
[00:00:58.000 --> 00:01:10.000]  當耶穌去宣告這個傳道的信息之後,聖經裡面描述就是耶穌去呼召門徒,先呼召四位的門徒,包括西門、安德烈、雅各和約翰,
[00:01:10.000 --> 00:01:22.000]  然後就記載耶穌講過的神蹟,這是馬化音一章二十一到二十八節,然後就是今天的經文提到耶穌去醫治西門的惡魔。
[00:01:22.000 --> 00:01:34.000]  我們先進入今天的經文,看看當時發生了什麼狀況,聖經裡面說,他們可以去到會堂,他們也是在講耶穌和祂呼召的,可能就是剛剛幾位的門徒,
[00:01:34.000 --> 00:01:40.000]  去到會堂,聖經裡面說,連同雅各和約翰都進入了西門和安德烈的家。
[00:01:40.000 --> 00:01:53.000]  當時西門的惡魔正在發燒,有人就告訴耶穌,耶穌去到那裡就拉著西門惡魔的手扶起他,燒就退了,於是西門的惡魔就開始服侍他們。
[00:01:53.000 --> 00:02:00.000]  傍晚日落的時候,聖經裡面說,有人就帶著一些害病和被鬼附的人來到,去到耶穌的庚前。
[00:02:00.000 --> 00:02:08.000]  首先問一下,聖經裡面說,有人就帶著一些害病和被鬼附的人來到,去到耶穌的庚前,有人是什麼人呢?
[00:02:08.000 --> 00:02:24.000]  如果從馬方的脈絡,當時應該只有四位門徒,西門、安德烈、雅各、約翰,他們都在西門和安德烈的家裡面,都在接受剛剛病好的西門的惡魔的照顧。
[00:02:24.000 --> 00:02:32.000]  為什麼會有人將這些人帶來耶穌面前呢?這裡提到不只是有病,還要是被鬼附的呢?
[00:02:32.000 --> 00:02:36.000]  可能是他們見到西門的惡魔醫好。
[00:02:36.000 --> 00:02:43.000]  但是更重要的是,剛剛我講的,之前的經文,在21-28節裡面就正正在講耶穌去趕鬼的神蹟。
[00:02:43.000 --> 00:02:52.000]  所以當耶穌趕鬼,然後進入西門的家裡面,醫好他的惡魔之後,人就見到耶穌有趕鬼和醫病的能力,
[00:02:52.000 --> 00:02:57.000]  就有人帶一些害病的人去到耶穌面前了。
[00:02:57.000 --> 00:03:08.000]  好了,33節很特別的,他說全城的人都聚集在門前,耶穌就醫了很多害病的人,又趕了很多的鬼。
