
[00:00:00.000 --> 00:00:04.380]  今天是農曆新年的崇拜
[00:00:04.380 --> 00:00:09.380]  我想和大家分享一個訊息
[00:00:09.380 --> 00:00:13.760]  農曆新年是一個很重要的節日
[00:00:13.760 --> 00:00:15.800]  我們很重視這個節日
[00:00:15.800 --> 00:00:17.360]  因為這是一個春節
[00:00:17.360 --> 00:00:22.400]  春是一年新的開始
[00:00:22.400 --> 00:00:26.260]  我想在此迎春接福
[00:00:26.260 --> 00:00:30.300]  所以在此想和大家迎春接福
[00:00:30.300 --> 00:00:31.960]  這個來做一個主題
[00:00:31.960 --> 00:00:33.760]  是今天我們的崇拜
[00:00:33.760 --> 00:00:35.760]  我們的訊息
[00:00:35.760 --> 00:00:38.720]  就是很希望在這個新的一年
[00:00:38.720 --> 00:00:40.260]  新的開始的時候
[00:00:40.260 --> 00:00:44.380]  我們一起來迎接一個新的福氣
[00:00:44.380 --> 00:00:46.300]  我在這個講題上
[00:00:46.300 --> 00:00:47.580]  那個福字
[00:00:47.580 --> 00:00:49.720]  你見到我是括著的
[00:00:49.720 --> 00:00:52.420]  括著的意思就是我想特別強調
[00:00:52.420 --> 00:00:57.600]  這個福是我們從上帝而來的福
[00:00:57.600 --> 00:01:00.480]  這個福就是白福
[00:01:00.480 --> 00:01:03.940]  今天大家都知道我們一直在講馬太福音
[00:01:03.940 --> 00:01:06.600]  今天我們會繼續講馬太福音
[00:01:06.600 --> 00:01:09.400]  就是講五章三至十節裏面
[00:01:09.400 --> 00:01:12.240]  耶穌在登山部分裏面
[00:01:12.240 --> 00:01:15.020]  一開始然後宣講的白福
[00:01:15.020 --> 00:01:17.140]  弟兄姊妹我很希望
[00:01:17.140 --> 00:01:19.160]  可能你們不是第一次聽白福
[00:01:19.160 --> 00:01:20.600]  就算你第一次聽也好
[00:01:20.600 --> 00:01:23.020]  我們再一次重新來到去
[00:01:23.020 --> 00:01:25.300]  去認識來接白福
[00:01:25.300 --> 00:01:27.160]  我很希望今天這個訊息
[00:01:27.160 --> 00:01:29.800]  不單止讓我們知道什麼是白福
[00:01:29.800 --> 00:01:34.140]  更加讓我們能夠在未來新的一年裏面
[00:01:34.140 --> 00:01:35.360]  去活出來
[00:01:35.360 --> 00:01:36.540]  Amen
[00:01:36.540 --> 00:01:40.500]  主祢是一個定義要賜福給我們的上帝
[00:01:40.500 --> 00:01:43.420]  祢是定義要賜福給我們的
[00:01:43.420 --> 00:01:46.360]  耶和華祢所賜的福
[00:01:46.360 --> 00:01:47.840]  使人付足
[00:01:47.840 --> 00:01:50.700]  並不加上憂慮
[00:01:50.700 --> 00:01:53.080]  主佑今天我們來到祢自己的庚前
[00:01:53.080 --> 00:01:54.700]  求祢光照我們
[00:01:54.700 --> 00:01:56.720]  求祢養念光照我們
[00:01:56.720 --> 00:01:59.400]  來加添我們在裏面的信心
[00:01:59.400 --> 00:02:03.080]  聖靈來帶領我們今天這個訊息的分享
[00:02:03.080 --> 00:02:04.640]  我們來聽道
[00:02:04.640 --> 00:02:06.660]  願聖靈先進入我們的心裏面
[00:02:06.660 --> 00:02:08.820]  在我們裏面來搞動
[00:02:08.820 --> 00:02:09.780]  來光照
[00:02:09.780 --> 00:02:12.960]  讓我們能夠明白上帝祢自己的心意
