
[00:00:00.000 --> 00:00:03.000]  題目就是「互相聯絡作字體」
[00:00:03.000 --> 00:00:06.000]  英文叫One Body Many Parts
[00:00:06.000 --> 00:00:10.000]  其實我們知道
[00:00:10.000 --> 00:00:12.000]  我們在日常社會裏面
[00:00:12.000 --> 00:00:15.000]  都有很多會員的會籍
[00:00:15.000 --> 00:00:19.000]  小朋友可能會有圖書館的證
[00:00:19.000 --> 00:00:21.000]  很喜歡去圖書館寫書
[00:00:21.000 --> 00:00:23.000]  有圖書證才可以寫書
[00:00:23.000 --> 00:00:26.000]  又有很多購物的會員證
[00:00:26.000 --> 00:00:28.000]  我們很多時候去哪裏購物
[00:00:28.000 --> 00:00:32.000]  去健身室 進了會便去
[00:00:32.000 --> 00:00:34.000]  譬如你回香港有不同的信用卡
[00:00:34.000 --> 00:00:36.000]  有不同的特價
[00:00:36.000 --> 00:00:37.000]  你去那裏食泡芙
[00:00:37.000 --> 00:00:39.000]  那張信用卡有特價
[00:00:39.000 --> 00:00:41.000]  那就用那張卡
[00:00:41.000 --> 00:00:45.000]  所以我們會存很多會員卡
[00:00:45.000 --> 00:00:47.000]  在我們日常生活當中
[00:00:47.000 --> 00:00:51.000]  這些會員卡我們就得到很多
[00:00:51.000 --> 00:00:55.000]  作為消費者得到很多的服務
[00:00:55.000 --> 00:00:56.000]  我們在教會當中
[00:00:56.000 --> 00:01:01.000]  我們都有很多基督裏面的肢體
[00:01:01.000 --> 00:01:03.000]  很多成員在當中
[00:01:03.000 --> 00:01:05.000]  這個成員就好像我們的
[00:01:05.000 --> 00:01:09.000]  我這裏有一些室
[00:01:09.000 --> 00:01:11.000]  就是我的酒室
[00:01:11.000 --> 00:01:14.000]  我們每個人就好像酒室一樣
[00:01:14.000 --> 00:01:17.000]  每個有很多個部份
[00:01:17.000 --> 00:01:18.000]  我們就是怎樣呢
[00:01:18.000 --> 00:01:20.000]  因為基督的愛
[00:01:20.000 --> 00:01:24.000]  我們就會連在一起
[00:01:24.000 --> 00:01:30.000]  變成一個身體
[00:01:30.000 --> 00:01:33.000]  連在一起
[00:01:33.000 --> 00:01:37.000]  然後我們就可以在這個世界上
[00:01:37.000 --> 00:01:41.000]  在無論任何環境當中
[00:01:41.000 --> 00:01:43.000]  我們就在這個教會裏
[00:01:43.000 --> 00:01:45.000]  在這個世界上
[00:01:45.000 --> 00:01:47.000]  做不同的 做完做乾
[00:01:47.000 --> 00:01:49.000]  在這個世界上
[00:01:49.000 --> 00:01:55.000]  可以有做教會的事工
[00:01:55.000 --> 00:01:56.000]  你這樣分開了
[00:01:56.000 --> 00:01:58.000]  就是站不穩的了
[00:01:58.000 --> 00:02:01.000]  但是神的計劃就很特別
[00:02:01.000 --> 00:02:04.000]  One body, many parts
[00:02:04.000 --> 00:02:09.000]  聯絡了肢體
[00:02:09.000 --> 00:02:16.000]  所以我們在聖經當中
[00:02:16.000 --> 00:02:19.000]  我們上個星期的主日
[00:02:19.000 --> 00:02:20.000]  我們分享了我們的信息
[00:02:20.000 --> 00:02:23.000]  是從羅馬書第十一章提到
[00:02:23.000 --> 00:02:25.000]  神是憐憫我們
[00:02:25.000 --> 00:02:27.000]  神是憐憫我們
[00:02:27.000 --> 00:02:32.000]  我們本來都是關在一個獄中
