
[00:00:00.000 --> 00:00:01.620]  好 第二節我們主要是評論一下
[00:00:01.620 --> 00:00:02.720]  也很感謝主主
[00:00:02.720 --> 00:00:05.220]  我們今天繼續思考上帝的話
[00:00:05.220 --> 00:00:07.720]  我覺得阿神也很奇妙
[00:00:07.720 --> 00:00:11.020]  你看到我今天第一個powerpoint用了這幅圖畫
[00:00:11.020 --> 00:00:12.620]  原來其實Michelle
[00:00:12.620 --> 00:00:15.020]  就是我們預備發出來的powerpoint
[00:00:15.020 --> 00:00:16.020]  發出來的通訊
[00:00:16.020 --> 00:00:17.220]  我們今個星期也說到
[00:00:17.220 --> 00:00:18.520]  也是用了這幅圖畫
[00:00:18.520 --> 00:00:20.520]  我沒看過她選這幅圖畫的時候
[00:00:20.520 --> 00:00:21.420]  我們選了這幅
[00:00:21.420 --> 00:00:23.020]  原來Michelle也選了這幅
[00:00:23.020 --> 00:00:25.520]  真的很感受到那種同感一致
[00:00:25.520 --> 00:00:27.520]  大家都覺得這幅才能夠表達到
[00:00:27.520 --> 00:00:29.520]  信得太遲
[00:00:29.520 --> 00:00:31.020]  所以我們一起思考
[00:00:31.020 --> 00:00:32.520]  我們一起祈禱
[00:00:32.520 --> 00:00:33.520]  主要我們多謝你
[00:00:33.520 --> 00:00:35.520]  因為我們知道你很奇妙
[00:00:35.520 --> 00:00:38.020]  我們知道你給我們有感動的時候
[00:00:38.020 --> 00:00:39.520]  我們就可以同感一致
[00:00:39.520 --> 00:00:42.520]  求主你讓我們繼續被你的說話去感動我們
[00:00:42.520 --> 00:00:44.520]  讓我們真的感受到你的靈
[00:00:44.520 --> 00:00:45.520]  親自召喚我們
[00:00:45.520 --> 00:00:47.020]  親自教導我們
[00:00:47.020 --> 00:00:48.020]  求你幫助我們
[00:00:48.020 --> 00:00:49.020]  聽我們祈禱
[00:00:49.020 --> 00:00:51.020]  奉耶穌名字而求
[00:00:51.020 --> 00:00:52.020]  阿們
[00:00:52.020 --> 00:00:54.520]  今天的題目叫做信得太遲
[00:00:54.520 --> 00:00:56.020]  當然我在想這個題目的時候
[00:00:56.020 --> 00:00:59.020]  就先想起這首歌
[00:00:59.020 --> 00:01:00.520]  就是愛得太遲
[00:01:00.520 --> 00:01:02.520]  不知道你聽過這首歌沒有
[00:01:02.520 --> 00:01:04.020]  不同年代
[00:01:04.020 --> 00:01:07.020]  我們年輕的年代一定聽過的
[00:01:07.020 --> 00:01:08.020]  如果你認年輕的話
[00:01:08.020 --> 00:01:10.520]  你一定說你聽過的
[00:01:10.520 --> 00:01:12.520]  那你猜猜看你懂不懂
[00:01:12.520 --> 00:01:13.520]  應該都懂
[00:01:13.520 --> 00:01:14.520]  都懂對不對
[00:01:14.520 --> 00:01:15.520]  一定會說懂的
[00:01:15.520 --> 00:01:18.520]  那這首歌裡面正正好在說
[00:01:18.520 --> 00:01:21.520]  歌詞裡面在說我們愛太遲
