
[00:00:00.000 --> 00:00:04.240]  好,今天的題目是繼續用「傾倒舊酒」
[00:00:04.240 --> 00:00:07.000]  作為一個標題,不再委屈求全
[00:00:07.000 --> 00:00:10.880]  大家都知道,今年的題目是「新酒,新皮袋」
[00:00:10.880 --> 00:00:15.240]  所以我們要去迎接這些新酒
[00:00:15.240 --> 00:00:22.080]  讓神的說話,讓耶穌基督的心靈進入我們內心
[00:00:22.080 --> 00:00:24.400]  我們常常要更新我們自己
[00:00:24.400 --> 00:00:28.600]  所以我們要有新酒注入新皮袋裡面
[00:00:28.600 --> 00:00:35.280]  同時我們可能有些舊酒,有些破舊的思想
[00:00:35.280 --> 00:00:42.000]  或者有些破舊的、不好的、生命苦澀的地方
[00:00:42.000 --> 00:00:45.800]  我們都要被主清除
[00:00:45.800 --> 00:00:49.000]  剛才主席幫我們讀了一段經文
[00:00:49.000 --> 00:00:55.120]  大家知道是講一個雅各和以蘇,兩兄弟的故事
[00:00:55.120 --> 00:01:00.120]  特別提及到「委屈求全」
[00:01:00.120 --> 00:01:05.600]  我想講雅各,自覺是一種委屈
[00:01:05.600 --> 00:01:08.160]  自覺是一種屈辱的感覺
[00:01:08.160 --> 00:01:11.400]  請問大家有沒有試過曾經受過委屈?
[00:01:11.400 --> 00:01:16.040]  可以點頭嗎?有沒有?
[00:01:16.040 --> 00:01:18.600]  有些受委屈的人不敢告訴別人
[00:01:18.600 --> 00:01:22.600]  頭都不敢點,一定受過委屈的
[00:01:22.600 --> 00:01:26.400]  因為我們都會覺得有些事情為什麼會這樣呢?
[00:01:26.400 --> 00:01:32.360]  我記得比較深刻的印象是在中學的時候
[00:01:32.360 --> 00:01:35.600]  課堂裡面發生的事情
[00:01:35.600 --> 00:01:42.480]  那天是科學課,科學課就去實驗室上課
[00:01:42.480 --> 00:01:44.720]  不用坐自己的位置,大家很開心
[00:01:44.720 --> 00:01:49.200]  同學特別興奮,大家就坐著玩
[00:01:49.200 --> 00:01:55.200]  丟來丟去的東西,誰知道有人竟然丟了吃完的香口膠出來
[00:01:55.200 --> 00:01:58.920]  丟在我的頭髮上,馬上貼著
[00:01:58.920 --> 00:02:03.840]  真的覺得很不開心,覺得很委屈
[00:02:03.840 --> 00:02:06.680]  為什麼偏偏丟在我身上呢?
[00:02:06.680 --> 00:02:12.600]  你知道要拔也拔不了,要剪掉頭髮,很慘的
[00:02:12.600 --> 00:02:16.200]  覺得很受委屈,而且委屈的意思是
[00:02:16.200 --> 00:02:21.400]  在當眾人面前,你覺得有點羞恥的感覺
[00:02:21.400 --> 00:02:23.560]  這樣就變成這樣的情況
[00:02:23.560 --> 00:02:26.440]  所以那次是我自己一個很大的經歷
[00:02:26.440 --> 00:02:29.640]  一個還記得的事情,很有委屈
[00:02:29.640 --> 00:02:38.960]  原來年輕人的屈辱感,受委屈的感覺
[00:02:38.960 --> 00:02:42.240]  是從頭髮開始的,是不是?
[00:02:42.240 --> 00:02:44.240]  大家是不是很重視你的頭髮呢?
[00:02:44.240 --> 00:02:46.240]  尤其是在讀書的時代
[00:02:46.240 --> 00:02:49.840]  剛才完成了早課後,有一個姐妹跟我說
[00:02:49.840 --> 00:02:54.320]  我比你更慘,我的頭髮上課時被人剪掉了
[00:02:54.320 --> 00:03:01.760]  真的很慘,真的,所以我們很緊張我們移容
[00:03:01.760 --> 00:03:06.160]  很緊張頭髮,所以那時候剪頭髮
[00:03:06.160 --> 00:03:11.400]  這裡長一點,這裡短一點,跟那個非法的說得很清晰
[00:03:11.400 --> 00:03:17.760]  什麼髮型,很重視的,所以很注重自己的樣貌
[00:03:17.760 --> 00:03:23.600]  外表,青少年就是這樣,慢慢成長就是這樣
[00:03:23.600 --> 00:03:27.000]  所以我們的神也很好,他們也很關心我的頭髮
[00:03:27.000 --> 00:03:30.320]  說我的頭髮是逐條數過的,是不是?
[00:03:30.320 --> 00:03:34.280]  所以我相信那天神給我數了幾條掉了出來
[00:03:34.280 --> 00:03:44.120]  變成這種羞辱感,我們很容易在日常生活中體會到
[00:03:44.120 --> 00:03:45.560]  都會經歷到
[00:03:45.560 --> 00:03:52.840]  今天說的是二嫂跟雅閣,雙胞胎的兄弟
[00:03:52.840 --> 00:04:03.560]  二嫂當然對她弟弟雅閣所做的事是非常非常憤怒
[00:04:03.560 --> 00:04:05.360]  甚至要殺了他
[00:04:05.360 --> 00:04:15.440]  在這段經文裏面,不好意思,今天有點雜訊的聲音
[00:04:15.440 --> 00:04:24.120]  雅閣因為騙過哥哥兩次,這段經文說第一次
[00:04:24.120 --> 00:04:31.480]  就是騙長子名分,用詭計換走了長子名分
[00:04:31.480 --> 00:04:34.800]  以及長子的權利
[00:04:34.800 --> 00:04:43.880]  第二次就是借著媽媽李伯嘉的幫助騙了長子的祝福
[00:04:43.880 --> 00:04:46.880]  這就是聖經提及到的
[00:04:46.880 --> 00:04:52.040]  但是你會發覺到雅閣的遭遇裏面
[00:04:52.040 --> 00:04:58.000]  她可能會自覺其實在她的生活裏面是充滿了委屈的
[00:04:58.000 --> 00:05:03.000]  充滿了在一個好像不太公平的情況下的成長
[00:05:03.000 --> 00:05:09.120]  於是帶著一種委屈求全的心態去做人
[00:05:09.120 --> 00:05:15.320]  而且同時有些攻擊性在裏面
[00:05:15.320 --> 00:05:18.040]  所以今天我們看一個人
[00:05:18.040 --> 00:05:24.480]  與中間我們能夠學習如何面對一個真實的自己
[00:05:24.480 --> 00:05:29.600]  所以這個講題叫做「傾倒舊酒,不再委屈求全」
[00:05:29.600 --> 00:05:33.640]  分開三方面,第一方面就是「為什麼總是我」
[00:05:33.640 --> 00:05:37.280]  第二就是「隱藏的攻擊」
[00:05:37.280 --> 00:05:40.800]  第三就是「天生不是寶貝」
[00:05:40.800 --> 00:05:47.280]  「為什麼總是我」
[00:05:47.280 --> 00:05:56.760]  有張圖片,可能這些器材是新的,所以要慢一點
[00:05:56.760 --> 00:06:01.800]  有沒有看到這個球星,一入球就打開衣服
[00:06:01.800 --> 00:06:06.120]  「為什麼總是我」,為什麼整件衣服都是我的呢?
[00:06:06.120 --> 00:06:09.080]  當然,入球慶祝的是你最好
[00:06:09.080 --> 00:06:12.520]  但是如果是委屈,看到不開心的東西是你
[00:06:12.520 --> 00:06:16.000]  你也會講話,為什麼都是我的?每次都是我的?
[00:06:16.000 --> 00:06:19.120]  為什麼不好的東西都是來到我身上?
[00:06:19.120 --> 00:06:24.200]  我們看一段經文,是《創世紀31章40到42節》
[00:06:24.200 --> 00:06:26.480]  這段經文是雅各自己講的
[00:06:26.480 --> 00:06:30.080]  「我天天都受盡一個炎熱」
[00:06:30.080 --> 00:06:31.840]  我們也會看到經文
[00:06:31.840 --> 00:06:37.800]  「黑夜就受盡寒霜,睡覺也不能閉上眼」
[00:06:37.800 --> 00:06:42.520]  「我這二十年在你家裏,為了你兩個女兒服侍了十四年」
[00:06:42.520 --> 00:06:45.360]  「又為了你的羊群服侍了六年」
[00:06:45.360 --> 00:06:50.120]  「你現在十次更改我的工資,越改越少」
[00:06:50.120 --> 00:06:53.240]  「如果不是我父親以殺更威的神」
[00:06:53.240 --> 00:06:55.600]  「阿巴罕的神和我同在」
[00:06:55.600 --> 00:06:58.800]  「你現在一定是打發我空手回去」
[00:06:58.800 --> 00:07:04.520]  「神看見我的苦情和辛勞,昨晚已經責備了你」
[00:07:04.520 --> 00:07:09.840]  這番說話聽起來也很委屈的
[00:07:09.840 --> 00:07:14.000]  這是雅各跟舅父拉班所講的
[00:07:14.000 --> 00:07:16.720]  充滿了委屈的說話
[00:07:16.720 --> 00:07:19.720]  充滿了辛酸
[00:07:19.720 --> 00:07:24.480]  因為經常人們都會覺得自己有屈辱感
[00:07:24.480 --> 00:07:27.280]  受委屈
[00:07:27.280 --> 00:07:29.680]  因為是某些人所做的事情
[00:07:29.680 --> 00:07:34.400]  令自己覺得是受委屈
[00:07:34.400 --> 00:07:40.280]  如果你有受委屈,你的反應是怎樣呢?
[00:07:40.280 --> 00:07:44.240]  你有沒有想過感覺一下這種感受
[00:07:44.240 --> 00:07:45.280]  究竟是甚麼感受?
[00:07:45.280 --> 00:07:48.840]  當然是很痛苦、很羞恥、很無地自容
