
[00:00:00.000 --> 00:00:04.500]  我們知道大部份人都不渴求權力
[00:00:04.500 --> 00:00:08.140]  但是我們每一個人都擁有權力
[00:00:08.140 --> 00:00:10.400]  跟你隔壁爹講一聲你是擁有權力的
[00:00:10.400 --> 00:00:13.440]  在乎大與小
[00:00:13.440 --> 00:00:16.400]  但大部份人都渴求安逸
[00:00:16.400 --> 00:00:19.400]  我們希望可以安安樂樂過日子
[00:00:19.400 --> 00:00:22.400]  在戴大衛的生平裏面告訴你和我知道
[00:00:22.400 --> 00:00:25.400]  當他在安逸和擁有權力之下
[00:00:25.400 --> 00:00:27.000]  竟然失敗了
[00:00:27.000 --> 00:00:31.000]  所以告訴我們安逸和權力是一件很危險的事情
[00:00:31.000 --> 00:00:35.000]  大家看《撒末爾記》下第8章、第9章、第10章和第11章
[00:00:35.000 --> 00:00:38.000]  一開頭看下去
[00:00:38.000 --> 00:00:40.000]  你就開始發現一個問題
[00:00:40.000 --> 00:00:43.000]  為何作者要寫第8章、第9章、第10章
[00:00:43.000 --> 00:00:48.000]  如果我們靈修每日看一章聖經就看不到那種連貫性
[00:00:48.000 --> 00:00:51.000]  如果你一路看下去就會看到連貫性
[00:00:51.000 --> 00:00:53.000]  就開始看是否有些多餘
[00:00:53.000 --> 00:00:55.000]  第8章、第9章、第10章有些多餘
[00:00:55.000 --> 00:00:57.000]  一跳到第11章就算了
[00:00:57.000 --> 00:01:02.000]  但其實整個鋪陳想告訴你一個很重要的訊息
[00:01:02.000 --> 00:01:05.000]  一會兒我們到總結部分就告訴你
[00:01:05.000 --> 00:01:07.000]  我們看到第8章裏面記載
[00:01:07.000 --> 00:01:09.000]  大衛是戰無不勝的
[00:01:09.000 --> 00:01:12.000]  我們看到自服了非利士人
[00:01:12.000 --> 00:01:14.000]  猶太人追打敵人
[00:01:14.000 --> 00:01:19.000]  接著摩訶人、大馬式的雅蘭人
[00:01:19.000 --> 00:01:21.000]  大衛都戰勝了
[00:01:21.000 --> 00:01:22.000]  兩次提到
[00:01:22.000 --> 00:01:24.000]  第10章、第6節和第11節
[00:01:24.000 --> 00:01:25.000]  大衛無論往那裏去
[00:01:25.000 --> 00:01:27.000]  耶和華都使他得勝
[00:01:27.000 --> 00:01:28.000]  你想想
[00:01:28.000 --> 00:01:29.000]  兩次
[00:01:29.000 --> 00:01:33.000]  在第10章的第6節和第11節
[00:01:33.000 --> 00:01:35.000]  將大衛的名字變成你的名字
[00:01:35.000 --> 00:01:36.000]  你都很開心
[00:01:36.000 --> 00:01:38.000]  跟你隔壁弟兄說一聲
[00:01:38.000 --> 00:01:39.000]  你無論往那裏去
[00:01:39.000 --> 00:01:41.000]  都戰無不勝
[00:01:41.000 --> 00:01:48.000]  在這裏我們看到耶和華使他得勝
[00:01:48.000 --> 00:01:51.000]  我們人生如果這麼順境就很好
[00:01:51.000 --> 00:01:53.000]  大衛是每個地方都打贏仗
[00:01:53.000 --> 00:01:54.000]  不單止這樣
[00:01:54.000 --> 00:01:55.000]  第8章、第11節
[00:01:55.000 --> 00:01:57.000]  大衛將皇張者
[00:01:57.000 --> 00:01:59.000]  即是棄命和他自服
[00:01:59.000 --> 00:02:00.000]  各國所得來的金銀
[00:02:00.000 --> 00:02:02.000]  都分別為勝的獻給耶和華
[00:02:02.000 --> 00:02:04.000]  他跟蘇羅很不一樣
[00:02:04.000 --> 00:02:05.000]  他是尊耶和華為勝
[00:02:05.000 --> 00:02:11.000]  將擄掠回來的得勝的勝利品獻給耶和華
[00:02:11.000 --> 00:02:13.000]  第三我們看到
[00:02:13.000 --> 00:02:17.000]  大衛在鹽谷擊殺了雅蘭人
[00:02:17.000 --> 00:02:20.000]  18000人回來就得著大名
[00:02:20.000 --> 00:02:23.000]  他的名聲就遠播
[00:02:23.000 --> 00:02:26.000]  一場仗令他揚威立萬
[00:02:26.000 --> 00:02:27.000]  他更加重要的是
[00:02:27.000 --> 00:02:28.000]  第8章、第15節
[00:02:28.000 --> 00:02:30.000]  大衛作以撕裂眾人的皇
[00:02:30.000 --> 00:02:33.000]  又向眾民秉行公義
[00:02:33.000 --> 00:02:35.000]  看到這裏
[00:02:35.000 --> 00:02:38.000]  你覺得大衛真是完美無瑕
[00:02:38.000 --> 00:02:40.000]  打仗必贏
[00:02:40.000 --> 00:02:44.000]  以耶和華為他的生命的守衛
[00:02:44.000 --> 00:02:46.000]  秉行公義
[00:02:46.000 --> 00:02:50.000]  這樣的皇帝還有什麼要求呢
[00:02:50.000 --> 00:02:51.000]  你對皇帝的要求
[00:02:51.000 --> 00:02:53.000]  最後第9章、第1節
[00:02:53.000 --> 00:02:56.000]  大衛說蘇羅家還有沒有剩下的人
[00:02:56.000 --> 00:02:57.000]  沒有呢
[00:02:57.000 --> 00:02:59.000]  我要因約拿丹的緣故向他施恩
[00:02:59.000 --> 00:03:01.000]  他分享了上帝的屬性
[00:03:01.000 --> 00:03:02.000]  是守約斯慈愛的
[00:03:02.000 --> 00:03:05.000]  他答應約拿丹要恩代後裔
[00:03:05.000 --> 00:03:06.000]  後來他真的實踐
[00:03:06.000 --> 00:03:09.000]  看到這裏大衛是極其完美
[00:03:09.000 --> 00:03:11.000]  你看到極其完美
[00:03:11.000 --> 00:03:15.000]  你差不多找不到一個人去到這麼好
