
[00:00:00.000 --> 00:00:02.960]  弟兄姊妹,平安
[00:00:02.960 --> 00:00:07.600]  是的,這確實是一個疫症來的
[00:00:07.600 --> 00:00:11.600]  這個疫可以是疫症的疫,瘟疫的疫
[00:00:11.600 --> 00:00:15.800]  但亦都可能對不少的人或家庭來說
[00:00:15.800 --> 00:00:18.600]  這個都是瘟疫的疫,疫症
[00:00:18.600 --> 00:00:21.200]  如果只是這個瘟疫的情況
[00:00:21.200 --> 00:00:23.400]  好像對今早我最新的資料
[00:00:23.400 --> 00:00:25.400]  去到七點鐘的時候的最新資料
[00:00:25.400 --> 00:00:32.800]  內地的確診就多過六萬八千宗確診
[00:00:32.800 --> 00:00:39.000]  死亡都去到一千六百人以上
[00:00:39.000 --> 00:00:44.000]  至於本港都是有五十六宗的確診
[00:00:44.000 --> 00:00:48.600]  有一位的朋友是死亡
[00:00:48.600 --> 00:00:51.200]  在確診裏面其中有一位
[00:00:51.200 --> 00:00:56.200]  我們的消息都是說在小西灣那邊住的
[00:00:56.200 --> 00:01:01.200]  當然在這個情況之下有什麼可以做
[00:01:01.200 --> 00:01:04.200]  祈禱當然可以做,而且一定要做
[00:01:04.200 --> 00:01:09.000]  甚至乎這個是最重要的其中一個行動
[00:01:09.000 --> 00:01:13.600]  祈禱不是一個機械式的動作這麼簡單
[00:01:13.600 --> 00:01:16.800]  正如上一次我講到的時候都提過
[00:01:16.800 --> 00:01:23.200]  沈祖堯醫生是沙士時期的一個亞洲英雄
[00:01:23.200 --> 00:01:25.000]  他曾經都講過
[00:01:25.000 --> 00:01:28.600]  在祈禱裏面就是要承認自己的無能和無知
[00:01:28.600 --> 00:01:30.200]  所以我們繼續祈禱
[00:01:30.200 --> 00:01:32.200]  弟兄姊妹繼續彼此的代禱
[00:01:32.200 --> 00:01:38.400]  也都為這個疫情之下的世界不同的角落的人
[00:01:38.400 --> 00:01:40.600]  受到影響的人來祈禱
[00:01:40.600 --> 00:01:46.800]  祈禱的時候其實我們最核心的就是認定自己的無知無能
[00:01:46.800 --> 00:01:51.200]  以致認定上帝才是那位全知全能的上帝
[00:01:51.200 --> 00:01:55.800]  而祂的全知全能的最大彰顯也是在祂的愛那裏
[00:01:55.800 --> 00:01:58.000]  祂是全愛的上帝
[00:01:58.000 --> 00:02:02.200]  所以我們祈禱裏面求主施恩、憐憫、醫治
[00:02:02.200 --> 00:02:05.000]  同時是求主教導我們
[00:02:05.000 --> 00:02:08.800]  知道這個疫症之下我們要學些什麼功課
[00:02:08.800 --> 00:02:11.800]  聖經都說神要叫萬事互相效力
[00:02:11.800 --> 00:02:13.800]  叫愛神的人得益處
[00:02:13.800 --> 00:02:17.000]  所以在這個逆境當中我們可以學些什麼
[00:02:17.000 --> 00:02:20.800]  以致我們的靈性可以繼續進展
[00:02:20.800 --> 00:02:24.200]  當然除了祈禱之外也都有人彼此的提醒
[00:02:24.200 --> 00:02:25.200]  是真的
[00:02:25.200 --> 00:02:28.000]  這個時候都是一個傳福音的時候
[00:02:28.000 --> 00:02:31.200]  人在軟弱的裏面
[00:02:31.200 --> 00:02:33.400]  正是要看見上帝的大能
[00:02:33.400 --> 00:02:35.000]  而且接受上帝的大能
[00:02:35.000 --> 00:02:36.000]  所以弟兄姊妹
[00:02:36.000 --> 00:02:40.600]  這個也是一個傳福音、見證福音的大好時機
[00:02:40.600 --> 00:02:45.800]  可能你在網上、WhatsApp群組都會見過一個短片
[00:02:45.800 --> 00:02:46.800]  不知道會不會呢
[00:02:46.800 --> 00:02:49.400]  就是在武漢這個城市裏面
[00:02:49.400 --> 00:02:51.400]  都有些教會的弟兄姊妹
[00:02:51.400 --> 00:02:57.400]  是出到街那裏來向途人派口罩
[00:02:57.400 --> 00:02:58.800]  有沒有看到?
[00:02:58.800 --> 00:03:00.200]  有些人都看過
[00:03:00.200 --> 00:03:03.800]  平時他們是不可以的
[00:03:03.800 --> 00:03:05.200]  基督徒在國內是不可以的
[00:03:05.200 --> 00:03:07.800]  是公開場合自己在那裏傳福音的
[00:03:07.800 --> 00:03:09.600]  但是他們就透過這個機會
[00:03:09.600 --> 00:03:11.400]  是服侍這個社區
[00:03:11.400 --> 00:03:12.800]  派一些免費口罩
[00:03:12.800 --> 00:03:14.400]  然後向他們傳福音
[00:03:14.400 --> 00:03:15.600]  還可以大大聲說
[00:03:15.600 --> 00:03:17.400]  我們是信耶穌的
[00:03:17.400 --> 00:03:21.000]  你也可以信耶穌等等
[00:03:21.000 --> 00:03:24.200]  這個是一個可以傳揚福音的機會
[00:03:24.200 --> 00:03:25.200]  所以弟兄姊妹
[00:03:25.200 --> 00:03:26.600]  我們都可以把握這個機會
[00:03:26.600 --> 00:03:31.000]  向一些我們的親友傳揚耶穌福音
[00:03:31.000 --> 00:03:33.400]  不過當然接下來我們可以問
[00:03:33.400 --> 00:03:36.400]  怎麼做呢?或者是怎麼說呢?
[00:03:36.400 --> 00:03:38.600]  怎麼傳福音呢?
[00:03:38.600 --> 00:03:42.200]  剛才我們讀第一段經文都是馬可福音
[00:03:42.200 --> 00:03:44.600]  第二段主席為我們讀出的
[00:03:44.600 --> 00:03:47.400]  是今天我們宣講的福音書
[00:03:47.400 --> 00:03:50.600]  都是一種馬可福音十二章
[00:03:50.600 --> 00:03:53.400]  其實當然整卷的福音書
[00:03:53.400 --> 00:03:54.800]  說到明是福音書
[00:03:54.800 --> 00:04:00.400]  所以就是顯明福音是什麼意思
[00:04:00.400 --> 00:04:03.800]  顯明福音帶來的耶穌基督
[00:04:03.800 --> 00:04:07.200]  耶穌基督帶來的福音是一個怎樣的福音
[00:04:07.200 --> 00:04:09.400]  所以在整卷的福音書
[00:04:09.400 --> 00:04:10.800]  主耶穌已經指引我們
[00:04:10.800 --> 00:04:12.800]  可以怎樣做福音見證
[00:04:12.800 --> 00:04:14.000]  而在剛才讀出的
[00:04:14.000 --> 00:04:18.000]  馬可福音十二章三十八節到四十四節
[00:04:18.000 --> 00:04:21.000]  當然一定是主耶穌教導我們
[00:04:21.000 --> 00:04:22.400]  可以怎樣做
[00:04:22.400 --> 00:04:27.200]  或者怎樣說這個福音的見證
[00:04:27.200 --> 00:04:30.400]  在這裡大概我們都看到這段經文
[00:04:30.400 --> 00:04:33.000]  可以分成兩小段
[00:04:33.000 --> 00:04:36.400]  第三十八節到四十節是一段
[00:04:36.400 --> 00:04:40.800]  第二段是四十一節到四十四節是第二段
[00:04:40.800 --> 00:04:43.000]  如果在這裡仍然是一個
