
[00:00:00.000 --> 00:00:05.000]  丁子妹今天心情如何?
[00:00:05.000 --> 00:00:10.000]  今天心情如何?
[00:00:10.000 --> 00:00:17.000]  知不知道快要打仗了?
[00:00:17.000 --> 00:00:20.000]  其實今天在地球上每一個地方
[00:00:20.000 --> 00:00:23.000]  有很多打仗的空間
[00:00:23.000 --> 00:00:27.000]  但是人與人之間都有很多矛盾和衝突
[00:00:27.000 --> 00:00:30.000]  打仗機會越來越大的時候
[00:00:30.000 --> 00:00:32.000]  我們如何看待戰爭
[00:00:32.000 --> 00:00:35.000]  又或者如何看待三千多年前
[00:00:35.000 --> 00:00:38.000]  以色列人要攻取迦南
[00:00:38.000 --> 00:00:41.000]  今天的戰爭我們看到
[00:00:41.000 --> 00:00:45.000]  以色列和巴勒斯坦地區的衝突
[00:00:45.000 --> 00:00:48.000]  今天的可能戰爭
[00:00:48.000 --> 00:00:52.000]  印度人走過一點邊界
[00:00:52.000 --> 00:00:55.000]  中國就說你快點走過去
[00:00:55.000 --> 00:00:58.000]  不然我打你
[00:00:58.000 --> 00:01:02.000]  東南亞海島可能因為有漁獲
[00:01:02.000 --> 00:01:04.000]  可能有石油
[00:01:04.000 --> 00:01:07.000]  就有很多不同的爭端
[00:01:07.000 --> 00:01:10.000]  中國、越南、日本、菲律賓
[00:01:10.000 --> 00:01:15.000]  總之有爭議的地方都有機會打仗
[00:01:15.000 --> 00:01:19.000]  北韓和美國
[00:01:19.000 --> 00:01:24.000]  美國特朗普是什麼人?
[00:01:24.000 --> 00:01:27.000]  瘋的
[00:01:27.000 --> 00:01:30.000]  姓金的呢?北韓那個
[00:01:30.000 --> 00:01:33.000]  傻的
[00:01:33.000 --> 00:01:37.000]  昨天特朗普又打電話給
[00:01:37.000 --> 00:01:40.000]  我們國家的主席
[00:01:40.000 --> 00:01:42.000]  習主席
[00:01:42.000 --> 00:01:44.000]  習主席呢?
[00:01:44.000 --> 00:01:46.000]  不能說
[00:01:46.000 --> 00:01:49.000]  國家機密
