
[00:00:00.000 --> 00:00:03.380]  我們今天教會的印象是什麼?
[00:00:03.380 --> 00:00:06.200]  建立永生神上帝的家
[00:00:06.200 --> 00:00:11.120]  那麼剛才我們的使命跟目標也都有報告過了
[00:00:11.120 --> 00:00:15.320]  我們為什麼會要來建立永生神上帝的居所呢?
[00:00:15.320 --> 00:00:18.600]  因為我上次第一次講的時候
[00:00:18.600 --> 00:00:20.800]  我特別講說耶和華說
[00:00:20.800 --> 00:00:23.240]  天是我的座位
[00:00:23.240 --> 00:00:25.240]  地是我的腳凳
[00:00:25.240 --> 00:00:28.280]  你們要我建什麼聖殿呢?
[00:00:28.280 --> 00:00:31.440]  我在哪裡得安息呢?
[00:00:31.440 --> 00:00:34.560]  我們的神沒有安息的地方
[00:00:34.560 --> 00:00:37.560]  耶穌當祂出生的時候
[00:00:37.560 --> 00:00:40.400]  路加福音書瑪利亞的產期到了
[00:00:40.400 --> 00:00:45.280]  結果祂生在馬槽裡用布包了
[00:00:45.280 --> 00:00:48.160]  因為客殿沒有地方
[00:00:48.160 --> 00:00:51.600]  我們也沒有地方歡迎我們的耶穌基督
[00:00:51.600 --> 00:00:57.040]  而我們最近去看《諾亞方舟》這個電影
[00:00:57.040 --> 00:01:00.120]  記得嗎?鴿子放出去祂又飛回來
[00:01:00.120 --> 00:01:02.440]  因為大水氾濫
[00:01:02.440 --> 00:01:05.200]  鴿子沒有露腳的地方
[00:01:05.200 --> 00:01:08.640]  聖靈也沒有立足之地
[00:01:08.640 --> 00:01:10.640]  所以我們要來到神的面前
[00:01:10.640 --> 00:01:13.040]  我們真的是要再一次求祂
[00:01:13.040 --> 00:01:14.640]  來原諒我們
[00:01:14.640 --> 00:01:18.440]  我們真的是讓永生神上帝
[00:01:18.440 --> 00:01:20.840]  沒有了祂的居所
[00:01:20.840 --> 00:01:22.640]  甚至於耶穌說
[00:01:22.640 --> 00:01:27.840]  湖裡有洞、飛鳥有窩、人子沒有枕頭的地方
[00:01:27.840 --> 00:01:32.640]  我們有為耶穌、為神、為神國來努力嗎?
[00:01:32.640 --> 00:01:36.240]  為祂建造祂的居所嗎?
[00:01:36.240 --> 00:01:38.240]  以前在古老時候
[00:01:38.240 --> 00:01:40.640]  在曠野摩西有檜木
[00:01:40.640 --> 00:01:42.040]  Tepenico
[00:01:42.040 --> 00:01:44.040]  神在其中
[00:01:44.040 --> 00:01:47.240]  後來到了大衛的檜木
[00:01:47.240 --> 00:01:50.640]  後來到了所羅門的聖殿
