
[00:00:00.000 --> 00:00:05.720]  另一段就是耶穌對那些信祂的猶太人來講的說話
[00:00:05.720 --> 00:00:09.880]  內容正如經文所講的
[00:00:09.880 --> 00:00:13.720]  如果你們遵守我的道,就是我的門徒
[00:00:13.720 --> 00:00:17.440]  你們認識真理,真理就會叫你們自由
[00:00:17.440 --> 00:00:26.480]  當時耶穌猶太人的門徒有些疑惑或不太同意
[00:00:26.480 --> 00:00:31.920]  他說:我們阿伯拉罕的後裔從來都沒有做過哪一個奴隸
[00:00:31.920 --> 00:00:34.720]  為什麼你說要使我們得自由呢?
[00:00:34.720 --> 00:00:37.920]  好像我們現在是不自由那樣呢?
[00:00:37.920 --> 00:00:43.160]  其實猶太人是做過奴隸的,在埃及是做過奴隸
[00:00:43.160 --> 00:00:47.480]  亦都是被巴比倫統治過,亞述統治過
[00:00:47.480 --> 00:00:51.440]  就算他們當時亦都是被羅馬統治的
[00:00:51.440 --> 00:00:57.080]  但是在猶太人的理解裏面,他們仍然是自由的
[00:00:57.080 --> 00:01:00.040]  因為他們是阿伯拉罕的後裔
[00:01:00.040 --> 00:01:03.440]  他們仍然是維持他們的信仰
[00:01:03.440 --> 00:01:06.000]  所以他們就這樣回答耶穌
[00:01:06.000 --> 00:01:08.240]  我們沒有做過哪一個奴隸
[00:01:08.240 --> 00:01:15.440]  所以這也不是從一個政治的處境上來講的
[00:01:15.440 --> 00:01:17.800]  耶穌也回答得很特別
[00:01:17.800 --> 00:01:22.080]  他說:我告訴你們,所有犯罪的人就是罪的奴隸
[00:01:22.080 --> 00:01:26.000]  奴隸是不會永遠在家裏面的
[00:01:26.000 --> 00:01:29.160]  他沒有自由在裏面的
[00:01:29.160 --> 00:01:32.240]  所以上帝的懿旨是你們得到自由
[00:01:32.240 --> 00:01:34.080]  你們才得到自由
[00:01:34.080 --> 00:01:38.400]  你們的對話是有點特別的
[00:01:38.400 --> 00:01:48.480]  耶穌是將真理和自由放在一起去講的
[00:01:48.480 --> 00:01:52.320]  而第二段的聖經就是另外一個處境
[00:01:52.320 --> 00:01:56.000]  就是耶穌被出賣被抓了
[00:01:56.000 --> 00:02:02.080]  在受苦節的時候,他就被抓到彼拉多那裏受審
[00:02:02.080 --> 00:02:05.960]  彼拉多就根據猶太人的指控
[00:02:05.960 --> 00:02:10.920]  猶太人說他是自稱是王,是一個政治上的叛亂者
[00:02:10.920 --> 00:02:13.720]  彼拉多就問他:你是不是王?
[00:02:13.720 --> 00:02:18.760]  耶穌就說:你說我是王,我是為此而生的
[00:02:18.760 --> 00:02:22.520]  是來到這個世界為真理作見證
[00:02:22.520 --> 00:02:25.320]  耶穌的答法也都特別的
[00:02:25.320 --> 00:02:29.680]  耶穌在這裏又講了今天我要講的主題
[00:02:29.680 --> 00:02:32.280]  他說:我來到這裏是要為真理作見證的
[00:02:32.280 --> 00:02:36.160]  凡屬真理的人就要聽我的話
[00:02:36.160 --> 00:02:40.320]  彼拉多就回應了一個問題
[00:02:40.320 --> 00:02:43.520]  他說:真理是甚麼呢?
[00:02:43.520 --> 00:02:48.400]  在這個處境裏面,耶穌是這樣回答的
[00:02:48.400 --> 00:02:52.080]  而彼拉多就問了這個問題:真理是甚麼呢?
[00:02:52.080 --> 00:02:55.120]  這個都是一個永恆的思考
[00:02:55.120 --> 00:02:58.400]  我想所有的基督徒的人可能都要想一想
[00:02:58.400 --> 00:03:01.040]  真理是甚麼呢?
[00:03:01.040 --> 00:03:03.600]  我們講到之前有一個祈禱
[00:03:03.600 --> 00:03:10.160]  求主至恩,讓聖經的說話能夠讓我們明白更加多
[00:03:10.160 --> 00:03:14.480]  以致我們能夠有更好的回應
[00:03:14.480 --> 00:03:20.200]  願講的和聽的都同得這個好處
[00:03:20.200 --> 00:03:25.240]  祈禱奉耶穌基督的名,誠心所願
[00:03:25.240 --> 00:03:28.640]  彼拉多的問題是:真理是甚麼呢?
[00:03:28.640 --> 00:03:33.480]  真理可以說是一個很重要的題目
[00:03:33.480 --> 00:03:38.480]  或者是一個我剛才說的永恆的追尋
[00:03:38.480 --> 00:03:41.320]  孔子曾經這樣說過
[00:03:41.320 --> 00:03:45.640]  他說:朝聞道,直死可以
[00:03:45.640 --> 00:03:47.840]  即是朝後早聽到道
[00:03:47.840 --> 00:03:53.960]  這個道,我們都可以詮釋它為一個很重要的
[00:03:53.960 --> 00:03:58.760]  永恆的、不可或缺的一種真理
[00:03:58.760 --> 00:04:02.680]  如果朝後早聽到道
[00:04:02.680 --> 00:04:05.200]  即是聽聞了這個真理
[00:04:05.200 --> 00:04:11.720]  直死可以,即是晚上就可以死了
[00:04:11.720 --> 00:04:15.680]  即是說,如果我們能夠找到這個真理
[00:04:15.680 --> 00:04:19.600]  就死而無憾了
