
[00:00:00.000 --> 00:00:03.440]  我們一起讀約翰福音21章14至17節
[00:00:03.440 --> 00:00:04.320]  1、2、3
[00:00:04.320 --> 00:00:06.840]  耶穌從死裏復活以後
[00:00:06.840 --> 00:00:08.520]  向門徒顯現
[00:00:08.520 --> 00:00:10.200]  這次是第三次
[00:00:10.200 --> 00:00:12.600]  他們喫完了早餐
[00:00:12.600 --> 00:00:14.560]  耶穌對西滿彼得說
[00:00:14.560 --> 00:00:16.160]  約翰的兒子西滿
[00:00:16.160 --> 00:00:18.760]  你愛我比這些更深嗎?
[00:00:18.760 --> 00:00:19.680]  彼得說
[00:00:19.680 --> 00:00:21.080]  主也是的
[00:00:21.080 --> 00:00:22.720]  你知道我愛你
[00:00:22.720 --> 00:00:24.360]  耶穌對他說
[00:00:24.360 --> 00:00:26.400]  你慰養我的小羊
[00:00:26.400 --> 00:00:29.040]  耶穌第二次又對他說
[00:00:29.040 --> 00:00:30.520]  約翰的兒子西滿
[00:00:30.520 --> 00:00:31.960]  你愛我嗎?
[00:00:31.960 --> 00:00:32.840]  彼得說
[00:00:32.840 --> 00:00:34.080]  主也是的
[00:00:34.080 --> 00:00:35.920]  你知道我愛你
[00:00:35.920 --> 00:00:36.760]  耶穌說
[00:00:36.760 --> 00:00:38.560]  你慰養我的羊
[00:00:38.560 --> 00:00:40.800]  第三次對他說
[00:00:40.800 --> 00:00:42.360]  約翰的兒子西滿
[00:00:42.360 --> 00:00:43.840]  你愛我嗎?
[00:00:43.840 --> 00:00:46.720]  彼得因爲耶穌第三次對他說
[00:00:46.720 --> 00:00:47.720]  你愛我嗎?
[00:00:47.720 --> 00:00:50.160]  就憂愁對耶穌說
[00:00:50.160 --> 00:00:50.920]  主啊
[00:00:50.920 --> 00:00:52.560]  你是無所不知的
[00:00:52.560 --> 00:00:54.280]  你知道我愛你
[00:00:54.280 --> 00:00:55.200]  耶穌說
[00:00:55.200 --> 00:00:56.840]  你慰養我的羊
[00:00:56.840 --> 00:00:59.320]  大兄姐妹 我相信大家都不是第一次
[00:00:59.320 --> 00:01:01.720]  看這一節經文
[00:01:01.720 --> 00:01:04.040]  當我們看見
[00:01:04.040 --> 00:01:06.400]  彼得因爲耶穌第三次對他說
[00:01:06.400 --> 00:01:08.440]  你愛我嗎?就憂愁的時候
[00:01:08.440 --> 00:01:10.960]  很多解經家或者我們看《聖經》的
[00:01:10.960 --> 00:01:13.120]  都直接去參考
[00:01:13.120 --> 00:01:17.880]  看回彼得三次不認主那段經文
[00:01:17.880 --> 00:01:20.440]  我相信彼得
