
[00:00:00.000 --> 00:00:04.000]  二十四節的經文,我們都很熟悉的一段經文,
[00:00:04.000 --> 00:00:09.000]  講到人怎麼犯罪,今天我們要從這裏呢,來反省人生。
[00:00:09.000 --> 00:00:12.000]  首先我要講的是什麼呢?
[00:00:12.000 --> 00:00:17.000]  這段經文有很多很多的人生的教訓,我們都知道的。
[00:00:17.000 --> 00:00:21.000]  關於人怎麼樣受誘惑,有些講道呢,已經講得很清楚了,
[00:00:21.000 --> 00:00:26.000]  你不要跟那個蛇來對話,你跟他對話呢,你一定會輸的,
[00:00:26.000 --> 00:00:28.000]  你一定會犯罪,等等,很多的教訓。
[00:00:28.000 --> 00:00:31.000]  不過今天呢,我要問一個問題。
[00:00:31.000 --> 00:00:37.000]  就是,爲什麼我們人明明知道上帝的話是好的,
[00:00:37.000 --> 00:00:39.000]  我們卻不聽上帝的話呢?
[00:00:39.000 --> 00:00:42.000]  這是不是你曾經想過的問題呢?
[00:00:42.000 --> 00:00:45.000]  這是不是你曾經掙扎過的一個困難呢?
[00:00:45.000 --> 00:00:48.000]  我們明明都知道上帝的話肯定是好的,
[00:00:48.000 --> 00:00:51.000]  可是那個問題不是說我們不知道,
[00:00:51.000 --> 00:00:54.000]  那問題是,我們不去行。
[00:00:54.000 --> 00:01:00.000]  我們中國人有一句話說,是知易行難,對嗎?
[00:01:00.000 --> 00:01:03.000]  到底那個關鍵是什麼?
[00:01:03.000 --> 00:01:06.000]  當然,這段經文裏面還有很多其他的答案可以給我們,
[00:01:06.000 --> 00:01:10.000]  比如說,我們是不是真認識神?
[00:01:10.000 --> 00:01:14.000]  我們是不是真知道祂的好跟祂的偉大?等等。
[00:01:14.000 --> 00:01:20.000]  但是今天我要跟大家分享呢,就是,很多時候是因爲呢,
[00:01:20.000 --> 00:01:26.000]  這段經文告訴我們,是我們低估了自由的無比破壞力。
[00:01:26.000 --> 00:01:30.000]  我再說一遍,我們人爲什麼不能夠聽上帝的話,
[00:01:30.000 --> 00:01:39.000]  很多時候是我們低估了上帝給我們的自由的那個威力。
