
[00:00:00.000 --> 00:00:04.280]  在今年我們一直思想「夢照使命」
[00:00:04.280 --> 00:00:06.560]  在講九牌靈碑的時候
[00:00:06.560 --> 00:00:08.320]  陳牧師也不斷提出
[00:00:08.320 --> 00:00:11.020]  「信仰就是生活,生活就是使命」
[00:00:11.020 --> 00:00:15.160]  到底使命是否我們拿了命令
[00:00:15.160 --> 00:00:18.360]  接了命令就去做呢?
[00:00:18.360 --> 00:00:22.480]  到底神給我們的使命
[00:00:22.480 --> 00:00:25.040]  如果我們從我們的角度看
[00:00:25.040 --> 00:00:26.640]  就是想做些事
[00:00:26.640 --> 00:00:29.000]  但在神的角度
[00:00:29.000 --> 00:00:31.280]  或者從祂的眼光去看的時候
[00:00:31.280 --> 00:00:33.120]  或者從祂的目的去看的時候
[00:00:33.120 --> 00:00:36.360]  祂想成就些甚麼呢?
[00:00:36.360 --> 00:00:39.680]  我從創世開始看神的創造的時候
[00:00:39.680 --> 00:00:42.360]  祂想做甚麼?
[00:00:42.360 --> 00:00:44.560]  神的創造只有一件事
[00:00:44.560 --> 00:00:47.440]  祂要得榮耀
[00:00:47.440 --> 00:00:51.360]  我們不是很容易明白榮耀是甚麼
[00:00:51.360 --> 00:00:53.200]  所以《詩篇》第十九篇第一句話
[00:00:53.200 --> 00:00:56.280]  「諸天術說神的榮耀」
[00:00:56.280 --> 00:00:59.360]  神創造人的時候
[00:00:59.360 --> 00:01:00.480]  是甚麼呢?
[00:01:00.480 --> 00:01:02.840]  都是要人榮耀祂
[00:01:02.840 --> 00:01:08.120]  但人偏偏不遵行神的道
[00:01:08.120 --> 00:01:10.800]  所以規決了神的榮耀
[00:01:10.800 --> 00:01:13.720]  創造之後
[00:01:13.720 --> 00:01:17.680]  神再次在人中間顯出祂的作為
[00:01:17.680 --> 00:01:19.680]  就是祂的拯救
[00:01:19.680 --> 00:01:22.360]  這個拯救裏面想做甚麼呢?
[00:01:22.360 --> 00:01:25.800]  你們是補血重價所買贖回來的
[00:01:25.800 --> 00:01:29.560]  這個救恩要在你們的身上榮耀神
[00:01:29.560 --> 00:01:31.560]  又是說到榮耀
[00:01:31.560 --> 00:01:32.880]  所以弟兄姊妹
