
[00:00:00.000 --> 00:00:04.000]  上兩個星期,我們在《哥倫多前書》頭的幾章一同思考
[00:00:04.000 --> 00:00:09.000]  我們作為一個屬神的人,就是有聖靈居住的人
[00:00:09.000 --> 00:00:15.000]  我們再不是屬於這個世界,再不是屬於我們的肉體來過我們的生活
[00:00:15.000 --> 00:00:21.000]  我們應該追求作為一個屬靈的人,因為這是神的心意
[00:00:21.000 --> 00:00:26.000]  亦都是我們有聖靈居住在我們心中
[00:00:27.000 --> 00:00:31.000]  而且得救的人,一個新造的人,我們有的生活
[00:00:31.000 --> 00:00:38.000]  我們的生活很多是抉擇,這個抉擇取自於我們的價值觀念
[00:00:38.000 --> 00:00:42.000]  所以我們對自己的認識很重要
[00:00:42.000 --> 00:00:50.000]  對於這個周圍的環境,能夠有個看透這個世情
[00:00:50.000 --> 00:00:56.000]  能夠可以持守神的心意,是一個很重要的價值觀念
[00:00:57.000 --> 00:00:59.000]  是屬靈取決的基礎
[00:00:59.000 --> 00:01:06.000]  在上個星期跟大家剛看完的就是這個屬靈人應該有的聖道德觀念
[00:01:06.000 --> 00:01:13.000]  這是在《哥倫多前書》第五章,第六章主要的經文,亦都牽涉到第七章
[00:01:13.000 --> 00:01:20.000]  最主要的就是因為我們這個身體是聖靈的殿
[00:01:21.000 --> 00:01:27.000]  聖靈的殿,即是有聖靈在我們裡面居住,以致我們成聖,分別出來
[00:01:27.000 --> 00:01:35.000]  既然是這樣,保羅提醒在哥倫多的信徒,今天聖經裡面都是向我們指示
[00:01:35.000 --> 00:01:43.000]  我們應該有一個怎樣的,我們的身體應該有的聖道德觀念
[00:01:43.000 --> 00:01:47.000]  以致我們活出來的時候,能夠榮耀上帝
[00:01:48.000 --> 00:01:54.000]  保羅在第七章,上一次我們看過第一、第二節,他提到關乎這方面的教導之後
[00:01:54.000 --> 00:02:00.000]  他進一步因為提到關乎這個聖的道德觀
[00:02:00.000 --> 00:02:05.000]  所以他跟著下去就用很長的篇幅
[00:02:05.000 --> 00:02:17.000]  七章全章講到關乎基督徒應有對婚姻觀的好幾方面的一些教導
[00:02:18.000 --> 00:02:24.000]  早上我們一起看看,雖然我們沒有辦法讀完整章第七章的經文
