
[00:00:00.000 --> 00:00:04.520]  歡迎大家今天跟我們一齊來到思考神話語
[00:00:04.520 --> 00:00:09.160]  亦歡迎大家在網上一同參加我們今天崇拜的頂禪
[00:00:09.160 --> 00:00:15.080]  我知道在講道之前有很多頂禪會為我祈禱
[00:00:15.080 --> 00:00:17.400]  希望我的背部不要那麼痛
[00:00:17.400 --> 00:00:20.000]  或者我的聲音能夠大聲一點
[00:00:20.000 --> 00:00:21.800]  我們感謝主
[00:00:21.800 --> 00:00:25.560]  我們有機會能夠與大家分享神自己的話語
[00:00:27.040 --> 00:00:30.920]  我知道每個人我們都有一個不同的習慣
[00:00:30.920 --> 00:00:35.200]  特別是年紀大的更加會養成一種不同的習慣
[00:00:35.200 --> 00:00:37.840]  譬如說今天早上我去了星巴克喝咖啡
[00:00:37.840 --> 00:00:41.600]  我太太知道我每天都去星巴克
[00:00:41.600 --> 00:00:43.840]  如果你找不到我去星巴克找我就行了
[00:00:43.840 --> 00:00:50.280]  但我們發覺我們可能會因為我們居住的環境
[00:00:50.280 --> 00:00:53.600]  或者我們的身份譬如說移民
[00:00:53.600 --> 00:00:56.840]  那時候會影響到我們的習慣
[00:00:56.840 --> 00:00:58.960]  我們的習慣會改變
[00:00:58.960 --> 00:01:01.800]  有時候那種改變是好的
[00:01:01.800 --> 00:01:06.120]  但有時候我們仍然會持續我們的壞習慣
[00:01:06.120 --> 00:01:08.480]  但問題是什麼呢?
[00:01:08.480 --> 00:01:12.120]  問題就是說當我們成為一個基督徒之後
[00:01:12.120 --> 00:01:16.040]  我們的習慣需不需要改變
[00:01:16.040 --> 00:01:19.640]  大部分的習慣是中性的
[00:01:19.640 --> 00:01:21.080]  就是沒有好沒有壞
[00:01:21.080 --> 00:01:23.160]  但某些是好的
[00:01:23.160 --> 00:01:24.480]  某些是壞的
[00:01:25.760 --> 00:01:31.120]  而我們的改變有沒有影響教會的合一
[00:01:31.120 --> 00:01:35.480]  這是我今天講題的中心
[00:01:35.480 --> 00:01:38.000]  讓我們一起來低頭做一個祈禱
[00:01:38.000 --> 00:01:44.520]  親愛的父神,我們再一次慰禱你給我們的華語詞
[00:01:44.520 --> 00:01:47.840]  讓我們能夠明白你自己的心意
[00:01:47.840 --> 00:01:51.160]  讓我們個人上有改變
[00:01:51.160 --> 00:01:52.720]  怎樣有什麼改變
[00:01:52.720 --> 00:01:55.960]  在教會裏面我們需要有什麼改變
[00:01:55.960 --> 00:01:58.640]  求聖靈親自來教導我們
[00:01:58.640 --> 00:02:00.400]  祝福以下一段時間
[00:02:00.400 --> 00:02:03.480]  祈禱奉主耶穌基督的聖名祈求
[00:02:03.480 --> 00:02:17.880]  今天的講道我將探討怎樣去實現教會的合一
[00:02:17.880 --> 00:02:20.400]  我將它分成三部分
[00:02:20.760 --> 00:02:27.320]  第一部分是講到教會合一最基本的要素是什麼
[00:02:27.320 --> 00:02:36.200]  第二部分我會從已忽所說裏面學習怎樣來到教會合一的功課
[00:02:36.200 --> 00:02:40.520]  最後我以舊約宗的一個例子
[00:02:40.520 --> 00:02:46.480]  特別提到以色列人在抗日裏面漂流
[00:02:46.480 --> 00:02:48.600]  在四十年的漂流裏面
[00:02:49.240 --> 00:02:51.680]  他究竟學會了些什麼
[00:02:51.680 --> 00:03:00.560]  我們今天會讀很多的經文
[00:03:00.560 --> 00:03:04.120]  所以我沒有叫主席將所有的經文都讀完
[00:03:04.120 --> 00:03:10.320]  首先我們看一些經文特別是已忽所書
[00:03:10.320 --> 00:03:15.600]  就是從第一章到第三章裏面我們所學到的東西
[00:03:15.960 --> 00:03:24.160]  在一章第四節他說:因為祂從創世以前在基督裏揀選了我們
[00:03:24.160 --> 00:03:33.080]  使我們在祂面前成為聖潔沒有瑕疵、沒有愛心
[00:03:33.080 --> 00:03:40.400]  神在在我們當中,特別是我們已經信了耶穌的人
[00:03:40.400 --> 00:03:44.800]  都預備了一個救恩的計劃
[00:03:46.480 --> 00:03:51.000]  我們作為基督徒必須要認定一件事
[00:03:51.000 --> 00:03:58.120]  就是我們一生的生命裏面沒有一件事是偶然的
[00:03:58.120 --> 00:04:01.760]  都是在神的計劃當中
[00:04:01.760 --> 00:04:06.200]  如果我們當中仍然有些人未相信主耶穌
[00:04:06.200 --> 00:04:11.120]  其實我們生活在一個很幸福的環境
[00:04:11.120 --> 00:04:14.600]  我們可以隨時坐在這裏聽福音
