
[00:00:00.000 --> 00:00:04.260]  頂此為埃及熱氣球的意外
[00:00:04.260 --> 00:00:07.200]  照了全球的目光
[00:00:07.200 --> 00:00:11.100]  觸動了每一個香港人的心
[00:00:11.100 --> 00:00:16.040]  假如那20位準備上熱氣球的旅客一早知道
[00:00:16.040 --> 00:00:18.440]  這個熱氣球將會出事
[00:00:18.440 --> 00:00:20.840]  你猜他們會不會為了
[00:00:20.840 --> 00:00:26.540]  那一個多小時的美景而繼續走上呢?
[00:00:26.540 --> 00:00:29.440]  假如那個生還的英國遊客
[00:00:29.440 --> 00:00:30.960]  沒有選擇
[00:00:30.960 --> 00:00:37.240]  當這個熱氣球仍然距離地面只有3至5米就跳出那個吊欄
[00:00:37.240 --> 00:00:42.640]  他會不會成為第20位的遇害者呢?
[00:00:42.640 --> 00:00:48.240]  在一個沒有操作員又面對著火的熱氣球
[00:00:48.240 --> 00:00:50.900]  在欄裡面的19位的遇難者
[00:00:50.900 --> 00:00:54.460]  或者那個19位的乘客
[00:00:54.460 --> 00:00:58.660]  其實已經沒有什麼可以選擇的餘地
[00:00:58.660 --> 00:01:02.700]  留下來要麼燒死要麼炸死
[00:01:02.700 --> 00:01:09.800]  跳下去通常都會粉身碎骨
[00:01:09.800 --> 00:01:13.800]  人的一生我相信我們都會接受
[00:01:13.800 --> 00:01:18.960]  我們面對大大小小的抉擇
[00:01:18.960 --> 00:01:22.860]  有些抉擇我們很清楚很容易去做決定的
[00:01:22.860 --> 00:01:25.400]  而有些卻是非常不容易
[00:01:25.400 --> 00:01:32.640]  甚至我們知道可能有機會要付上一個很大的代價
[00:01:32.640 --> 00:01:36.600]  不過在我們這麼多的底線節目當中
[00:01:36.600 --> 00:01:40.440]  你和我都做了一個很明智的決擇 大家知不知道?
[00:01:40.440 --> 00:01:46.040]  就是我們竟然選擇了主耶穌基督成為我們的救主
[00:01:46.040 --> 00:01:48.840]  使我們的罪得到赦免
[00:01:48.840 --> 00:01:50.800]  因為很多人仍然沒有信心
[00:01:50.800 --> 00:01:56.240]  甚至不肯選擇這個救主耶穌基督成為我們的救主
[00:01:56.240 --> 00:01:57.340]  但很想問
[00:01:57.340 --> 00:02:00.640]  在我們這麼多接受耶穌做救主的弟兄姊妹當中
[00:02:00.640 --> 00:02:08.340]  我們有多少是不是全部都願意將我們一生交託給我們的神呢?
[00:02:08.340 --> 00:02:15.140]  以祂為我們的主 我們願意跟從祂呢?
[00:02:15.140 --> 00:02:17.040]  正如使徒保羅很清楚
[00:02:17.040 --> 00:02:20.740]  在今天這段經文裡面要吩咐信徒
[00:02:20.740 --> 00:02:25.140]  不要愛世界和世界上的事
[00:02:25.140 --> 00:02:29.040]  包括世界上所有的東西
[00:02:29.040 --> 00:02:32.840]  約翰這個吩咐是一個命令
[00:02:32.840 --> 00:02:35.340]  是一個絕對的禁令
[00:02:35.340 --> 00:02:42.440]  你們一定不可以愛這個世界和世界上的東西
[00:02:42.440 --> 00:02:44.240]  不要愛世界
[00:02:44.240 --> 00:02:46.940]  剛剛施班才唱完 世界這麼美
[00:02:46.940 --> 00:02:49.240]  不要愛 浪費不浪費?
[00:02:49.240 --> 00:02:51.140]  很艱難的
[00:02:51.140 --> 00:02:53.240]  你和我都活在這個世界
[00:02:53.240 --> 00:02:55.040]  我們靠世界而存活
[00:02:55.040 --> 00:02:57.840]  不愛他 我活來做什麼?
[00:02:57.840 --> 00:03:02.040]  是一個非常艱難的命令
[00:03:02.040 --> 00:03:05.040]  要去遵行是非常艱難的
[00:03:05.040 --> 00:03:07.340]  而且都有矛盾
[00:03:07.340 --> 00:03:10.240]  活在這裡 又不愛他 活來做什麼呢?
[00:03:10.240 --> 00:03:12.440]  不愛他 又娶他做什麼呢?
[00:03:12.440 --> 00:03:15.140]  嫁給他做什麼呢?
[00:03:15.140 --> 00:03:20.340]  甚至約翰都說神愛世界 神愛世人
[00:03:20.340 --> 00:03:22.840]  約翰你是不是寫錯了?
[00:03:22.840 --> 00:03:26.740]  或者你理解了上帝的意思?
[00:03:26.740 --> 00:03:30.040]  為什麼約翰要在這裡命令當時的讀者
[00:03:30.040 --> 00:03:35.240]  和今天我們不要愛世界和世界上的事呢?
[00:03:35.240 --> 00:03:37.440]  在今天所選的經文裡面
[00:03:37.440 --> 00:03:41.440]  約翰將這個原因很清楚告訴我們
[00:03:41.440 --> 00:03:44.040]  我歸為四方面去看
[00:03:44.040 --> 00:03:46.840]  為什麼我們不要愛這個世界
[00:03:46.840 --> 00:03:49.640]  和世界上的事呢?
[00:03:49.640 --> 00:03:52.040]  第一點的原因是因為
[00:03:52.040 --> 00:03:58.040]  愛世界是不可以同時愛上帝
