
[00:00:00.000 --> 00:00:02.000]  呂智慧,早晨
[00:00:02.000 --> 00:00:04.500]  我們一起讀圖稿
[00:00:04.500 --> 00:00:11.000]  智慧,我們歡迎你來到當中與我們眾人同在
[00:00:11.000 --> 00:00:13.500]  求你親自對我們說話
[00:00:13.500 --> 00:00:16.000]  讓我們在你的話語當中
[00:00:16.000 --> 00:00:18.500]  再次知道我們的光景
[00:00:18.500 --> 00:00:21.000]  讓我們好像詩歌一樣
[00:00:21.000 --> 00:00:24.500]  好像很優美進入你的路徑當中
[00:00:24.500 --> 00:00:26.000]  很享受和你一起
[00:00:26.000 --> 00:00:28.500]  因為有你的愛,陪伴著我們每一個
[00:00:29.000 --> 00:00:31.000]  當中是自己所說的
[00:00:31.000 --> 00:00:33.500]  頂住鎖釘的也是唐錦麗
[00:00:33.500 --> 00:00:37.000]  如常禱告,奉我們教主寶貴的心靈節祈禱
[00:00:37.000 --> 00:00:39.500]  如果大家心水清
[00:00:39.500 --> 00:00:42.000]  其實知道在五月份當中
[00:00:42.000 --> 00:00:45.500]  這個讀經日
[00:00:45.500 --> 00:00:48.000]  我也是在用《若拿書》
[00:00:48.000 --> 00:00:50.000]  即是OIA
[00:00:50.000 --> 00:00:53.000]  繼續去研讀在《若拿書》當中
[00:00:53.000 --> 00:00:55.000]  不過對於我來說
[00:00:55.000 --> 00:00:56.500]  去了完OIA之後
[00:00:57.000 --> 00:00:59.000]  讀了《若拿書》之後
[00:00:59.000 --> 00:01:03.000]  我繼續看《若拿書》的故事
[00:01:03.000 --> 00:01:06.000]  繼續看這本經文
[00:01:06.000 --> 00:01:10.000]  發覺原來這四章的經文
[00:01:10.000 --> 00:01:14.000]  好像從小朋友回到兒童主義學
[00:01:14.000 --> 00:01:16.000]  或是一段教日子
[00:01:16.000 --> 00:01:18.000]  其實這個故事都以術能詳
[00:01:18.000 --> 00:01:21.000]  但其實當中帶來很多豐富的訊息
[00:01:21.000 --> 00:01:24.000]  所以我未必講完四課
[00:01:24.500 --> 00:01:27.000]  因為我看到有些人講了十多課
[00:01:27.000 --> 00:01:29.000]  但真是很豐富
[00:01:29.000 --> 00:01:31.000]  所以我搞了幾個主題
[00:01:31.000 --> 00:01:34.000]  來跟大家分享看《若拿書》的故事
[00:01:34.000 --> 00:01:36.500]  通常過往
[00:01:36.500 --> 00:01:39.000]  如果你熟讀我
[00:01:39.000 --> 00:01:41.000]  你聽我說的慣度
[00:01:41.000 --> 00:01:43.000]  我都是很傳統的
[00:01:43.000 --> 00:01:45.000]  我會用三點式
[00:01:45.000 --> 00:01:47.000]  通常都有三點講到
[00:01:47.000 --> 00:01:48.500]  和你分享
[00:01:48.500 --> 00:01:51.000]  這次我們反轉,試另一個方式
[00:01:51.000 --> 00:01:53.000]  我不給你三點
[00:01:53.500 --> 00:01:55.500]  這本經文其實有很多問題
[00:01:55.500 --> 00:01:59.000]  整個《若拿書》四章
[00:01:59.000 --> 00:02:01.000]  其實有很多問題
[00:02:01.000 --> 00:02:03.500]  我選了幾條問題
[00:02:03.500 --> 00:02:05.000]  來跟大家一起思考
[00:02:05.000 --> 00:02:08.000]  究竟為什麼要逃跑
[00:02:08.000 --> 00:02:10.000]  第二個問題是
[00:02:10.000 --> 00:02:12.000]  我是誰?
[00:02:12.000 --> 00:02:14.000]  第三個問題是
[00:02:14.000 --> 00:02:16.000]  風暴發生的原因
[00:02:16.000 --> 00:02:18.000]  藉著這三條問題
[00:02:18.000 --> 00:02:20.000]  我們希望你帶出
[00:02:20.500 --> 00:02:24.500]  我們在第三章講到什麼
[00:02:24.500 --> 00:02:26.000]  有人問我
[00:02:26.000 --> 00:02:28.000]  走佬的腦袋是不是這樣寫的?
[00:02:28.000 --> 00:02:30.000]  我想一想,是不是這樣寫的?
[00:02:30.000 --> 00:02:32.500]  通常壞人我才知道怎麼寫
