
[00:00:00.000 --> 00:00:02.400]  各位姐妹,又是讀聖經的時間了
[00:00:02.400 --> 00:00:05.440]  聖經人、聖經事、人物、故事
[00:00:05.440 --> 00:00:07.600]  其實主要背後都是上帝的手
[00:00:07.600 --> 00:00:09.800]  一定要看到上帝的手在工作
[00:00:09.800 --> 00:00:13.320]  《生命說書》的網絡很歡迎跟你分享這件事
[00:00:13.320 --> 00:00:16.800]  這次的題目承接著上面
[00:00:16.800 --> 00:00:19.360]  就是《舌頭行船》
[00:00:19.360 --> 00:00:22.880]  看看,這件故事很津津樂道
[00:00:22.880 --> 00:00:26.560]  《舌頭行船》第一章第21字
[00:00:26.560 --> 00:00:31.120]  "所以主耶穌在我們中間始終出入的時候"
[00:00:31.120 --> 00:00:35.240]  "就是從約翰斯洗起"
[00:00:35.240 --> 00:00:40.360]  "直到主離開我們被接上升的日子為止"
[00:00:40.360 --> 00:00:44.280]  "必須從那常與我們作伴的人中"
[00:00:44.280 --> 00:00:48.640]  "立一位與我們同在耶穌復活的見證"
[00:00:48.640 --> 00:00:50.160]  這裡說什麼呢?
[00:00:50.160 --> 00:00:54.000]  就是他們說一百二十人一起祈禱
[00:00:54.000 --> 00:00:58.880]  這一百二十人都應該是很重要的門徒
[00:00:58.880 --> 00:01:01.560]  或者很忠誠、很有心的
[00:01:01.560 --> 00:01:03.560]  他們就一起了
[00:01:03.560 --> 00:01:05.560]  那麼多人一起
[00:01:05.560 --> 00:01:08.000]  其實可能心裡也有疑問
[00:01:08.000 --> 00:01:10.520]  "使徒,你們只有十一個"
[00:01:10.520 --> 00:01:12.080]  "本來十二個"
[00:01:12.080 --> 00:01:14.480]  "願別人得他的職份"
[00:01:14.480 --> 00:01:17.880]  彼得剛才說"願別人得他的職份"
[00:01:17.880 --> 00:01:22.440]  "那個別人得他的職份是誰呀?"
[00:01:22.440 --> 00:01:27.120]  所以他們經過一輪禱告
[00:01:27.120 --> 00:01:30.320]  祈禱會完了之後,大家開會聊天
[00:01:30.320 --> 00:01:34.520]  其實我們要選一個人
[00:01:34.520 --> 00:01:37.400]  不過選這個人是有條件的
[00:01:37.400 --> 00:01:40.920]  那個高大靚仔說話很流利,不行
[00:01:40.920 --> 00:01:42.920]  那麼就選誰呢?
[00:01:42.920 --> 00:01:46.240]  選一個靈性好的、老實的
[00:01:46.240 --> 00:01:50.440]  靈性好與老實是必然的
[00:01:50.440 --> 00:01:52.760]  那不夠,那要怎樣?
[00:01:52.760 --> 00:01:54.720]  要懂多少種語言?
[00:01:54.720 --> 00:01:55.640]  要讀什麼書?
[00:01:55.640 --> 00:01:57.040]  拿過什麼學位?
[00:01:57.040 --> 00:01:58.440]  男還是女?
[00:01:58.440 --> 00:02:00.080]  說了一大堆
[00:02:00.080 --> 00:02:01.400]  彼得就說
[00:02:01.400 --> 00:02:03.480]  我推測彼得說的時候
[00:02:03.480 --> 00:02:05.920]  應該是十一使徒都談過了
[00:02:05.920 --> 00:02:07.720]  大家談了,議定了
[00:02:07.720 --> 00:02:09.720]  我們想這樣
[00:02:09.720 --> 00:02:13.760]  就是主耶穌在我們中間始終出入
[00:02:13.760 --> 00:02:16.200]  始終就是由開始我們跟著祂
[00:02:16.200 --> 00:02:17.680]  到祂升天
[00:02:17.680 --> 00:02:19.520]  那麼長時間
[00:02:19.520 --> 00:02:21.800]  其實就是什麼時候開始?
[00:02:21.800 --> 00:02:25.480]  就是由約翰施洗開始
[00:02:25.480 --> 00:02:30.400]  主耶穌是去找施洗約翰幫祂洗禮
[00:02:30.400 --> 00:02:32.080]  施洗約翰說
[00:02:32.080 --> 00:02:34.800]  我都想找你,為什麼你來我這裡?
[00:02:34.800 --> 00:02:37.360]  你毋須悔改的洗禮
[00:02:37.360 --> 00:02:38.840]  不過主耶穌就說
[00:02:38.840 --> 00:02:42.000]  你暫且許我,我理當盡諸般的義
[00:02:42.000 --> 00:02:42.880]  即是禮
[00:02:42.880 --> 00:02:44.880]  人要做的禮我都做
[00:02:44.880 --> 00:02:47.640]  我好吧,於是就給他
[00:02:47.640 --> 00:02:50.880]  哇,早到這樣
[00:02:50.880 --> 00:02:56.120]  然後到主離開我們被接上升的日子為止
[00:02:56.120 --> 00:03:01.920]  必須在那些還要常與我們作伴的人當中
[00:03:01.920 --> 00:03:07.040]  去立一位可以跟我們同在耶穌復活見證
[00:03:07.040 --> 00:03:09.320]  因為他連耶穌復活都很清楚
[00:03:09.320 --> 00:03:11.720]  哇,老老實實
[00:03:11.720 --> 00:03:15.240]  這麼嚴謹,要求這麼高
[00:03:15.240 --> 00:03:18.760]  沒有什麼人
[00:03:18.760 --> 00:03:22.160]  即是說到已經是
[00:03:22.160 --> 00:03:27.240]  那間堂都三十年堂慶了
[00:03:27.240 --> 00:03:28.520]  於是文威
[00:03:28.520 --> 00:03:31.880]  各位,我們就想找一個人出來
[00:03:31.880 --> 00:03:35.040]  做我們的長老
[00:03:35.040 --> 00:03:37.520]  不過這個人要在
[00:03:37.520 --> 00:03:40.200]  教會開堂第一日
[00:03:40.200 --> 00:03:42.480]  或者開堂的第一個主日
[00:03:42.480 --> 00:03:45.840]  就已經聚會,直到如今
[00:03:45.840 --> 00:03:48.520]  哇,已經三十年了
[00:03:48.520 --> 00:03:51.200]  那麼有多少人會舉手「我是」呢?
[00:03:51.200 --> 00:03:54.240]  都可能寥寥無幾,或者可能沒有人
[00:03:54.240 --> 00:03:56.520]  因為時間這麼長,三年
[00:03:56.520 --> 00:03:59.440]  但是你要始終一起出入
[00:03:59.440 --> 00:04:03.960]  還要由約翰和主耶穌施洗開始
[00:04:03.960 --> 00:04:05.960]  就已經在這裡了
[00:04:05.960 --> 00:04:09.560]  哇,其實你會見到
[00:04:09.560 --> 00:04:12.720]  其實約翰施洗的時候,有些門徒都還沒在
[00:04:12.720 --> 00:04:16.040]  不過起碼已經近到很近了
[00:04:16.040 --> 00:04:19.360]  這樣才行,而且到現在還在
[00:04:19.360 --> 00:04:21.880]  而且常常和我們一起
[00:04:21.880 --> 00:04:25.200]  這樣,哇,很難找的
[00:04:25.200 --> 00:04:29.200]  於是他們都找到兩個人
[00:04:29.200 --> 00:04:31.240]  就選舉了兩個人
[00:04:31.240 --> 00:04:32.920]  他們推選了兩個人
[00:04:32.920 --> 00:04:35.120]  我記得是誰呢?
[00:04:35.120 --> 00:04:37.400]  巴薩巴就是了
[00:04:37.400 --> 00:04:41.840]  是啊,巴薩巴,我開頭的時候已經跟隨耶穌了
[00:04:41.840 --> 00:04:44.240]  不過就沒有你們跟得那麼貼
[00:04:44.240 --> 00:04:45.000]  不過時常一起
[00:04:45.000 --> 00:04:47.040]  是啊,你常常和我們一起的嘛
[00:04:47.040 --> 00:04:49.400]  巴薩巴,我們當然記得你了
[00:04:49.400 --> 00:04:51.760]  那麼這個巴薩巴
[00:04:51.760 --> 00:04:54.040]  這個名字我們很少記得的
[00:04:54.040 --> 00:04:58.200]  巴其實是兒子,是薩巴的兒子
[00:04:58.200 --> 00:05:02.840]  其實,唉,這個是不是名字呢?
[00:05:02.840 --> 00:05:04.360]  薩巴的兒子
[00:05:04.360 --> 00:05:09.240]  又叫做尤士都的約瑟
[00:05:09.240 --> 00:05:11.480]  又稱呼尤士都的約瑟
[00:05:11.480 --> 00:05:14.480]  巴薩巴起碼一看都有三個名字
[00:05:14.480 --> 00:05:18.240]  那麼多名字,他出來行騙有那麼多名字嗎?
[00:05:18.240 --> 00:05:21.520]  其實當時的人是有很多個名字的
[00:05:21.520 --> 00:05:23.760]  有時候是兩個名字一起叫
