
[00:00:00.000 --> 00:00:02.000]  各位電影節目的各位來賓 早安
[00:00:02.000 --> 00:00:04.000]  應該是午安了
[00:00:04.000 --> 00:00:06.000]  多謝吳牧師
[00:00:06.000 --> 00:00:10.000]  其實已經將我部分導的內容講出來了
[00:00:10.000 --> 00:00:12.000]  的確是
[00:00:12.000 --> 00:00:18.000]  這個星期我們整體香港人都經歷這個悲哀
[00:00:18.000 --> 00:00:21.000]  因為南丫島的海難
[00:00:21.000 --> 00:00:24.000]  那種嚴重情況
[00:00:24.000 --> 00:00:29.000]  除了是所牽涉越南的人數之外
[00:00:29.000 --> 00:00:33.000]  亦看見政府的回應
[00:00:33.000 --> 00:00:38.000]  政府不只是去猜怕一些局長官員
[00:00:38.000 --> 00:00:40.000]  去了解處理這件事
[00:00:40.000 --> 00:00:44.000]  而是當晚特首已經知道那個情況的嚴重
[00:00:44.000 --> 00:00:47.000]  她親自去到事發的現場
[00:00:47.000 --> 00:00:49.000]  去了解實況
[00:00:49.000 --> 00:00:53.000]  以及很快就決定後來一些門戲
[00:00:53.000 --> 00:00:56.000]  救援 一些安排 哀悼日
[00:00:56.000 --> 00:00:57.000]  這些做法
[00:00:57.000 --> 00:01:03.000]  就像幾年前的汶川大地震
[00:01:03.000 --> 00:01:06.000]  一發生 總理一知道這件事
[00:01:06.000 --> 00:01:12.000]  馬上就飛過去親自帶領整個拯救的行動
[00:01:12.000 --> 00:01:19.000]  原來一個國家一個地方的元首尚且去顧念他的子民
[00:01:19.000 --> 00:01:25.000]  親自去到當中去了解他們最重要最關注的一些事情
[00:01:25.000 --> 00:01:27.000]  我們想想
[00:01:27.000 --> 00:01:32.000]  我們的神祂不是猜怕一個普通的先師
[00:01:32.000 --> 00:01:37.000]  又或者天使來到我們這裏去傳講祂的救恩
[00:01:37.000 --> 00:01:39.000]  叫人認識神
[00:01:39.000 --> 00:01:42.000]  是猜怕祂自己的獨生愛之耶穌基督
[00:01:42.000 --> 00:01:46.000]  這樣的時候我們了解到原來神是很愛我們
[00:01:46.000 --> 00:01:48.000]  更加好像今天我所講的題目最後通牒
[00:01:48.000 --> 00:01:51.000]  當耶穌基督在末世來到的時候
[00:01:51.000 --> 00:01:55.000]  去啟示神的說話旨意
[00:01:55.000 --> 00:01:59.000]  也是的確讓我們知道人生無常
[00:01:59.000 --> 00:02:01.000]  主耶穌基督會很快回來
[00:02:01.000 --> 00:02:04.000]  我們要盡快作決定跟隨主
[00:02:04.000 --> 00:02:06.000]  要盡快將福音傳開
[00:02:06.000 --> 00:02:09.000]  我們一起去讀出今天的經文
[00:02:09.000 --> 00:02:16.000]  是希伯來書的第一章第一至第四節
[00:02:16.000 --> 00:02:21.000]  剛才的關鍵字已經有了
[00:02:21.000 --> 00:02:38.000]  我們一起讀出這四節聖經
[00:02:38.000 --> 00:02:39.000]  請讀
[00:02:39.000 --> 00:02:44.000]  神記在古時直著眾先師多次多方地曉遇列祖
[00:02:44.000 --> 00:02:48.000]  就在這末世直著他兒子曉遇我們
[00:02:48.000 --> 00:02:51.000]  由早已立他為承受萬有的
[00:02:51.000 --> 00:02:54.000]  也曾直著他創造諸世界
[00:02:54.000 --> 00:02:57.000]  他是神榮耀所發的光輝
[00:02:57.000 --> 00:02:59.000]  是神本體的真相
[00:02:59.000 --> 00:03:03.000]  常用他權能的命令托住萬有
[00:03:03.000 --> 00:03:05.000]  他洗淨了人的罪
[00:03:05.000 --> 00:03:08.000]  就坐在高天賜大者的右邊
