
[00:00:00.000 --> 00:00:03.000]  今年我們教會的主題就是
[00:00:03.000 --> 00:00:05.040]  「因信大有盼望」
[00:00:05.040 --> 00:00:07.760]  我都好幾次跟大家提過了
[00:00:07.760 --> 00:00:12.420]  不過今天才有機會再看看我們的主題經文
[00:00:12.420 --> 00:00:15.560]  就是羅馬書15章13節
[00:00:15.560 --> 00:00:19.540]  「因信大有盼望」是完全出自這節經文的
[00:00:19.540 --> 00:00:20.900]  這幾個字
[00:00:20.900 --> 00:00:24.940]  就是羅馬書15章13節這節經文
[00:00:24.940 --> 00:00:29.460]  如果你可以讀兩次然後背了它,可以嗎?
[00:00:29.460 --> 00:00:30.980]  好,我們一起讀,好嗎?
[00:00:30.980 --> 00:00:34.620]  「但願使人有盼望的上帝
[00:00:34.620 --> 00:00:41.020]  因信將諸般的喜樂、平安充滿你們的心
[00:00:41.020 --> 00:00:46.660]  使你們藉著聖靈的能力大有盼望」
[00:00:46.660 --> 00:00:49.300]  所以「因信大有盼望」
[00:00:49.300 --> 00:00:50.140]  再來一次
[00:00:50.140 --> 00:00:53.500]  「但願使人有盼望的上帝
[00:00:53.500 --> 00:00:59.300]  因信將諸般的喜樂、平安充滿你們的心
[00:00:59.300 --> 00:01:04.420]  使你們藉著聖靈的能力大有盼望」
[00:01:04.420 --> 00:01:05.100]  可不可以背?
[00:01:05.100 --> 00:01:08.300]  羅馬書15章13節
[00:01:08.300 --> 00:01:11.660]  「但願使人有盼望的上帝
[00:01:11.660 --> 00:01:17.100]  因信將諸般的喜樂、平安充滿你們的心
[00:01:17.100 --> 00:01:23.100]  使你們藉著聖靈的能力大有盼望」
[00:01:23.100 --> 00:01:24.860]  Amen
[00:01:27.180 --> 00:01:29.780]  NIV,New International 譯本就是
[00:01:29.780 --> 00:01:33.540]  「願使人有盼望的上帝
[00:01:33.540 --> 00:01:37.500]  因信將諸般的喜樂、平安充滿你們的心
[00:01:37.500 --> 00:01:42.700]  使你們藉著聖靈的能力大有盼望」
[00:01:42.700 --> 00:01:47.340]  所以我英文的教會主題就是用這幾個字
[00:01:47.340 --> 00:01:50.060]  overflow with hope
[00:01:50.060 --> 00:01:54.380]  在這裡我們特別留意就是「因信」
[00:01:54.380 --> 00:02:00.180]  所以它說「因著信靠這一位上帝」
[00:02:00.180 --> 00:02:02.380]  「因信上帝」
[00:02:02.380 --> 00:02:04.260]  Trust in Him
[00:02:04.260 --> 00:02:10.660]  這裡給我們看見關鍵就是我們領受、相信
[00:02:10.660 --> 00:02:13.740]  神給我們的禮物和恩典
[00:02:13.740 --> 00:02:15.980]  在救恩裡面賜給我們的豐盛
[00:02:15.980 --> 00:02:19.340]  讓我們能夠去「因著信」
[00:02:19.340 --> 00:02:22.340]  然後經歷到、得著到
[00:02:22.340 --> 00:02:26.820]  這裡有幾樣東西很重要
[00:02:26.820 --> 00:02:32.180]  包括喜樂、平安
[00:02:32.180 --> 00:02:35.300]  還有大有盼望
