
[00:00:00.000 --> 00:00:04.800]  我們今天分享的題目叫做「齊來全福音」
[00:00:04.800 --> 00:00:07.560]  當我們回望2022年的時候
[00:00:07.560 --> 00:00:13.000]  我不知道有什麼故事或新聞讓你特別深刻
[00:00:13.000 --> 00:00:16.000]  對於我來說其中一個印象深刻的
[00:00:16.000 --> 00:00:21.200]  就是很多傳統餐廳和食物店的結業
[00:00:21.200 --> 00:00:26.240]  過去一年我們看到很多傳統的餐廳或食店都結業
[00:00:26.240 --> 00:00:28.000]  今天我太太一定要告訴我
[00:00:28.000 --> 00:00:31.120]  不知道當中有沒有一些我們過去從武會
[00:00:31.120 --> 00:00:32.720]  即是天后區來的
[00:00:32.720 --> 00:00:35.960]  我們以前在天后區很喜歡吃的那間菠蘿包
[00:00:35.960 --> 00:00:38.200]  我不說什麼產物什麼餅店
[00:00:38.200 --> 00:00:39.880]  都突然間結業了
[00:00:39.880 --> 00:00:42.200]  所以都吃不回那個菠蘿包了
[00:00:42.200 --> 00:00:45.800]  2022年我們看到很多傳統的食店
[00:00:45.800 --> 00:00:48.240]  或者一些餐廳都結業
[00:00:48.240 --> 00:00:52.960]  當中因為有些真是敵不過疫情的環境
[00:00:52.960 --> 00:00:57.200]  但其實原來有一些是因為後繼無人
[00:00:57.200 --> 00:00:58.680]  我曾經看過一個訪問
[00:00:58.680 --> 00:01:00.920]  訪問一個茶餐廳
[00:01:00.920 --> 00:01:02.680]  他已經做了幾十年了
[00:01:02.680 --> 00:01:04.520]  有人問他為什麼不繼續做下去
[00:01:04.520 --> 00:01:06.480]  原來不是因為疫情
[00:01:06.480 --> 00:01:09.840]  他說因為下一代不想做了
[00:01:09.840 --> 00:01:14.920]  最近我也看了一個有關傳統街市攤檔的訪問
[00:01:14.920 --> 00:01:17.560]  有一些街市因為市區重建
[00:01:17.560 --> 00:01:21.120]  將要面對拆卸和搬遷的命運
[00:01:21.120 --> 00:01:24.760]  原來有一些都做了兩三代了
[00:01:24.760 --> 00:01:26.600]  有人問他你會不會繼續做下去
[00:01:26.600 --> 00:01:31.200]  他說都不知道下一代會不會繼續做下去
[00:01:31.200 --> 00:01:33.680]  有一件事我們都不能夠停的
[00:01:33.680 --> 00:01:36.960]  就是我們不能夠停止去傳福音
[00:01:36.960 --> 00:01:39.840]  因為我們知道這是耶穌給我們的大使命
[00:01:39.840 --> 00:01:42.160]  我們每一個都要去傳
[00:01:42.160 --> 00:01:45.520]  我曾經問過少年一個問題
[00:01:45.520 --> 00:01:48.680]  不如你告訴我們怎麼來到教會的
[00:01:48.680 --> 00:01:49.800]  有一些少年就說
[00:01:49.800 --> 00:01:52.680]  因為我從小到大家裡都是信耶穌的
[00:01:52.680 --> 00:01:57.120]  所以我的家人和家長帶我回來教會
[00:01:57.120 --> 00:02:03.120]  也有一些少年說是因為同學或者朋友帶他回來教會
[00:02:03.120 --> 00:02:05.920]  昨天我吃午飯的時候見到一個新的少年
[00:02:05.920 --> 00:02:06.920]  我都問是誰帶的
[00:02:06.920 --> 00:02:09.800]  原來是他的同學帶他回來教會
[00:02:09.800 --> 00:02:12.560]  我很感動特別是1224報道會
[00:02:12.560 --> 00:02:15.800]  見到有少年人都邀請他的朋友來報道會
