
[00:00:00.000 --> 00:00:03.600]  各位好 新年快樂 跟大家拜個年
[00:00:03.600 --> 00:00:06.480]  願意每一位都有上帝的福份
[00:00:06.480 --> 00:00:09.080]  剛才我們唱詩的時候都被提醒了
[00:00:09.080 --> 00:00:11.280]  真正的福份在哪裡?
[00:00:11.280 --> 00:00:12.480]  耶穌基督
[00:00:12.480 --> 00:00:14.880]  耶穌基督給我們的永生 給我們的盼望
[00:00:14.880 --> 00:00:16.400]  這是最大最大的福份
[00:00:16.400 --> 00:00:17.880]  你不要忘記這件事
[00:00:17.880 --> 00:00:22.200]  亦都跟網上的大英姊妹去拜年
[00:00:22.200 --> 00:00:25.080]  農年 希望大家農晚精神 好嗎?
[00:00:25.080 --> 00:00:27.400]  亦都多謝每一位的訂閱者
[00:00:27.400 --> 00:00:29.880]  我們有16000多位的訂閱者
[00:00:29.880 --> 00:00:32.880]  我們希望你能夠繼續去支持我們施工
[00:00:32.880 --> 00:00:34.680]  所以怎樣都好 新年快樂
[00:00:34.680 --> 00:00:37.680]  在這個主日開始
[00:00:37.680 --> 00:00:40.880]  我們就想開始一個系列叫做《Chosen》
[00:00:40.880 --> 00:00:45.480]  我知道這個電視的系列
[00:00:45.480 --> 00:00:48.880]  是非常之 起碼在美國
[00:00:48.880 --> 00:00:50.480]  是很受歡迎的
[00:00:50.480 --> 00:00:52.480]  很受歡迎 我不知道大家有沒有看過
[00:00:52.480 --> 00:00:55.080]  或者有沒有聽聞過 有誰聽聞過?
[00:00:55.080 --> 00:00:56.880]  都有 是吧?
[00:00:56.880 --> 00:01:02.880]  如果你有聽聞過 可能你有看過 是吧?
[00:01:02.880 --> 00:01:06.080]  那些比較老練一點 或者我們比較老一點的信徒
[00:01:06.080 --> 00:01:10.280]  我們以前看過耶穌的電影
[00:01:10.280 --> 00:01:13.880]  那些將耶穌的生平拍成一個電影的
[00:01:13.880 --> 00:01:16.480]  那些不同的電影
[00:01:16.480 --> 00:01:19.480]  我們會 你有沒有看過?
[00:01:19.480 --> 00:01:22.680]  很悶的 很悶的
[00:01:22.680 --> 00:01:25.280]  我記得70年代有一套叫做《耶穌傳》
[00:01:25.280 --> 00:01:28.280]  就是按照《路加福音》這樣拍的
[00:01:28.280 --> 00:01:31.480]  就是一字不漏是根據《路加福音》這樣
[00:01:31.480 --> 00:01:34.080]  就是耶穌說什麼《路加福音》有說的 祂也說
[00:01:34.080 --> 00:01:36.080]  《路加福音》沒有說的 耶穌也不說
[00:01:36.080 --> 00:01:39.480]  《早晨》 《晚安》 耶穌全部不說
[00:01:39.480 --> 00:01:43.080]  那時候年少的時候看這套電影
[00:01:43.080 --> 00:01:44.680]  因為那時候沒得選 是吧?
[00:01:44.680 --> 00:01:46.280]  唯有看那套 是吧?
[00:01:46.280 --> 00:01:49.080]  但是進度非常之慢
[00:01:49.080 --> 00:01:52.680]  還有你知道《路加福音》寫出來的時候
[00:01:52.680 --> 00:01:56.080]  不是為了拍電影 是吧?
[00:01:56.080 --> 00:01:58.280]  所以你不可以這樣照樣搬過去
[00:01:58.280 --> 00:02:01.280]  在銀幕上 耶穌就是這樣 不是的
