
[00:00:00.000 --> 00:00:03.000]  很快教會就進入彼得後書的宣講
[00:00:03.000 --> 00:00:11.000]  小學彼得在彼得後書一章1到15節
[00:00:11.000 --> 00:00:13.000]  上個星期林牧師已經跟我們分享了
[00:00:13.000 --> 00:00:16.000]  他提醒我們 他說作為諸葛門徒
[00:00:16.000 --> 00:00:20.000]  我們已經得到神所賜 很寶貴
[00:00:20.000 --> 00:00:22.000]  有非常大的應許
[00:00:22.000 --> 00:00:25.000]  就是我們可以分享祂的本性
[00:00:25.000 --> 00:00:27.000]  人犯罪之後就失落了神的本性
[00:00:27.000 --> 00:00:30.000]  沒有辦法去行神想我們所行
[00:00:30.000 --> 00:00:32.000]  但是他說在基督耶穌裡面
[00:00:32.000 --> 00:00:33.000]  今天我們上了耶穌
[00:00:33.000 --> 00:00:37.000]  就能夠跟神再一次分享祂做我們的仇
[00:00:37.000 --> 00:00:39.000]  擺在我們心裡面的本性
[00:00:39.000 --> 00:00:41.000]  一切美好的事物
[00:00:41.000 --> 00:00:44.000]  不過我們不能夠停在初信的時刻
[00:00:44.000 --> 00:00:46.000]  我們要繼續不斷的努力
[00:00:46.000 --> 00:00:49.000]  讓使命不斷的成長
[00:00:49.000 --> 00:00:51.000]  以致我們能夠在生活當中
[00:00:51.000 --> 00:00:53.000]  結出屬靈的果子
[00:00:53.000 --> 00:00:55.000]  彼得說這些果子包括信心
[00:00:55.000 --> 00:00:58.000]  德行 知識 節制
[00:00:58.000 --> 00:01:02.000]  忍耐 乾淨 愛心
[00:01:02.000 --> 00:01:04.000]  他說當我們能夠結出這些果子的時候
[00:01:04.000 --> 00:01:07.000]  就讓我們能夠在神對我們的呼召
[00:01:07.000 --> 00:01:11.000]  以及被祂揀選上面堅定不移
[00:01:11.000 --> 00:01:13.000]  以致我們可以帶著豐盛的生命
[00:01:13.000 --> 00:01:17.000]  進入神為我們所預備
[00:01:17.000 --> 00:01:19.000]  永恆的角度裡面
[00:01:19.000 --> 00:01:22.000]  我相信每一個相信耶穌基督的人
[00:01:22.000 --> 00:01:23.000]  都是這樣盼望的
[00:01:23.000 --> 00:01:25.000]  就是我們能夠帶著豐盛的生命
[00:01:25.000 --> 00:01:26.000]  進入永恆的世界當中
[00:01:26.000 --> 00:01:27.000]  與我們的神
[00:01:27.000 --> 00:01:31.000]  去享受那份永恆的角度
[00:01:31.000 --> 00:01:32.000]  但我們很明白
[00:01:32.000 --> 00:01:34.000]  撒旦從來不容許基督徒
[00:01:34.000 --> 00:01:36.000]  平平穩穩的進入神
[00:01:36.000 --> 00:01:39.000]  為我們所預備的永恆之家
[00:01:39.000 --> 00:01:42.000]  因為祂不甘心
[00:01:42.000 --> 00:01:44.000]  我們一起讀這段經文好嗎
[00:01:44.000 --> 00:01:46.000]  給了後書第二章一到三節
[00:01:46.000 --> 00:01:47.000]  我們一起讀
[00:01:47.000 --> 00:01:50.000]  從前在民間有假先知起來
[00:01:50.000 --> 00:01:54.000]  同樣將來在你們中間也會有假教師
[00:01:54.000 --> 00:01:58.000]  偷偷地引進使人滅亡的異端
[00:01:58.000 --> 00:02:01.000]  他們甚至不認買他們的主人
[00:02:01.000 --> 00:02:03.000]  自取迅速滅亡
[00:02:03.000 --> 00:02:07.000]  許多人會隨從他們淫蕩的行為
[00:02:07.000 --> 00:02:09.000]  以致真理之道
[00:02:09.000 --> 00:02:11.000]  因他們的緣故被毀謗
[00:02:11.000 --> 00:02:13.000]  他們因貪婪
[00:02:13.000 --> 00:02:15.000]  要用捏造的言語
[00:02:15.000 --> 00:02:17.000]  在你們身上取得利益
[00:02:17.000 --> 00:02:21.000]  他們的懲罰自古以來並不遲現
[00:02:21.000 --> 00:02:26.000]  他們的滅亡立即迅速來到
[00:02:26.000 --> 00:02:31.000]  我先跟大家看今天講到經文最後的部分
[00:02:31.000 --> 00:02:35.000]  撒旦從來沒有想過就坐在這裡
[00:02:35.000 --> 00:02:37.000]  用我們現在經常說的字眼就是躺平
[00:02:37.000 --> 00:02:42.000]  讓我們開心心地進入神的角度
[00:02:42.000 --> 00:02:44.000]  從舊約聖經的記載
[00:02:44.000 --> 00:02:46.000]  和新約教會歷史的發展裡面
[00:02:46.000 --> 00:02:48.000]  我們可以看到
[00:02:48.000 --> 00:02:51.000]  撒旦不斷用各樣的方法去扭曲
[00:02:51.000 --> 00:02:54.000]  去破壞人對神的認識
[00:02:54.000 --> 00:02:56.000]  和對神的信心
[00:02:56.000 --> 00:02:58.000]  舊約聖經記載
[00:02:58.000 --> 00:03:00.000]  假的先知
[00:03:00.000 --> 00:03:04.000]  向以色列王阿哈和猶大王約沙發講吉言
[00:03:04.000 --> 00:03:06.000]  即是這兩人要出去打仗
[00:03:06.000 --> 00:03:11.000]  問先知神是否容許我們打
[00:03:11.000 --> 00:03:13.000]  假的先知就跟猶大王和以色列王說
[00:03:13.000 --> 00:03:15.000]  打吧 打吧 沒問題的
[00:03:15.000 --> 00:03:17.000]  神一定讓你得聖的
[00:03:17.000 --> 00:03:21.000]  然後聖經又記載一個真的先知
[00:03:21.000 --> 00:03:27.000]  本來以色列王不打算找他來
[00:03:27.000 --> 00:03:29.000]  因為他說這個人很麻煩
[00:03:29.000 --> 00:03:30.000]  沒什麼好說的
[00:03:30.000 --> 00:03:32.000]  每次來都不喜歡聽的
[00:03:32.000 --> 00:03:34.000]  當這個先知要來見王的時候
[00:03:34.000 --> 00:03:37.000]  來找這個先知的大神都跟他說
[00:03:37.000 --> 00:03:38.000]  今天不要那麼煩惱
[00:03:38.000 --> 00:03:41.000]  說些皇帝喜歡聽的東西
[00:03:41.000 --> 00:03:43.000]  我見到假的先知
[00:03:43.000 --> 00:03:46.000]  就把不是神的說話講成是神的說話
[00:03:46.000 --> 00:03:48.000]  同樣的
[00:03:48.000 --> 00:03:51.000]  在約瓦徑王和西帝皆王期間
[00:03:51.000 --> 00:03:55.000]  也有假的先知來講虛假的預言
[00:03:55.000 --> 00:03:58.000]  另外以色列和撒加利亞書裡面也記載
[00:03:58.000 --> 00:04:01.000]  假的先知托耀華的命
[00:04:01.000 --> 00:04:03.000]  假的先知最可怕的地方
[00:04:03.000 --> 00:04:05.000]  不是他另外的宗教
[00:04:05.000 --> 00:04:06.000]  不是另外一些東西
[00:04:06.000 --> 00:04:09.000]  他要假托我們所相信的神的命
[00:04:09.000 --> 00:04:11.000]  講虛幅的預言
[00:04:11.000 --> 00:04:12.000]  虛假的意象
[00:04:12.000 --> 00:04:16.000]  用虛假的占卜誘惑神的百姓
[00:04:16.000 --> 00:04:18.000]  彼得就指出
[00:04:18.000 --> 00:04:21.000]  這樣的事不單止出現在舊約時代
[00:04:21.000 --> 00:04:24.000]  在新約教會裡面同樣會出現
[00:04:24.000 --> 00:04:26.000]  跟假先知很相似的
[00:04:26.000 --> 00:04:27.000]  因為到了新約時代
[00:04:27.000 --> 00:04:28.000]  我們說沒有先知了
[00:04:28.000 --> 00:04:30.000]  但是有教師
[00:04:30.000 --> 00:04:31.000]  在新約教會裡面
[00:04:31.000 --> 00:04:32.000]  也出現一些假的教師
[00:04:32.000 --> 00:04:35.000]  這些人同樣用他們教師的身份
[00:04:35.000 --> 00:04:37.000]  教師這個角色
[00:04:37.000 --> 00:04:39.000]  在新約時代初期教會是很受尊重的
[00:04:39.000 --> 00:04:42.000]  有很多的報導者一直去不同的地方
[00:04:42.000 --> 00:04:46.000]  教導信徒怎樣過一個合常心意的生活
[00:04:46.000 --> 00:04:48.000]  但是很可惜
[00:04:48.000 --> 00:04:50.000]  在初期教會很多這些教師
[00:04:50.000 --> 00:04:52.000]  其實他們不是真的信耶穌的
[00:04:52.000 --> 00:04:55.000]  所以他們不是教導從神而來的真理
[00:04:55.000 --> 00:04:57.000]  而是將錯誤的誤導人的虛假道理
[00:04:57.000 --> 00:05:00.000]  灌輸到基督徒的群體當中
[00:05:00.000 --> 00:05:02.000]  楊基督徒在不知不覺之間
[00:05:02.000 --> 00:05:05.000]  就接受了這些錯誤的教訓
[00:05:05.000 --> 00:05:11.000]  結果這幫人不單止聽了這些假教師的教訓
[00:05:11.000 --> 00:05:14.000]  不單止不能與神有更加多的親近
[00:05:14.000 --> 00:05:17.000]  而是他們離真理越來越遠
[00:05:17.000 --> 00:05:19.000]  甚至到了一個地步
[00:05:19.000 --> 00:05:21.000]  他們連耶穌基督是神的兒子
[00:05:21.000 --> 00:05:25.000]  這個真理都不接受
[00:05:25.000 --> 00:05:28.000]  他們不相信耶穌基督是犧牲了他們的生命
[00:05:28.000 --> 00:05:30.000]  來拯救我們
[00:05:30.000 --> 00:05:31.000]  他們都不承認
[00:05:31.000 --> 00:05:33.000]  認為有關耶穌的事蹟
[00:05:33.000 --> 00:05:36.000]  只不過是神話故事
[00:05:36.000 --> 00:05:39.000]  事實上早期教會的異端
[00:05:39.000 --> 00:05:44.000]  提出耶穌不是導誠肉身來到世上
[00:05:44.000 --> 00:05:46.000]  不是神的兒子
[00:05:46.000 --> 00:05:48.000]  祂只不過是人
[00:05:48.000 --> 00:05:50.000]  祂為了能夠拯救世人
[00:05:50.000 --> 00:05:54.000]  於是在世人當中選擇了耶穌
[00:05:54.000 --> 00:05:57.000]  認祂為契仔
[00:05:57.000 --> 00:05:59.000]  然後就說
[00:05:59.000 --> 00:06:01.000]  我選擇了耶穌
[00:06:01.000 --> 00:06:08.000]  特別批准耶穌可以代表全人類承擔的罪責
[00:06:08.000 --> 00:06:11.000]  當然聖經神學裡面不是叫契仔
[00:06:11.000 --> 00:06:13.000]  叫子子說
[00:06:13.000 --> 00:06:14.000]  兒子
[00:06:14.000 --> 00:06:17.000]  或者我們叫契仔
[00:06:17.000 --> 00:06:20.000]  另外早期教會也有異端提出
