
[00:00:00.000 --> 00:00:06.000]  聖經經常形容我們人生在地上的生活
[00:00:06.000 --> 00:00:10.000]  就好像一個回家的旅程一樣
[00:00:10.000 --> 00:00:14.000]  一直的回到我們天上的家鄉
[00:00:14.000 --> 00:00:16.000]  也許用詞會有些不同
[00:00:16.000 --> 00:00:21.000]  但是新約很多的作者都有類似的對人生的描述
[00:00:21.000 --> 00:00:22.000]  讓我們看兩個例子
[00:00:22.000 --> 00:00:24.000]  如果我們看希伯來書
[00:00:24.000 --> 00:00:28.000]  希伯來書的作者
[00:00:28.000 --> 00:00:33.000]  就形容我們過往很多的英雄
[00:00:33.000 --> 00:00:36.000]  信心的英雄都是這樣來形容自己
[00:00:36.000 --> 00:00:40.000]  他說我們是世上的客人
[00:00:40.000 --> 00:00:41.000]  是寄居的
[00:00:41.000 --> 00:00:44.000]  他們就是一直的嚮往
[00:00:44.000 --> 00:00:47.000]  盼望我們將來有一個更美的家鄉
[00:00:47.000 --> 00:00:49.000]  而這個更美的家鄉並不在地上
[00:00:49.000 --> 00:00:50.000]  而在天上
[00:00:50.000 --> 00:00:54.000]  而這個將來更美的家鄉
[00:00:54.000 --> 00:00:57.000]  是神自己親自為我們來預備的
[00:00:57.000 --> 00:01:02.000]  如果我們再跳到史圖彼得的書信
[00:01:02.000 --> 00:01:04.000]  史圖彼得告訴我們
[00:01:04.000 --> 00:01:09.000]  神是讓我們得夢連續
[00:01:09.000 --> 00:01:14.000]  視我們為是神國道裡面的子民
[00:01:14.000 --> 00:01:16.000]  我們當信耶穌之後
[00:01:16.000 --> 00:01:25.000]  我們地上的生活馬上就成為一個回家的旅程
[00:01:25.000 --> 00:01:29.000]  我們只不過是一個地上的旅客
[00:01:29.000 --> 00:01:34.000]  這個天路旅客的身份
[00:01:34.000 --> 00:01:39.000]  我們馬上就成為活在地上
[00:01:39.000 --> 00:01:41.000]  但是一個天國的旅客
[00:01:41.000 --> 00:01:44.000]  在今天我們所讀的經文裡面
[00:01:44.000 --> 00:01:47.000]  史圖保羅進一步告訴我們
[00:01:47.000 --> 00:01:50.000]  我們在這個地上作為旅客
[00:01:50.000 --> 00:01:53.000]  不只是觀光或者購物
[00:01:53.000 --> 00:01:56.000]  雖然觀光購物都相當重要
[00:01:56.000 --> 00:01:59.000]  我們教會都舉辦一些觀光團
[00:01:59.000 --> 00:02:00.000]  大家如果上次有去的話
[00:02:00.000 --> 00:02:01.000]  我們都知道
[00:02:01.000 --> 00:02:07.000]  神讓我們可以享受這個世界很多的創造
[00:02:07.000 --> 00:02:09.000]  但是在這裡保羅再一次告訴我們
[00:02:09.000 --> 00:02:10.000]  提醒我們
[00:02:10.000 --> 00:02:12.000]  我們天國的旅客在地上
[00:02:12.000 --> 00:02:17.000]  不只是享受神為我們所預備的東西
[00:02:17.000 --> 00:02:20.000]  而神也在這個時間裡面
[00:02:20.000 --> 00:02:23.000]  是要我們有一些事情要做的
[00:02:23.000 --> 00:02:27.000]  所以我們在等待耶穌基督回來的時候
[00:02:27.000 --> 00:02:30.000]  究竟我們需要做些什麼呢
[00:02:30.000 --> 00:02:32.000]  讓我們今天一同通過這段經文
[00:02:32.000 --> 00:02:37.000]  讓我們看看究竟我們如何能夠有效地活出神
[00:02:37.000 --> 00:02:41.000]  要我們在這個地上的生活
[00:02:41.000 --> 00:02:43.000]  我們看第十二節
[00:02:43.000 --> 00:02:45.000]  在第十二節裡面
[00:02:45.000 --> 00:02:51.000]  保羅強調他自己未完全得著
[00:02:51.000 --> 00:02:54.000]  保羅究竟所說的得著是指得著什麼呢
[00:02:54.000 --> 00:02:55.000]  如果我們看第八節
[00:02:55.000 --> 00:02:56.000]  他說得很清楚了
[00:02:56.000 --> 00:02:59.000]  他說他已經雕氣萬事
[00:02:59.000 --> 00:03:00.000]  看作糞土
