
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 你們的眼睛
[00:00:02.000 --> 00:00:04.000]  視力怎麼樣
[00:00:04.000 --> 00:00:06.000]  我們看看第一幅圖
[00:00:06.000 --> 00:00:08.000]  好
[00:00:08.000 --> 00:00:10.000]  對了
[00:00:10.000 --> 00:00:12.000]  看到第幾行
[00:00:12.000 --> 00:00:14.000]  第八行看到嗎
[00:00:14.000 --> 00:00:18.000]  好 第十行
[00:00:18.000 --> 00:00:20.000]  清不清楚
[00:00:20.000 --> 00:00:24.000]  這麼厲害 看到嗎
[00:00:24.000 --> 00:00:26.000]  十一行
[00:00:26.000 --> 00:00:28.000]  好 下一頁
[00:00:28.000 --> 00:00:30.000]  看到什麼字
[00:00:30.000 --> 00:00:32.000]  哇 厲害
[00:00:32.000 --> 00:00:34.000]  下一張
[00:00:34.000 --> 00:00:36.000]  看到什麼
[00:00:36.000 --> 00:00:40.000]  兩個人頭
[00:00:40.000 --> 00:00:42.000]  還有什麼
[00:00:42.000 --> 00:00:46.000]  看到一隻杯這麼厲害
[00:00:46.000 --> 00:00:48.000]  還有看到什麼
[00:00:48.000 --> 00:00:52.000]  看到什麼
[00:00:58.000 --> 00:01:00.000]  看到有兩個人
[00:01:00.000 --> 00:01:02.000]  彈著結他嗎
[00:01:02.000 --> 00:01:08.000]  是有的
[00:01:08.000 --> 00:01:10.000]  看不到就再看看
[00:01:10.000 --> 00:01:12.000]  下次再看
[00:01:12.000 --> 00:01:14.000]  好
[00:01:14.000 --> 00:01:16.000]  弟兄姊妹
[00:01:16.000 --> 00:01:18.000]  看
[00:01:18.000 --> 00:01:20.000]  有時我們肉眼看的東西
[00:01:20.000 --> 00:01:22.000]  未必真是現況的東西
[00:01:22.000 --> 00:01:24.000]  有時可能
[00:01:24.000 --> 00:01:26.000]  現況的東西我們肉眼又未必看得這麼清楚
[00:01:26.000 --> 00:01:28.000]  今天我們來看看
[00:01:28.000 --> 00:01:30.000]  這段經文的背景
[00:01:30.000 --> 00:01:32.000]  這段經文是什麼呢
[00:01:32.000 --> 00:01:34.000]  這裡當時說到以色列國
[00:01:34.000 --> 00:01:36.000]  已經分了南北兩國
[00:01:36.000 --> 00:01:38.000]  南的是猶大 北的是
[00:01:38.000 --> 00:01:40.000]  以色列
[00:01:40.000 --> 00:01:42.000]  當年他們就面對著
[00:01:42.000 --> 00:01:44.000]  內憂外患 很多外敵
[00:01:44.000 --> 00:01:46.000]  來入侵
[00:01:46.000 --> 00:01:48.000]  其中這裡說到這一段經文
[00:01:48.000 --> 00:01:50.000]  是說到北國以色列
[00:01:50.000 --> 00:01:52.000]  北國以色列他們
[00:01:52.000 --> 00:01:54.000]  的中心點
[00:01:54.000 --> 00:01:56.000]  是撒瑪利亞城
[00:01:56.000 --> 00:01:58.000]  南國猶大就是耶路撒冷
[00:01:58.000 --> 00:02:00.000]  他們北國撒瑪利亞城
[00:02:00.000 --> 00:02:02.000]  這裡就說到當年
[00:02:02.000 --> 00:02:04.000]  有一個阿蘭大軍
[00:02:04.000 --> 00:02:06.000]  多次要來
[00:02:06.000 --> 00:02:08.000]  攻打以色列國
[00:02:08.000 --> 00:02:10.000]  但是
[00:02:10.000 --> 00:02:12.000]  很特別
[00:02:12.000 --> 00:02:14.000]  在以色列國有一個先知叫做
[00:02:14.000 --> 00:02:16.000]  以利沙 每一次當阿蘭王
[00:02:16.000 --> 00:02:18.000]  他想攻打以色列國的時候
[00:02:18.000 --> 00:02:20.000]  以利沙
[00:02:20.000 --> 00:02:22.000]  就得到很多啟示
[00:02:22.000 --> 00:02:24.000]  通知
[00:02:24.000 --> 00:02:26.000]  以色列國你們要小心
[00:02:26.000 --> 00:02:28.000]  阿蘭王大軍在哪裡
