
[00:00:00.000 --> 00:00:03.500]  我們讀兩段的聖經
[00:00:03.500 --> 00:00:06.580]  第一段在約翰福音第21章17節
[00:00:06.580 --> 00:00:09.000]  這裡主第三次對彼得說
[00:00:09.000 --> 00:00:11.600]  約翰的兒子西門你愛我嗎?
[00:00:11.600 --> 00:00:13.400]  彼得因為耶穌第三次對他說
[00:00:13.400 --> 00:00:15.200]  你愛我嗎?就憂愁
[00:00:15.200 --> 00:00:17.540]  對耶穌說主啊你是無所不知的
[00:00:17.540 --> 00:00:18.640]  你知道我愛你
[00:00:18.640 --> 00:00:20.940]  耶穌說你餵養我的羊
[00:00:20.940 --> 00:00:24.500]  第二段聖經在馬太福音14章15到16節
[00:00:24.500 --> 00:00:26.640]  天降晚的時候門徒進前來說
[00:00:26.640 --> 00:00:28.680]  這是野地時候已經過了
[00:00:28.680 --> 00:00:30.000]  請叫眾人散開
[00:00:30.000 --> 00:00:32.880]  他們好往村子裡去自己買吃的
[00:00:32.880 --> 00:00:35.000]  16節耶穌說不用他們去
[00:00:35.000 --> 00:00:37.400]  你們給他們吃吧
[00:00:37.400 --> 00:00:39.240]  我們就讀到這裡
[00:00:39.240 --> 00:00:43.680]  九月份是一個重新開始的季節
[00:00:43.680 --> 00:00:46.140]  孩子們回到學校上課
[00:00:46.140 --> 00:00:50.140]  公司們也開始計劃一個新的年度
[00:00:50.140 --> 00:00:51.240]  我就想到
[00:00:51.240 --> 00:00:54.680]  在21天義肢佈道大會結束之後
[00:00:54.680 --> 00:00:57.600]  一方面我們為了神在我們身上的工作
[00:00:57.600 --> 00:00:59.240]  非常的興奮
[00:00:59.240 --> 00:01:01.340]  但另一方面我們也看見
[00:01:01.340 --> 00:01:03.600]  神所給我們的使命
[00:01:03.600 --> 00:01:05.640]  不但叫我們傳福音
[00:01:05.640 --> 00:01:08.340]  使別人成為神的門徒
[00:01:08.340 --> 00:01:10.840]  更是要奉主的名
[00:01:10.840 --> 00:01:14.800]  主說要使萬民做主的門徒
[00:01:14.800 --> 00:01:19.040]  神的意思不是叫人只是成為一個信徒而已
[00:01:19.040 --> 00:01:24.080]  神的心意是要每一個人能夠成為主的門徒
[00:01:24.080 --> 00:01:27.600]  這是為什麼主在死裡復活之後
[00:01:27.600 --> 00:01:29.440]  他就向彼得說
[00:01:29.440 --> 00:01:31.040]  給彼得一個託付
[00:01:31.040 --> 00:01:34.400]  說你要餵養我的羊
[00:01:34.400 --> 00:01:37.600]  換句話說今天教會領受的
[00:01:37.600 --> 00:01:41.540]  不只是一個傳福音的大使命而已
[00:01:41.540 --> 00:01:43.840]  今天教會所領受的
[00:01:43.840 --> 00:01:47.680]  還有一個屬靈餵養的使命
[00:01:47.680 --> 00:01:52.140]  你知道很多時候教會常常注重在傳福音的工作上
[00:01:52.140 --> 00:01:57.000]  卻忽略了這個屬靈餵養的使命
[00:01:57.000 --> 00:02:00.400]  結果很多人從教會的前門進來
[00:02:00.400 --> 00:02:04.000]  但也有很多人從教會的後門會出去
[00:02:04.000 --> 00:02:05.780]  那個關鍵在於什麼呢
[00:02:05.780 --> 00:02:10.240]  那個關鍵就在於屬靈的餵養工作
[00:02:10.240 --> 00:02:13.600]  那你說我們今天怎麼做屬靈的餵養呢
[00:02:13.600 --> 00:02:14.640]  我們又不是神
[00:02:14.640 --> 00:02:18.240]  怎麼能夠餵養這麼多人的需要呢
[00:02:18.240 --> 00:02:21.540]  我相信彼得當時有很多的困惑
[00:02:21.540 --> 00:02:24.000]  主啊我要怎麼來餵養呢
[00:02:24.000 --> 00:02:26.980]  我要用什麼來餵養呢
[00:02:26.980 --> 00:02:28.800]  但另一方面他也記得
[00:02:28.800 --> 00:02:31.040]  其實這不是第一次
[00:02:31.040 --> 00:02:35.140]  主對門徒說要做餵養的工作
[00:02:35.140 --> 00:02:39.400]  你還記得有一次當主耶穌面對五千人的會眾
[00:02:39.400 --> 00:02:41.340]  講完道之後
[00:02:41.340 --> 00:02:45.780]  祂對門徒說你們給他們吃吧
[00:02:45.780 --> 00:02:48.580]  當時我相信所有的門徒也非常的困惑
[00:02:48.580 --> 00:02:50.740]  主啊我怎麼給他們吃法呢
[00:02:50.740 --> 00:02:52.280]  我們也沒有食物
[00:02:52.280 --> 00:02:56.440]  就算有二十兩銀子也沒有辦法不夠啊
[00:02:56.440 --> 00:03:00.300]  所以主就用無比二於這個神蹟
[00:03:00.300 --> 00:03:04.840]  我相信不但是要餵飽當時五千人的會眾
[00:03:04.840 --> 00:03:09.000]  主也是藉這個神蹟來教導他的門徒
[00:03:09.000 --> 00:03:12.340]  怎麼樣做屬靈餵養的工作
[00:03:12.340 --> 00:03:14.340]  所以今天我們從三方面
[00:03:14.340 --> 00:03:16.940]  我們來看屬靈餵養的原則
[00:03:16.940 --> 00:03:19.480]  第一個是小主的原則
[00:03:19.480 --> 00:03:23.200]  跟你們旁邊說是小主的原則
[00:03:23.200 --> 00:03:25.980]  路加福音第九章十四節記載到
[00:03:25.980 --> 00:03:27.900]  那時人數約有五千
[00:03:27.900 --> 00:03:29.300]  耶穌對門徒說
