
[00:00:00.000 --> 00:00:02.720]  各位恩全心上的頂姊妹
[00:00:02.720 --> 00:00:04.720]  各位好朋友,主內平安!
[00:00:04.720 --> 00:00:11.120]  好,感謝上帝給了我們今天一個微風細雨的早上
[00:00:11.120 --> 00:00:15.320]  一個 Long Rien 來到敬拜這位創造天地萬物的神
[00:00:15.320 --> 00:00:18.280]  雖然今天有一點黑雲
[00:00:18.280 --> 00:00:21.720]  但是我們相信黑雲背後有太陽的,是吧?
[00:00:21.720 --> 00:00:24.280]  是呀,我們幾路徒充滿盼望
[00:00:24.280 --> 00:00:26.760]  沒錯,我們過往幾年
[00:00:26.760 --> 00:00:29.520]  這個世界都好像今天的天氣一樣
[00:00:29.520 --> 00:00:33.720]  我們有這個疫情的黑雲籠罩
[00:00:33.720 --> 00:00:36.560]  又加上打仗的黑雲
[00:00:36.560 --> 00:00:41.680]  現在我們這個利息飆升的黑雲
[00:00:41.680 --> 00:00:44.360]  是不是都很黑下?
[00:00:44.360 --> 00:00:46.520]  但是來到教會我們充滿盼望
[00:00:46.520 --> 00:00:50.240]  因為我們知道我們所信的神是一位又真又會的神
[00:00:50.240 --> 00:00:53.720]  我們知道香港有個歌星叫姜濤
[00:00:53.720 --> 00:00:55.360]  大家有沒有聽過?
[00:00:55.360 --> 00:00:57.120]  有沒有聽過他的歌?
[00:00:57.120 --> 00:01:00.400]  他的歌叫「蒙著嘴說愛你」
[00:01:00.400 --> 00:01:03.800]  我們今天教會裡「蒙著嘴說歡迎你」可以嗎?
[00:01:03.800 --> 00:01:05.280]  跟旁邊的大姊姊好嗎?
[00:01:05.280 --> 00:01:06.560]  「蒙著嘴歡迎你」
[00:01:06.560 --> 00:01:14.200]  我們今天感恩的能夠在主裡面一同的來敬拜這位又真又會的神
[00:01:14.200 --> 00:01:18.640]  首先恭喜甘荀會十五週年
[00:01:18.640 --> 00:01:20.720]  在這裡見證主
[00:01:20.720 --> 00:01:24.920]  又聽聞甘荀節有四位傳道岸立做牧師
[00:01:24.920 --> 00:01:26.320]  是不是很開心?
[00:01:26.320 --> 00:01:27.800]  先給掌聲我們的神
[00:01:27.800 --> 00:01:34.280]  盼望我們好像教會這六個字一樣
[00:01:34.280 --> 00:01:37.320]  我們不忘記我們跟隨主的初心
[00:01:37.320 --> 00:01:40.280]  更加我們在主的裡面能夠在愛裡面
[00:01:40.280 --> 00:01:42.480]  能夠流露基督的香氣
[00:01:42.480 --> 00:01:46.160]  當然我們繼續熱心地傳揚福音
[00:01:46.160 --> 00:01:49.200]  我知道教會過往是用約翰一二三書
[00:01:49.200 --> 00:01:52.040]  來特別跟大家作為講道的主題
[00:01:52.040 --> 00:01:56.720]  今天教會吩咐我來講最後一次約翰三書
[00:01:56.720 --> 00:01:59.320]  約翰三書其實不是很長的
[00:01:59.320 --> 00:02:01.600]  只有十人以敬經
[00:02:01.600 --> 00:02:04.680]  裡面其實主要記載了三個人物
[00:02:04.680 --> 00:02:08.680]  這三個人物剛才讀經的大兄弟讀了
[00:02:08.680 --> 00:02:10.080]  有戈猶
