
[00:00:00.000 --> 00:00:02.240]  在明朝的時候
[00:00:02.240 --> 00:00:04.720]  在洛陽附近住了一個傅翁
[00:00:04.720 --> 00:00:07.300]  一個富甲一方的傅翁
[00:00:07.300 --> 00:00:10.040]  這個傅翁有錢有面子什麼都有
[00:00:10.040 --> 00:00:13.440]  但是他又很想留給他的子孫
[00:00:13.440 --> 00:00:14.480]  不是錢
[00:00:14.480 --> 00:00:15.860]  是智慧
[00:00:15.860 --> 00:00:18.540]  所以這個傅翁就公開招募了
[00:00:18.540 --> 00:00:23.640]  他就在全國招募智者、學者
[00:00:23.640 --> 00:00:25.680]  所有有能力的人
[00:00:25.680 --> 00:00:28.680]  可以來到他的莊上作客
[00:00:28.680 --> 00:00:32.800]  這個傅翁就大宴這些智者
[00:00:32.800 --> 00:00:38.780]  從中經過嚴格挑選了16個精英中的精英
[00:00:38.780 --> 00:00:42.280]  這16個智者有些是一代的文豪
[00:00:42.280 --> 00:00:44.920]  有些是上知天文
[00:00:44.920 --> 00:00:48.100]  下知地理的謀士
[00:00:48.100 --> 00:00:51.900]  有些甚至是退隱了的一些奇人異士
[00:00:51.900 --> 00:00:55.240]  這16個人來到這個智者的家
[00:00:55.240 --> 00:00:58.560]  來到這個富有的人的家
[00:00:58.560 --> 00:01:01.980]  這個傅翁就要求他們做一件事
[00:01:01.980 --> 00:01:04.340]  請你在一年之內
[00:01:04.340 --> 00:01:08.080]  你幫我編一本人類的智慧錄
[00:01:08.080 --> 00:01:10.580]  讓我可以留給我的子孫
[00:01:10.580 --> 00:01:15.520]  這16個智者就在這個傅翁的家住下來
[00:01:15.520 --> 00:01:17.420]  用了一年的時間
[00:01:17.420 --> 00:01:19.300]  費寢忘餐的
[00:01:19.300 --> 00:01:22.560]  終於編成了八大冊
[00:01:22.560 --> 00:01:29.560]  樣樣數十萬字的很大的人類的智慧錄
[00:01:29.560 --> 00:01:30.600]  給這個傅翁
[00:01:30.600 --> 00:01:32.120]  這個傅翁就很感激
[00:01:32.120 --> 00:01:33.760]  很感謝你們
[00:01:33.760 --> 00:01:35.600]  不過太多了
[00:01:35.600 --> 00:01:36.720]  看不完
[00:01:36.720 --> 00:01:39.500]  還有我的子孫多數都沒有耐性看
[00:01:39.500 --> 00:01:43.040]  你可不可以幫我濃縮一下
[00:01:43.040 --> 00:01:47.160]  這班智者用了一個月時間
[00:01:47.160 --> 00:01:50.920]  天天在談如何可以將它濃縮
[00:01:50.920 --> 00:01:52.380]  一個月之後
[00:01:52.380 --> 00:01:54.960]  他將這八冊變成一冊
[00:01:54.960 --> 00:01:57.080]  就交給這個傅翁
[00:01:57.080 --> 00:01:58.840]  一冊 容易看很多
[00:01:58.840 --> 00:02:00.840]  一本書而已
[00:02:00.840 --> 00:02:04.000]  但這個傅翁覺得都是長
[00:02:04.000 --> 00:02:05.960]  可不可以再精簡一點
[00:02:05.960 --> 00:02:08.560]  讓我們容易些學呢
[00:02:08.560 --> 00:02:12.080]  這16個智者每天都在討論
[00:02:12.080 --> 00:02:13.960]  可以刪減些什麼呢
[00:02:13.960 --> 00:02:16.320]  哪些可以再濃縮呢
[00:02:16.320 --> 00:02:19.440]  結果一冊變成一章
[00:02:19.440 --> 00:02:21.520]  一章變成一段
[00:02:21.520 --> 00:02:23.760]  一段變成一句
[00:02:23.760 --> 00:02:26.200]  到最後這16個智者
[00:02:26.200 --> 00:02:27.640]  就跟傅翁說
[00:02:27.640 --> 00:02:29.680]  我們將人類的智慧
[00:02:29.680 --> 00:02:32.040]  濃縮成為一句說話
[00:02:32.040 --> 00:02:35.000]  這個傅翁很感謝他們
[00:02:35.000 --> 00:02:38.160]  一句說話容易看容易學
[00:02:38.160 --> 00:02:40.320]  這個傅翁一看
[00:02:40.320 --> 00:02:42.240]  原來這句說話就是
[00:02:42.240 --> 00:02:47.160]  世上沒有免費的午餐
[00:02:47.160 --> 00:02:49.440]  這個傅翁他什麼都有
[00:02:49.440 --> 00:02:51.880]  有錢有權有勢有勉
[00:02:51.880 --> 00:02:53.720]  不過他都有智慧
[00:02:53.720 --> 00:02:56.200]  他不是留些錢給子孫
[00:02:56.200 --> 00:02:58.720]  他想留智慧給子孫
[00:02:58.720 --> 00:03:02.520]  但是世上沒有免費的午餐
[00:03:02.520 --> 00:03:04.680]  我們要有智慧
[00:03:04.680 --> 00:03:08.480]  我們要懂得在哪裡找真正的智慧
[00:03:08.480 --> 00:03:11.560]  還有我們要付代價去學習
[00:03:11.560 --> 00:03:12.880]  去操練
[00:03:12.880 --> 00:03:18.360]  我們才能夠有可能過一個智慧的人生
[00:03:18.360 --> 00:03:19.520]  我們可能都會問
[00:03:19.520 --> 00:03:21.200]  什麼是智慧呢?
[00:03:21.200 --> 00:03:22.600]  這個字
[00:03:22.600 --> 00:03:23.960]  差不多很多人都說
[00:03:23.960 --> 00:03:25.240]  你信耶穌也說
[00:03:25.240 --> 00:03:26.800]  你不信耶穌也說
[00:03:26.800 --> 00:03:28.400]  什麼是智慧呢?
[00:03:28.400 --> 00:03:30.720]  在一段時間我就
[00:03:30.720 --> 00:03:34.240]  留意下最近的人喜歡學什麼
[00:03:34.240 --> 00:03:35.880]  我發覺原來有一段時間
[00:03:35.880 --> 00:03:38.000]  有一個叫新紀元運動
[00:03:38.000 --> 00:03:39.840]  或者新紀元的思想
[00:03:39.840 --> 00:03:41.280]  都挺有趣的
[00:03:41.280 --> 00:03:43.280]  原來這個思想
[00:03:43.280 --> 00:03:46.320]  雖然是很薄雜
[00:03:46.320 --> 00:03:48.080]  但其中一樣東西就是
[00:03:48.080 --> 00:03:52.400]  我們相信人有無限的潛能
[00:03:52.400 --> 00:03:54.480]  只要你有方法有渠道
[00:03:54.480 --> 00:03:57.480]  能夠打開自己生命的寶庫
[00:03:57.480 --> 00:04:01.480]  你就可以提升到一個很高的境界
[00:04:01.480 --> 00:04:02.920]  幾乎你無所不能
[00:04:02.920 --> 00:04:06.000]  你做什麼都可以
[00:04:06.000 --> 00:04:10.440]  所以坊間有很多自我提升
[00:04:10.440 --> 00:04:12.640]  發掘潛能的課程
[00:04:12.640 --> 00:04:14.920]  大家就趨之若鶩
[00:04:14.920 --> 00:04:16.440]  鬼鬼祟祟都去學
[00:04:16.440 --> 00:04:18.160]  神學都很貴就沒有人去學
[00:04:18.160 --> 00:04:22.160]  但那些就很多人去學
[00:04:22.160 --> 00:04:25.000]  我覺得自我增值是需要的
[00:04:25.000 --> 00:04:27.080]  這個是對的
[00:04:27.080 --> 00:04:30.240]  但是如果我們這樣看自己
[00:04:30.240 --> 00:04:32.360]  我們越覺得自己行
[00:04:32.360 --> 00:04:34.760]  我有無限潛能
[00:04:34.760 --> 00:04:37.960]  我越覺得要靠自己的能力
[00:04:37.960 --> 00:04:43.080]  我們可能越不會去依靠上帝
[00:04:43.080 --> 00:04:45.080]  什麼是智慧呢?
[00:04:45.080 --> 00:04:49.160]  我很籠統地去給一個定義
[00:04:49.160 --> 00:04:54.320]  因為智慧實在是有很多人會給自己的想法
[00:04:54.320 --> 00:04:55.360]  你看聖經
[00:04:55.360 --> 00:04:57.760]  所羅門有求智慧
[00:04:57.760 --> 00:05:00.840]  保羅講希臘人有求智慧
