
[00:00:00.000 --> 00:00:05.000]  在二千年前,耶穌基督進入了我們的世界,
[00:00:05.000 --> 00:00:08.000]  徹底改變了這個世界。
[00:00:08.000 --> 00:00:13.000]  耶穌基督成爲人類歷史的中心人物,
[00:00:13.000 --> 00:00:16.000]  也改變了無數人的生命,
[00:00:16.000 --> 00:00:19.000]  包括你和我。
[00:00:19.000 --> 00:00:21.000]  今天我們要看一個人,
[00:00:21.000 --> 00:00:23.000]  看看耶穌基督如何改變他,
[00:00:23.000 --> 00:00:27.000]  然後透過他將這個世界翻轉過來。
[00:00:27.000 --> 00:00:30.000]  這個人就是仕途保羅,
[00:00:30.000 --> 00:00:32.000]  剛纔我們讀仕途行傳第九章,
[00:00:32.000 --> 00:00:34.000]  他信主的經過。
[00:00:34.000 --> 00:00:42.000]  他信主之後,
[00:00:42.000 --> 00:00:45.000]  他的名字就由素羅改爲保羅,
[00:00:45.000 --> 00:00:47.000]  所以你在第九章看到他是素羅,
[00:00:47.000 --> 00:00:51.000]  然後在仕途行傳以後就看到他是保羅。
[00:00:51.000 --> 00:00:56.000]  保羅和基督邂逅或者相遇的經歷
[00:00:56.000 --> 00:00:58.000]  在仕途行傳講過三次,
[00:00:58.000 --> 00:01:00.000]  第一次就是第九章,
[00:01:00.000 --> 00:01:02.000]  第二次第二十二章,
[00:01:02.000 --> 00:01:06.000]  他向耶路撒冷的百姓作見證,
[00:01:06.000 --> 00:01:08.000]  解釋他如何信耶穌,
[00:01:08.000 --> 00:01:11.000]  第三次就在仕途行傳第二十六章,
[00:01:11.000 --> 00:01:15.000]  他在阿基帕王面前受審,
[00:01:15.000 --> 00:01:17.000]  他爲自己分數,
[00:01:17.000 --> 00:01:21.000]  也將他的得救見證講出來。
[00:01:21.000 --> 00:01:26.000]  一卷書章一件事講三次,
[00:01:26.000 --> 00:01:28.000]  顯明他的重要性。
[00:01:28.000 --> 00:01:31.000]  有解經家說這件事,
[00:01:31.000 --> 00:01:36.000]  素羅在大馬士革路上見到耶穌這件事,
[00:01:36.000 --> 00:01:41.000]  是從耶穌基督復活之後到現在,
[00:01:41.000 --> 00:01:47.000]  二千年來最重要的人類發生的事。
[00:01:47.000 --> 00:01:53.000]  因爲透過保羅這個信主的經歷,
[00:01:53.000 --> 00:01:55.000]  將整個世界改變過來。
[00:01:55.000 --> 00:01:57.000]  所以今天我們看這段經文,
[00:01:57.000 --> 00:01:59.000]  是一個很重要的經文,
[00:01:59.000 --> 00:02:01.000]  在神學上,
[00:02:01.000 --> 00:02:06.000]  在我們實踐上也有很重要的啓發,
[00:02:06.000 --> 00:02:10.000]  我們傳一個謙卑的心來思想,
[00:02:10.000 --> 00:02:15.000]  思想上帝改變素羅的救贖大能,
[00:02:15.000 --> 00:02:21.000]  人的神的揀選和人的自由意志的分別,
[00:02:21.000 --> 00:02:25.000]  人從生以後的改變和如何信耶穌,
[00:02:25.000 --> 00:02:28.000]  所有東西都在這半個小時裏面講。
[00:02:28.000 --> 00:02:31.000]  有解經家說,
[00:02:31.000 --> 00:02:36.000]  其實耶路撒冷教會受迫害,
[00:02:36.000 --> 00:02:39.000]  是素羅發動的,
[00:02:39.000 --> 00:02:43.000]  而素羅也參與了斯提反的被害。
[00:02:43.000 --> 00:02:49.000]  我們看到《使徒行傳》第七章說到,
[00:02:49.000 --> 00:02:50.000]  斯提反臨死的時候,
[00:02:50.000 --> 00:02:52.000]  他跪下大聲喊着說,
[00:02:52.000 --> 00:02:54.000]  主下不要將者罪歸於他們。
[00:02:54.000 --> 00:02:56.000]  他說要者說就遂,
[00:02:56.000 --> 00:02:58.000]  他被人用石頭釘死。
[00:02:58.000 --> 00:03:01.000]  素羅也喜悅他受害。
[00:03:01.000 --> 00:03:06.000]  素羅對教會是非常殘忍的逼迫,
[00:03:06.000 --> 00:03:08.000]  他在第九章,
[00:03:08.000 --> 00:03:09.000]  剛纔大家讀過,
[00:03:09.000 --> 00:03:14.000]  他向主的門徒發恐嚇、兇殺的話,
[00:03:14.000 --> 00:03:19.000]  拿到大祭司的公函授權,
[00:03:19.000 --> 00:03:25.000]  他去大馬士革把男女帶到耶路撒冷受審。
[00:03:25.000 --> 00:03:28.000]  第一次看到一個字,
[00:03:28.000 --> 00:03:30.000]  他迎接素羅,
[00:03:30.000 --> 00:03:33.000]  應驗威嚇教會,
[00:03:33.000 --> 00:03:35.000]  但是幾次之後,
[00:03:35.000 --> 00:03:38.000]  他忽然在路上有大光照耀,
[00:03:38.000 --> 00:03:40.000]  忽然上帝說話。
[00:03:40.000 --> 00:03:43.000]  這個迎字和忽然這兩個字,
[00:03:43.000 --> 00:03:45.000]  其實值得我們考慮。
[00:03:45.000 --> 00:03:47.000]  香港現在也面對這樣的情況,
[00:03:47.000 --> 00:03:48.000]  仍然有很多動盪,
[00:03:48.000 --> 00:03:51.000]  仍然中國教會受壓力,
[00:03:51.000 --> 00:03:53.000]  仍然全世界亂七八糟,
[00:03:53.000 --> 00:03:56.000]  但是忽然上帝可以出手,
[00:03:56.000 --> 00:03:58.000]  上帝有主權。
[00:03:58.000 --> 00:04:01.000]  今次的事件,
[00:04:01.000 --> 00:04:03.000]  素羅信主的事件,
[00:04:03.000 --> 00:04:04.000]  是看得很清楚,
[00:04:04.000 --> 00:04:06.000]  上帝採取主動,
[00:04:06.000 --> 00:04:08.000]  上帝有主權。
[00:04:08.000 --> 00:04:19.000]  當保羅正在迫害教會的時候,
[00:04:19.000 --> 00:04:22.000]  上帝就按他的旨意和按他的時間,
[00:04:22.000 --> 00:04:25.000]  進入了素羅的生命。
[00:04:25.000 --> 00:04:28.000]  素羅看到榮光一剎那,
[00:04:28.000 --> 00:04:29.000]  就瞎了眼睛。
[00:04:29.000 --> 00:04:32.000]  我們留意到耶穌基督,
[00:04:32.000 --> 00:04:36.000]  如何和素羅通話。
[00:04:36.000 --> 00:04:40.000]  素羅聽見主耶穌的聲音對他說,
[00:04:40.000 --> 00:04:43.000]  「素羅,素羅,你爲什麼要迫害我?」
[00:04:43.000 --> 00:04:45.000]  你留意到耶穌沒有說,
[00:04:45.000 --> 00:04:48.000]  「素羅,素羅,你爲什麼要迫害我的教會?」
[00:04:48.000 --> 00:04:49.000]  耶穌說你爲什麼要迫害我?
[00:04:49.000 --> 00:04:51.000]  迫害耶穌的教會,
[00:04:51.000 --> 00:04:52.000]  就等於迫害耶穌。
[00:04:52.000 --> 00:04:54.000]  你在教會里面侍奉,
[00:04:54.000 --> 00:04:56.000]  就等於侍奉耶穌。
[00:04:56.000 --> 00:04:59.000]  你憎恨教會里面的弟兄姊妹,
[00:04:59.000 --> 00:05:01.000]  就等於你憎恨耶穌。
[00:05:01.000 --> 00:05:05.000]  耶穌對他的教會是很貼切的。
[00:05:05.000 --> 00:05:08.000]  你留意到素羅沒有爲自己辯護,
[00:05:08.000 --> 00:05:10.000]  也沒有反對,
[00:05:10.000 --> 00:05:11.000]  他立刻說「主啊」,
[00:05:11.000 --> 00:05:12.000]  他立刻信服。
[00:05:12.000 --> 00:05:15.000]  一個這樣迫害教會的人,
[00:05:15.000 --> 00:05:16.000]  就在那一剎那,
[00:05:16.000 --> 00:05:18.000]  就改變了。
[00:05:18.000 --> 00:05:19.000]  他信服他的主,
[00:05:19.000 --> 00:05:22.000]  「你是我的主,主啊,你是神。」
[00:05:22.000 --> 00:05:24.000]  他不知道他是誰,
[00:05:24.000 --> 00:05:25.000]  就信服他,
[00:05:25.000 --> 00:05:28.000]  主說「我就是你所迫害的耶穌。」
[00:05:28.000 --> 00:05:32.000]  然後,耶穌基督對素羅說,
[00:05:32.000 --> 00:05:35.000]  「起來,進城去。」
