
[00:00:00.000 --> 00:00:06.000]  請各位誠心低頭祈禱
[00:00:06.000 --> 00:00:09.000]  「全能永活的上帝」
[00:00:09.000 --> 00:00:16.000]  我們今天同心來到你面前感謝你
[00:00:16.000 --> 00:00:20.000]  讓我們在你今日致福的日子當中
[00:00:20.000 --> 00:00:25.000]  在這個這麼安靜優美的環境當中敬拜你
[00:00:25.000 --> 00:00:32.000]  參與全球教會的崇拜天使天君的歌唱
[00:00:32.000 --> 00:00:36.000]  也感謝天父賜下聖經
[00:00:36.000 --> 00:00:40.000]  叫世人尋找你的心靈獲得指導
[00:00:40.000 --> 00:00:44.000]  求主今日出一恩延潤我們的心
[00:00:44.000 --> 00:00:49.000]  使我們在跟隨你的日子當中
[00:00:49.000 --> 00:00:52.000]  時時得到你的話的提醒
[00:00:52.000 --> 00:00:55.000]  祈求你臨近我們當中
[00:00:55.000 --> 00:00:58.000]  叫你經過今日的崇拜
[00:00:58.000 --> 00:01:01.000]  我們的生命
[00:01:01.000 --> 00:01:05.000]  我們愛主愛人的心都得以提升
[00:01:05.000 --> 00:01:08.000]  奉主耶穌基督的聖名而求
[00:01:08.000 --> 00:01:10.000]  阿門
[00:01:10.000 --> 00:01:17.000]  各位會眾
[00:01:17.000 --> 00:01:21.000]  感謝上帝的恩典
[00:01:21.000 --> 00:01:30.000]  讓我今日能夠參與梁法堂的會眾崇拜
[00:01:30.000 --> 00:01:37.000]  和彼此分享聖經的教訓
[00:01:37.000 --> 00:01:49.000]  近年是因為師母有長期疾病在身
[00:01:49.000 --> 00:01:55.000]  是需要我悉心的照顧
[00:01:55.000 --> 00:02:01.000]  長期又要住在療養院
[00:02:01.000 --> 00:02:05.000]  加上我年事日高
[00:02:05.000 --> 00:02:11.000]  都已經很少接受主日講道的邀請
[00:02:11.000 --> 00:02:16.000]  今日應該是例外
[00:02:16.000 --> 00:02:27.000]  其次我的家務助理每個主日都要放假
[00:02:27.000 --> 00:02:35.000]  所以陪伴師母的責任就落在我身上
[00:02:35.000 --> 00:02:44.000]  我既然每一個主日都要去療養院陪伴師母
[00:02:44.000 --> 00:02:49.000]  我每個主日都在十一點鐘前
[00:02:49.000 --> 00:02:59.000]  趕到聯合醫院對面的牙打素護腔院
[00:02:59.000 --> 00:03:05.000]  和師母一同做簡單的崇拜
[00:03:05.000 --> 00:03:13.000]  讓她都能夠參與全港大多數會眾的人的崇拜
[00:03:13.000 --> 00:03:20.000]  也都得到一份主日的福氣
[00:03:20.000 --> 00:03:23.000]  下一個主日是父親節
[00:03:23.000 --> 00:03:34.000]  我是要去療養院和師母一起度過
[00:03:34.000 --> 00:03:40.000]  退休已經有一段相當長的時間
[00:03:40.000 --> 00:03:48.000]  時時回想一些生活的片段
[00:03:48.000 --> 00:03:54.000]  綜合起來總覺得一些生活的座右銘
[00:03:54.000 --> 00:04:02.000]  對自己的生活和侍奉都有很多的提醒
[00:04:02.000 --> 00:04:11.000]  很想在這裏和大家分享和給錢勉勵
[00:04:11.000 --> 00:04:13.000]  座右銘
[00:04:13.000 --> 00:04:19.000]  按照林語堂的中文百科大詞典
[00:04:19.000 --> 00:04:36.000]  記在座旁以便隨時警醒自己的格言
[00:04:36.000 --> 00:04:42.000]  座右銘是有很多
