
[00:00:00.000 --> 00:00:05.000]  最近有什麼電視節目不喜歡看?
[00:00:05.000 --> 00:00:12.500]  最近我留意了一個節目叫「爸爸去那兒」
[00:00:12.500 --> 00:00:16.000]  大家有沒有看過這個節目?
[00:00:16.000 --> 00:00:18.000]  說什麼呢?
[00:00:18.000 --> 00:00:20.000]  「Dad, where are we going?」
[00:00:20.000 --> 00:00:23.000]  英文的名字叫「Dad, where are we going?」
[00:00:23.000 --> 00:00:28.000]  這個節目是講及現在的爸爸生活很忙
[00:00:28.000 --> 00:00:30.000]  又不懂得做家務
[00:00:30.000 --> 00:00:33.000]  小孩有點孝心慣養
[00:00:33.000 --> 00:00:36.000]  於是他們很懂得相處
[00:00:36.000 --> 00:00:39.000]  於是找了幾對明星爸爸
[00:00:39.000 --> 00:00:41.000]  和他們年幼的小孩
[00:00:41.000 --> 00:00:44.000]  叫他們去一個陌生的地方
[00:00:44.000 --> 00:00:46.000]  然後給他們一些任務
[00:00:46.000 --> 00:00:48.000]  叫他們完成這些任務
[00:00:48.000 --> 00:00:54.000]  藉此記錄他們生活上的一些趣事
[00:00:54.000 --> 00:00:56.000]  藉著這個節目去喚醒
[00:00:56.000 --> 00:00:59.000]  很多爸爸媽媽
[00:00:59.000 --> 00:01:04.000]  告訴我們家庭生活的重要
[00:01:04.000 --> 00:01:10.000]  當我為今天的講章命名的時候
[00:01:10.000 --> 00:01:14.000]  不知為何突然想起這個節目
[00:01:14.000 --> 00:01:18.000]  我想起我們其實和爸爸一樣
[00:01:18.000 --> 00:01:20.000]  很多事情很忙
[00:01:20.000 --> 00:01:22.000]  有很多壓力
[00:01:22.000 --> 00:01:24.000]  有很多理想
[00:01:24.000 --> 00:01:26.000]  有很多事情想做
[00:01:26.000 --> 00:01:30.000]  以至我們忽略了一些重要的事情
[00:01:30.000 --> 00:01:32.000]  那些重要的事情是什麼呢?
[00:01:32.000 --> 00:01:35.000]  就是我們裏面的那份熱誠
[00:01:35.000 --> 00:01:37.000]  那份熱誠
[00:01:37.000 --> 00:01:39.000]  我不知道大家覺得
[00:01:39.000 --> 00:01:43.000]  有熱誠和沒有熱誠去做一件事
[00:01:43.000 --> 00:01:45.000]  有沒有分別呢?
[00:01:45.000 --> 00:01:47.000]  很有分別的
[00:01:47.000 --> 00:01:49.000]  當我們是否有熱誠
[00:01:49.000 --> 00:01:51.000]  和是否沒有熱誠的時候
[00:01:51.000 --> 00:01:54.000]  弟兄姊妹是否感受得到呢?
[00:01:54.000 --> 00:01:56.000]  感受得到
[00:01:56.000 --> 00:01:58.000]  你自己是否感受得到呢?
[00:01:58.000 --> 00:02:00.000]  感受得到
[00:02:00.000 --> 00:02:02.000]  有熱誠的時候
[00:02:02.000 --> 00:02:04.000]  我們會開心一點
[00:02:04.000 --> 00:02:05.000]  我們會雀躍一點
[00:02:05.000 --> 00:02:09.000]  我們覺得這個世界充滿著希望
[00:02:09.000 --> 00:02:13.000]  但是
[00:02:13.000 --> 00:02:15.000]  有時有些重擔
[00:02:15.000 --> 00:02:17.000]  有些生活壓力
