
[00:00:00.000 --> 00:00:03.580]  不知大家從來有否想過
[00:00:03.580 --> 00:00:07.420]  你怎樣才知道一個人是否愛你或關心你呢
[00:00:07.420 --> 00:00:08.960]  你怎樣知道的
[00:00:08.960 --> 00:00:13.040]  曾經有一個
[00:00:13.040 --> 00:00:16.380]  曾經有一個心理學家
[00:00:16.380 --> 00:00:19.960]  他說人是有五種愛的語言
[00:00:19.960 --> 00:00:23.800]  來表達或接收愛的
[00:00:23.800 --> 00:00:27.400]  甚麼五種語言呢 第一種是肯定的言語
[00:00:27.400 --> 00:00:31.760]  即是對方幫你做了事 你要說謝謝讚賞
[00:00:31.760 --> 00:00:34.060]  第二種是貼身禮物
[00:00:34.060 --> 00:00:37.120]  我不是說過時過節才送禮物
[00:00:37.120 --> 00:00:39.680]  閒時也要送禮物 表達愛意
[00:00:39.680 --> 00:00:42.000]  第三種是身體的接觸
[00:00:42.000 --> 00:00:44.800]  牽手、擁抱、親吻等等
[00:00:44.800 --> 00:00:47.880]  第四種是精心的時間
[00:00:47.880 --> 00:00:50.960]  即是對方願意花時間陪你一起
[00:00:50.960 --> 00:00:53.520]  和你聊天、關心你等等
[00:00:53.520 --> 00:00:55.820]  第五種是服務的行動
[00:00:55.820 --> 00:00:58.900]  我很喜歡對方幫我做事
[00:00:58.900 --> 00:01:01.200]  五種愛的語言
[00:01:01.200 --> 00:01:06.820]  每個人都有不同的自己愛的語言
[00:01:06.820 --> 00:01:10.920]  大家都知道我是做婚姻輔導的
[00:01:10.920 --> 00:01:13.220]  有件事我發覺
[00:01:13.220 --> 00:01:16.800]  當一些以為很認識對方的夫婦
[00:01:16.800 --> 00:01:19.380]  聽到這五種語言的時候
[00:01:19.380 --> 00:01:21.160]  很多都不知道
[00:01:21.160 --> 00:01:22.960]  他們所愛的對方
[00:01:22.960 --> 00:01:26.040]  他的語言是什麼 舉個例子
[00:01:26.040 --> 00:01:27.320]  如果一個丈夫
[00:01:27.320 --> 00:01:33.460]  他的愛的語言是喜歡擁抱、親吻、牽手等等
[00:01:33.460 --> 00:01:36.280]  而太太的愛的語言就是
[00:01:36.280 --> 00:01:39.340]  很喜歡她的丈夫花時間
[00:01:39.340 --> 00:01:41.640]  和她聊天、陪她
[00:01:41.640 --> 00:01:44.200]  我們可以想像到一個情況
[00:01:44.200 --> 00:01:46.760]  每次老公表達愛意的時候
[00:01:46.760 --> 00:01:48.560]  擁抱老婆、親吻老婆的時候
[00:01:48.560 --> 00:01:52.400]  老婆覺得很不耐煩
[00:01:52.400 --> 00:01:56.760]  相反當老婆很想等老公陪她的時候
[00:01:56.760 --> 00:02:01.100]  老公又很少花時間在太太身上
[00:02:01.100 --> 00:02:04.440]  在這種情況不代表兩夫婦沒有愛
[00:02:04.440 --> 00:02:08.020]  只不過他們不是用一個最有效的方式
[00:02:08.020 --> 00:02:12.880]  來表達或者接收對方的愛
[00:02:12.880 --> 00:02:16.200]  想像一下這對夫婦明白了愛的語言
[00:02:16.200 --> 00:02:20.820]  丈夫說原來太太喜歡我每天陪你聊天
[00:02:20.820 --> 00:02:24.920]  我每天花十五分鐘的時間陪你聊天
[00:02:24.920 --> 00:02:28.760]  一開始太太很開心
[00:02:28.760 --> 00:02:30.540]  久而久之發覺
[00:02:30.540 --> 00:02:34.900]  丈夫一邊聊天一邊看著錶
[00:02:34.900 --> 00:02:37.720]  十五分鐘過後
[00:02:37.720 --> 00:02:40.780]  立刻飛回房間打機
[00:02:40.780 --> 00:02:42.580]  我問大家當太太的時候
[00:02:42.580 --> 00:02:46.680]  你會不會很感受到在十五分鐘之後
[00:02:46.680 --> 00:02:49.480]  丈夫對你的愛
[00:02:49.480 --> 00:02:52.800]  這是我稱之為打卡式的表達
[00:02:52.800 --> 00:02:55.360]  我已經打卡了
[00:02:55.360 --> 00:03:00.240]  當我們今天說到愛神的時候
[00:03:00.240 --> 00:03:02.280]  大家從來有沒有想過
[00:03:02.280 --> 00:03:05.860]  我們愛神都以剛才所說的打卡式的愛
[00:03:05.860 --> 00:03:08.160]  甚麼是打卡式的愛?
[00:03:08.160 --> 00:03:10.480]  神啊我做了每天的讀經
[00:03:10.480 --> 00:03:11.760]  我祈禱了
[00:03:11.760 --> 00:03:13.800]  我翻崇拜
[00:03:13.800 --> 00:03:19.680]  我搞定了做完我應該做的宗教活動
[00:03:19.680 --> 00:03:21.740]  這種是不是愛呢?
[00:03:21.740 --> 00:03:25.840]  今天我們嘗試通過剛才的經文
[00:03:25.840 --> 00:03:31.200]  發掘愛神其實有三種必須要有的東西
[00:03:31.200 --> 00:03:35.300]  讓我們一同今天來看看
[00:03:35.300 --> 00:03:37.860]  經文開始的時候
[00:03:37.860 --> 00:03:41.200]  摩西就說以色列你要聽
[00:03:41.200 --> 00:03:44.020]  耶和華我們神是獨一的主
[00:03:44.020 --> 00:03:49.400]  你要盡心盡性盡力愛我們的神
[00:03:49.400 --> 00:03:51.200]  在這兩節的經文裡面
[00:03:51.200 --> 00:03:54.600]  摩西告訴我們一個很重要的次序
[00:03:54.600 --> 00:03:57.080]  當我們說到愛神的時候
[00:03:57.080 --> 00:04:04.240]  大家有沒有留意在摩西叫我們盡心盡性盡力愛神的時候
[00:04:04.240 --> 00:04:06.800]  之前那句是甚麼?很重要
[00:04:06.800 --> 00:04:10.120]  以色列你要聽
[00:04:10.120 --> 00:04:13.960]  大家要留意在希伯來的文化裡面
[00:04:13.960 --> 00:04:16.520]  特別是聖經的用語
[00:04:16.520 --> 00:04:18.820]  當我們說要聽的時候
[00:04:18.820 --> 00:04:22.920]  不是單是說聽到聲音
[00:04:22.920 --> 00:04:27.020]  希伯來的文化裡面當我們說要聽神的時候
[00:04:27.020 --> 00:04:29.840]  往往都是帶著我們需要
[00:04:29.840 --> 00:04:32.900]  帶著一個服從的意圖去聽的
[00:04:32.900 --> 00:04:35.720]  如果你聽完之後沒有想著去服從的話
[00:04:35.720 --> 00:04:38.800]  在聖經裡面這個不是叫聆聽
[00:04:38.800 --> 00:04:40.340]  摩西接著說
