
[00:00:00.000 --> 00:00:05.600]  我們今年教會的主題是什麼呢?
[00:00:05.600 --> 00:00:08.680]  2020的事業
[00:00:08.680 --> 00:00:12.720]  活出土主喜悅的生活
[00:00:12.720 --> 00:00:15.840]  我們已經有很多團契小組聚會的時候
[00:00:15.840 --> 00:00:18.000]  都一直在講這個主題
[00:00:18.000 --> 00:00:25.600]  昨晚的聚會也有分享土主喜悅的生活
[00:00:25.600 --> 00:00:27.080]  非常好
[00:00:27.080 --> 00:00:30.480]  我們上個星期是聯合崇拜
[00:00:30.480 --> 00:00:32.840]  再上個星期是我們第一個主日的時候
[00:00:32.840 --> 00:00:34.760]  已經講了上一講
[00:00:34.760 --> 00:00:38.560]  那我們今天再一次多思想一下
[00:00:38.560 --> 00:00:43.760]  我們主題是今年的Living with God's Perspective
[00:00:43.760 --> 00:00:46.880]  然後我們翻譯做2020的事業
[00:00:46.880 --> 00:00:49.440]  意思就是說我們有更清晰的眼光
[00:00:49.440 --> 00:00:52.080]  來看到神所喜悅的事
[00:00:52.080 --> 00:00:54.360]  讓我們的生活能夠土主的喜悅
[00:00:54.360 --> 00:00:57.400]  我們的侍奉能夠合祂的心意
[00:00:57.400 --> 00:00:59.920]  主題的經文是《以弗所書》第五章
[00:00:59.920 --> 00:01:02.600]  我們再讀一下這幾節的經文好嗎?
[00:01:02.600 --> 00:01:05.600]  由第五章第八到第十節請讀
[00:01:05.600 --> 00:01:08.200]  從前你們是闇昧的
[00:01:08.200 --> 00:01:12.440]  但如今在主裏面是光明的
[00:01:12.440 --> 00:01:17.320]  行事爲人就當像光明的子女
[00:01:17.320 --> 00:01:19.280]  光明所結的果子
[00:01:19.280 --> 00:01:23.400]  就是一切良善公義誠實
[00:01:23.400 --> 00:01:29.520]  總要測驗何爲主所喜悅的事
[00:01:29.520 --> 00:01:30.600]  這裏提醒我們
[00:01:30.600 --> 00:01:33.720]  我們在主裏面是光明的
[00:01:33.720 --> 00:01:35.320]  光明就看得清楚了
[00:01:35.320 --> 00:01:37.120]  闇昧就看不清楚
[00:01:37.120 --> 00:01:37.960]  所以在主裏面
[00:01:37.960 --> 00:01:40.760]  我們光明的主照耀我們的道路
[00:01:40.760 --> 00:01:42.600]  照耀我們的內心
[00:01:42.600 --> 00:01:46.160]  來叫我們去結出光明的果子
[00:01:46.160 --> 00:01:49.160]  就是一切良善公義誠實
[00:01:49.160 --> 00:01:54.960]  然後他說總要測驗何爲主所喜悅的事
[00:01:54.960 --> 00:01:57.520]  上面是舉了一些例子
[00:01:57.520 --> 00:02:00.920]  但是他最後的小結
[00:02:00.920 --> 00:02:03.400]  就是說我們光明的果子
[00:02:03.400 --> 00:02:05.920]  看得清楚就是要測驗
[00:02:05.920 --> 00:02:09.120]  什麼是主所喜悅的事
[00:02:09.120 --> 00:02:14.480]  我們上一次就用了司西約翰做一個例子
[00:02:14.480 --> 00:02:16.920]  因爲人物比較具體一些
[00:02:16.920 --> 00:02:19.520]  我們讀過他的見證
[00:02:19.520 --> 00:02:22.600]  知道他就是爲真光作見證
[00:02:22.600 --> 00:02:24.080]  所以在這裏很配合
[00:02:24.080 --> 00:02:26.680]  他是爲着真正的光
[00:02:26.680 --> 00:02:29.440]  耶穌基督做見證
[00:02:29.440 --> 00:02:31.280]  在約翰的生命當中
[00:02:31.280 --> 00:02:34.000]  聖經的記載雖然不是很多
[00:02:34.000 --> 00:02:38.000]  但是已經夠刻畫出他的人生很多方面
[00:02:38.000 --> 00:02:40.080]  他活出一個良善
[00:02:40.080 --> 00:02:43.200]  公義聖潔的生命
[00:02:43.200 --> 00:02:47.400]  來指斥罪惡 活出聖潔
[00:02:47.400 --> 00:02:49.720]  他勸人悔改
[00:02:49.720 --> 00:02:52.280]  也是過着一個非常誠實的生活
[00:02:52.280 --> 00:02:54.480]  因爲他是很正直的
[00:02:54.480 --> 00:02:55.880]  是誠實的
[00:02:55.880 --> 00:03:02.720]  去表達出他一些生命的質素
[00:03:02.720 --> 00:03:05.720]  就是一個很誠信的人
[00:03:05.720 --> 00:03:08.000]  一個正直誠信的人
[00:03:08.000 --> 00:03:11.040]  所以我們看到上一次我們看過一些
[00:03:11.040 --> 00:03:15.360]  是關乎約翰的生命的表現
[00:03:15.360 --> 00:03:18.720]  這些正是我們侍奉的質素
[00:03:18.720 --> 00:03:21.480]  所以侍奉不是在乎他做多少事
[00:03:21.480 --> 00:03:23.160]  懂得做多少事
[00:03:23.160 --> 00:03:25.000]  固然這些都是重要的
[00:03:25.000 --> 00:03:30.560]  但是那些都是表達出來的一些結果
[00:03:30.560 --> 00:03:33.360]  最重要的是他裏面的生命的內涵
[00:03:33.360 --> 00:03:34.600]  生命的質素
[00:03:34.600 --> 00:03:37.760]  有正確神所喜悅的質素
[00:03:37.760 --> 00:03:41.560]  就是在侍奉的時候才能夠蒙神的悅覽
[00:03:41.560 --> 00:03:43.960]  所以我們看到約翰他生命的質素
[00:03:43.960 --> 00:03:45.760]  就是我們今天同宮
[00:03:45.760 --> 00:03:48.800]  我們侍奉的人所需要有的
[00:03:48.800 --> 00:03:50.640]  所以今天我們在這個同宮就職禮
[00:03:50.640 --> 00:03:54.280]  也是我們一年開始一起侍奉的免禮當中
[00:03:54.280 --> 00:03:57.720]  實在是配合今年的主題
[00:03:57.720 --> 00:04:01.440]  測驗何謂神所喜悅的事
[00:04:01.440 --> 00:04:03.080]  我們看到施洗約翰
[00:04:03.080 --> 00:04:05.440]  成爲我們一個侍奉質素的榜樣
[00:04:05.440 --> 00:04:07.240]  不單止上一次講過的那些
