
[00:00:00.000 --> 00:00:06.440]  聖經時常用老鷹來形容一些的情境
[00:00:06.440 --> 00:00:09.640]  如鷹斬刺上藤
[00:00:09.640 --> 00:00:11.460]  我們很熟悉的經文
[00:00:11.460 --> 00:00:16.320]  但是你可知道老鷹也有不同的特性
[00:00:16.320 --> 00:00:19.720]  有些老鷹他的體型不大
[00:00:19.720 --> 00:00:22.920]  他們喜歡尋找新鮮的獵物
[00:00:22.920 --> 00:00:26.120]  他們會在上空優雅地盤旋
[00:00:26.120 --> 00:00:30.240]  然後預備體力等候那個獵物出現
[00:00:30.240 --> 00:00:31.440]  當機會來臨
[00:00:31.440 --> 00:00:34.900]  他們就全力衝刺直達目標
[00:00:34.900 --> 00:00:38.120]  他們被稱為獵鷹
[00:00:38.120 --> 00:00:40.440]  還有另外一種老鷹
[00:00:40.440 --> 00:00:42.720]  體型很巨大
[00:00:42.720 --> 00:00:45.560]  他們不喜歡新鮮獵物的
[00:00:45.560 --> 00:00:49.060]  他們的眼裡只有腐爛的肉
[00:00:49.060 --> 00:00:52.000]  那個是他們所尋找的東西
[00:00:52.000 --> 00:00:55.240]  他們以過去為生
[00:00:55.240 --> 00:00:57.280]  雖然看起來很巨大
[00:00:57.280 --> 00:01:03.600]  但是卻只願意用死去的東西來餵飽自己
[00:01:03.600 --> 00:01:06.400]  他們叫做禿鷹
[00:01:06.400 --> 00:01:07.720]  我在想
[00:01:07.720 --> 00:01:14.560]  這兩種老鷹似乎也代表著兩種面對突破的態度
[00:01:14.560 --> 00:01:16.880]  有些人像禿鷹
[00:01:16.880 --> 00:01:20.920]  很習慣的被動停在過去
[00:01:20.920 --> 00:01:22.800]  明明很有能力
[00:01:22.800 --> 00:01:26.440]  但是他們喜歡過期的味道
[00:01:26.440 --> 00:01:29.760]  不覺得說有必要突破跟改變
[00:01:29.760 --> 00:01:32.800]  而有些人像獵鷹
[00:01:32.800 --> 00:01:34.720]  是抓住機會的人
[00:01:34.720 --> 00:01:37.040]  我相信你們都是的
[00:01:37.040 --> 00:01:41.600]  在獵鷹翱翔在這個天空上面充滿活力
[00:01:41.600 --> 00:01:43.600]  不斷看向新的事物
[00:01:43.600 --> 00:01:47.200]  去尋找那些沒有探索過的地方
[00:01:47.200 --> 00:01:51.040]  勇敢去衝刺跟突破
[00:01:51.040 --> 00:01:56.200]  而也只有像獵鷹的人才能突破
[00:01:56.200 --> 00:01:59.400]  突破從來不是被動的
[00:01:59.400 --> 00:02:04.840]  突破的意思就是說要強行通過一些的障礙
[00:02:04.840 --> 00:02:08.120]  所以突破必須是主動的
[00:02:08.120 --> 00:02:12.280]  跟你旁邊的講突破要主動
[00:02:12.280 --> 00:02:17.440]  弟兄姊妹如果你已經厭倦了現在的信仰的狀態
[00:02:17.440 --> 00:02:19.720]  你覺得很平淡
[00:02:19.720 --> 00:02:21.320]  好像沒有改變
[00:02:21.320 --> 00:02:22.280]  沒有突破
[00:02:22.280 --> 00:02:24.520]  你需要主動突破
[00:02:24.520 --> 00:02:27.680]  不要被動的等待改變
