
[00:00:00.000 --> 00:00:01.240]  謝謝姐妹五元
[00:00:01.240 --> 00:00:04.200]  我有兩個小朋友
[00:00:04.200 --> 00:00:07.280]  一個四歲多,一個四個月
[00:00:07.280 --> 00:00:10.360]  所以我有兩次陪產的經驗
[00:00:10.360 --> 00:00:15.400]  特別第一次陪產的印象是挺深的
[00:00:15.400 --> 00:00:17.920]  還沒進去陪產之前
[00:00:17.920 --> 00:00:21.440]  我都會經常想那個經驗會不會好像在電視劇
[00:00:21.440 --> 00:00:24.200]  看到產房的情況那樣
[00:00:24.200 --> 00:00:26.400]  如果大家記得電視劇的描述
[00:00:26.400 --> 00:00:28.600]  就是很淒厲的叫聲
[00:00:28.600 --> 00:00:31.280]  我以後都不生了,我死都不生了
[00:00:31.280 --> 00:00:33.840]  就是這些很痛苦的叫聲
[00:00:33.840 --> 00:00:36.600]  當第一次進去的時候就發現
[00:00:36.600 --> 00:00:39.800]  電視劇的片段是挺真實的
[00:00:39.800 --> 00:00:45.360]  進去之後很多的媽媽在作動準備要生的時候
[00:00:45.360 --> 00:00:47.440]  是很痛苦的過程
[00:00:47.440 --> 00:00:51.000]  而且也要等一段時間經歷這個痛苦
[00:00:51.000 --> 00:00:54.040]  包括我的太太
[00:00:54.040 --> 00:00:56.560]  我第一次進去陪產的時候
[00:00:56.560 --> 00:00:59.520]  看到太太真的是非常痛苦的
[00:00:59.520 --> 00:01:02.680]  痛到她有幾次捉住我的手
[00:01:02.680 --> 00:01:05.520]  從來都沒見過她這麼大力的
[00:01:05.520 --> 00:01:09.040]  捉住我的手,差點弄傷我的手
[00:01:09.040 --> 00:01:11.480]  我要用力去擋住她
[00:01:11.480 --> 00:01:13.560]  是很痛苦的過程
[00:01:13.560 --> 00:01:16.360]  我站在旁邊基本上也沒什麼可以做的
[00:01:16.360 --> 00:01:21.120]  陪她,安撫她,幫她按摩一點
[00:01:21.120 --> 00:01:24.480]  但是對我自己來說也是很焦急
[00:01:24.480 --> 00:01:27.960]  很想這些痛苦的時間快點過去
[00:01:27.960 --> 00:01:31.480]  我記得第一次陪產的時候
[00:01:31.480 --> 00:01:35.200]  有個清潔姐姐進來房間裡
[00:01:35.200 --> 00:01:37.920]  清理完垃圾就離開
[00:01:37.920 --> 00:01:41.040]  那個清潔姐姐看一看我的太太
[00:01:41.040 --> 00:01:42.120]  然後就說
[00:01:42.120 --> 00:01:43.560]  你現在很痛嗎?
[00:01:43.560 --> 00:01:46.000]  一會兒更痛,進了我的產房
