
[00:00:00.000 --> 00:00:04.160]  很高興再一次回到大家當中的正道
[00:00:04.160 --> 00:00:09.140]  就說「敵人」這兩個字我們很少用
[00:00:09.140 --> 00:00:12.200]  因為打仗的時候就會
[00:00:12.200 --> 00:00:18.260]  大家知道烏克蘭和俄羅斯開了火差不多大半年的時間
[00:00:18.260 --> 00:00:21.100]  他們經常都會說對方就是敵人
[00:00:21.100 --> 00:00:23.020]  我們平時有沒有敵人呢?
[00:00:23.020 --> 00:00:24.160]  大家有沒有敵人呢?
[00:00:24.160 --> 00:00:27.460]  有沒有一些你很討厭的人視他為敵呢?
[00:00:27.460 --> 00:00:30.400]  不多不少我有時候都會,雖然我們不用「敵人」這個字
[00:00:30.400 --> 00:00:34.680]  但我心想「我好不喜歡他,我見到他就要掉頭走」
[00:00:34.680 --> 00:00:39.640]  可能那個是你小學時候偷了筆袋的旁邊的同學
[00:00:39.640 --> 00:00:41.920]  就是這麼多年後還想著他的
[00:00:41.920 --> 00:00:46.160]  又說可能你現在上班,經常插在你的背上的同事
[00:00:46.160 --> 00:00:47.600]  都是你的敵人
[00:00:47.600 --> 00:00:50.920]  所以我們不多不少有些人我們是不喜歡的
[00:00:50.920 --> 00:00:55.000]  但是我們見到同一個共同的敵人,大家知道的就是魔鬼
[00:00:55.000 --> 00:01:00.840]  如果大家是信主內的,都知道魔鬼是以神為敵
[00:01:00.840 --> 00:01:04.520]  我們屬神的人就以魔鬼為敵
[00:01:04.520 --> 00:01:08.720]  但是有一個共同的敵人,無論你有沒有信主都好
[00:01:08.720 --> 00:01:10.240]  或者信主多久都好
[00:01:10.240 --> 00:01:12.700]  這個敵人是什麼呢?就是時間
[00:01:12.700 --> 00:01:15.960]  時間就是我們最大的敵人,大家知不知道?
[00:01:15.960 --> 00:01:18.840]  如果你不信的話,你打開你的臉書
[00:01:18.840 --> 00:01:20.540]  看回十年前的照片
[00:01:20.540 --> 00:01:23.320]  你就知道你自己變了多少,是不是?
[00:01:23.320 --> 00:01:28.880]  這個真是我們的敵人,這個亦都是我們不會打得贏的仗
[00:01:28.880 --> 00:01:31.320]  這個敵人我們不可以消除的
[00:01:31.320 --> 00:01:36.000]  很多時候我們趕功課,小朋友讀書
[00:01:36.000 --> 00:01:40.800]  或者我們成人出來工作,都有時要趕Deadline,趕Project
[00:01:40.800 --> 00:01:44.880]  要什麼時候做完的,但是沒有時間,時間越來越少
[00:01:44.880 --> 00:01:47.880]  那變了時間就是我們的敵人,是不是?
[00:01:47.880 --> 00:01:51.920]  或者你趕時間,你趕乘巴士,還有兩分鐘就要乘巴士
[00:01:51.920 --> 00:01:55.200]  但是要跑去的,我們經常都做過這些事情,是不是?
[00:01:55.200 --> 00:02:00.120]  那麼這個時間是我們的敵人
[00:02:00.120 --> 00:02:03.160]  那麼在《全道書》三章十一節那裡
[00:02:03.160 --> 00:02:06.880]  剛才那一段是很短的經文,但裡面有很多的意思
[00:02:06.880 --> 00:02:11.800]  它說「神造萬物,在國安其時成為美好」
[00:02:11.800 --> 00:02:15.120]  原來時間是神去做出來的
[00:02:15.120 --> 00:02:18.240]  但是祂造萬物的時候,祂是惡按國安其時
[00:02:18.240 --> 00:02:22.920]  有次序的,有規矩的,成為一個很美好的世界
[00:02:22.920 --> 00:02:25.960]  大家如果看回《創世記》一章三至五節
[00:02:25.960 --> 00:02:29.000]  大家很熟悉這句說話,就是神說
[00:02:29.000 --> 00:02:31.800]  「要有光,就有了光」,是不是?
[00:02:31.800 --> 00:02:37.560]  「神是看光是好的,於是神就把光和暗分開」
[00:02:37.560 --> 00:02:40.480]  「神稱光為咒,稱暗為夜」
[00:02:40.480 --> 00:02:42.400]  「有晚晨有早晨,這是第一日」
[00:02:42.400 --> 00:02:47.640]  這個小學,我們主要學已經要唸的金句
[00:02:47.640 --> 00:02:49.560]  「Let there be light」
[00:02:49.560 --> 00:02:51.840]  神說「要有光,就有光」
[00:02:51.840 --> 00:02:55.400]  很多時候我們就不太明白光是什麼
[00:02:55.400 --> 00:02:58.200]  如果你要研究一下《創世記》的人就知道
[00:02:58.200 --> 00:03:00.760]  它因為光不是太陽月亮
[00:03:00.760 --> 00:03:03.480]  太陽月亮要到第四天才做的
[00:03:03.480 --> 00:03:06.080]  不信大家看下去一章十四節那裡
[00:03:06.080 --> 00:03:08.040]  它說到第四天
[00:03:08.040 --> 00:03:11.760]  神說「天上要有光睇,來分咒夜」
[00:03:11.760 --> 00:03:15.720]  「讓他們作記號,定季節,日子年份」
[00:03:15.720 --> 00:03:20.120]  「他們要在天空發光,照在地上,事就寫樣成了」
[00:03:20.120 --> 00:03:22.400]  「於是神造了兩個大光睇」
[00:03:22.400 --> 00:03:25.840]  「大的管咒,小的管夜,又造了星辰」
[00:03:25.840 --> 00:03:29.240]  「神把這些光睇擺列在天空」
[00:03:29.240 --> 00:03:33.280]  「照在地上,管理咒夜,分別光暗」
[00:03:33.280 --> 00:03:35.200]  「神看為好的」
[00:03:35.200 --> 00:03:37.440]  「有晚晨有早晨是第四日」
[00:03:37.440 --> 00:03:40.880]  那就是證明第一日那個光就不是太陽月亮
[00:03:40.880 --> 00:03:42.040]  那是什麼光?
[00:03:42.040 --> 00:03:44.560]  太陽月亮還沒出來,那為什麼會有光?
[00:03:44.560 --> 00:03:47.600]  當然有很多很多不同的理論
[00:03:47.600 --> 00:03:51.080]  有些人就說這個可能就是證明是大爆炸論
[00:03:51.080 --> 00:03:53.320]  記得那時候我讀中學的時候
[00:03:53.320 --> 00:03:55.840]  剛剛開始流行說大爆炸論
[00:03:55.840 --> 00:03:57.440]  Big Bang Theory
[00:03:57.440 --> 00:04:00.600]  就是宇宙開始的時候是一個很大的爆炸
[00:04:00.600 --> 00:04:04.240]  那就證明這個光就是爆炸出來發出的光
