
[00:00:00.000 --> 00:00:02.000]  政治媒體平安
[00:00:02.000 --> 00:00:08.000]  一個其實在史道行傳的經文裏面
[00:00:08.000 --> 00:00:14.000]  不算是相當叫做熱門或者是出名的經文
[00:00:14.000 --> 00:00:17.000]  你望落去的事情
[00:00:17.000 --> 00:00:23.000]  從史道行傳這麼大的一個的宗教的改變
[00:00:23.000 --> 00:00:25.000]  聖靈的工作裏面
[00:00:25.000 --> 00:00:30.000]  它都不是一件光天動地的事情
[00:00:30.000 --> 00:00:32.000]  最簡單的分題
[00:00:32.000 --> 00:00:35.000]  十三章第一節至到第五節
[00:00:35.000 --> 00:00:37.000]  總之就是說
[00:00:37.000 --> 00:00:40.000]  上帝感召了五個人出來
[00:00:40.000 --> 00:00:43.000]  誰誰誰我們肯定很熟悉的
[00:00:43.000 --> 00:00:44.000]  會有巴拿巴和保羅
[00:00:44.000 --> 00:00:46.000]  就去傳福音
[00:00:46.000 --> 00:00:48.000]  然後去到一個地方
[00:00:48.000 --> 00:00:49.000]  很典型的
[00:00:49.000 --> 00:00:51.000]  史道行傳都會出現
[00:00:51.000 --> 00:00:54.000]  或者是在耶穌行神的過程都會出現
[00:00:54.000 --> 00:00:56.000]  首先有敵黨者出現
[00:00:56.000 --> 00:01:01.000]  有敵黨者來到去想限制著使徒的工作
[00:01:01.000 --> 00:01:04.000]  然後在他們五個裏面
[00:01:04.000 --> 00:01:07.000]  很明顯有一個突出了的人出來
[00:01:07.000 --> 00:01:08.000]  我們叫他飆了出來
[00:01:08.000 --> 00:01:09.000]  保羅
[00:01:09.000 --> 00:01:11.000]  平靜望著
[00:01:11.000 --> 00:01:13.000]  講幾句話
[00:01:13.000 --> 00:01:16.000]  那個術士隻眼就瞎了
[00:01:16.000 --> 00:01:20.000]  然後他的頂頭上司就順了主了
[00:01:20.000 --> 00:01:23.000]  如果這件事發生在現代
[00:01:23.000 --> 00:01:25.000]  就當然是神蹟
[00:01:25.000 --> 00:01:26.000]  嘩 好勁
[00:01:26.000 --> 00:01:27.000]  估不到
[00:01:27.000 --> 00:01:31.000]  但如果你在眾多的神蹟
[00:01:31.000 --> 00:01:34.000]  或者是大事的史道行傳裏面
[00:01:34.000 --> 00:01:38.000]  真是很一般的事情
[00:01:38.000 --> 00:01:41.000]  我今日嘗試將它分開三方面去看
[00:01:41.000 --> 00:01:44.000]  尤其我們去到年尾
[00:01:44.000 --> 00:01:46.000]  我們去到年尾
[00:01:46.000 --> 00:01:50.000]  看回我們的宣教工作
[00:01:50.000 --> 00:01:55.000]  看回我們教會面對前面要走的路
[00:01:55.000 --> 00:01:59.000]  看回我們每個人內心 心靈
[00:01:59.000 --> 00:02:03.000]  有沒有同樣有盲的地方呢
[00:02:03.000 --> 00:02:07.000]  我們嘗試從這些方面先來看看
[00:02:07.000 --> 00:02:11.000]  我們先再看回十三章第一節至第五節
[00:02:11.000 --> 00:02:15.000]  當時教會已經不是再純粹
