
[00:00:00.000 --> 00:00:02.640]  好,頂梓湖早晨
[00:00:02.640 --> 00:00:08.560]  今天已經是五月的第三個星期
[00:00:08.560 --> 00:00:14.720]  我們繼續藉著聆聽神的話語去敬拜上帝
[00:00:14.720 --> 00:00:19.360]  《少林傳》四章二十三到三十一節
[00:00:19.360 --> 00:00:21.280]  經文最後三十一節說
[00:00:21.280 --> 00:00:23.720]  祂們祈願禱咒什麼?
[00:00:23.720 --> 00:00:26.240]  震動啊
[00:00:26.240 --> 00:00:28.920]  我們要搬到火車路旁邊
[00:00:28.920 --> 00:00:31.880]  但是這個很神奇
[00:00:31.880 --> 00:00:35.760]  你在《少林傳》見到很多神蹟奇事
[00:00:35.760 --> 00:00:36.920]  經文也有說
[00:00:36.920 --> 00:00:42.200]  最後二十九、三十、三十一節也說
[00:00:42.200 --> 00:00:47.000]  祂們祈求神的能力
[00:00:47.000 --> 00:00:49.120]  繼續好像和耶穌一起
[00:00:49.120 --> 00:00:53.680]  和使徒和門徒同在
[00:00:53.680 --> 00:00:57.000]  祈禱是我們生命很重要的事情
[00:00:57.000 --> 00:01:00.280]  是不是呢? 頂梓湖
[00:01:00.280 --> 00:01:01.760]  我覺得不是
[00:01:01.760 --> 00:01:04.480]  我記得以前
[00:01:04.480 --> 00:01:09.440]  我初信主是回窩福堂的
[00:01:09.440 --> 00:01:11.920]  我想這個
[00:01:11.920 --> 00:01:15.760]  可能沒有人比我更早回窩福堂
[00:01:15.760 --> 00:01:18.960]  這樣說不知道有沒有人不服呢?
[00:01:18.960 --> 00:01:21.240]  其實我1981年就回窩福堂
[00:01:21.240 --> 00:01:27.520]  1981年距離了多少年?
[00:01:27.520 --> 00:01:30.960]  我還記得我穿著中六的校服
[00:01:30.960 --> 00:01:36.320]  中六
[00:01:36.320 --> 00:01:37.880]  但是很快
[00:01:37.880 --> 00:01:40.480]  教會有分堂
[00:01:40.480 --> 00:01:45.880]  我去了沙田的康福堂
[00:01:45.880 --> 00:01:48.280]  嚇到我了
[00:01:48.280 --> 00:01:50.920]  然後我又回到彩福堂
[00:01:50.920 --> 00:01:53.760]  因為我家住在彩雲邨
[00:01:53.760 --> 00:01:56.320]  在沙田的時候我住在我哥哥家裡
[00:01:56.320 --> 00:02:01.240]  後來我結婚前就去了恩福堂
[00:02:01.240 --> 00:02:03.960]  我記得當我讀完傳道出來
[00:02:03.960 --> 00:02:07.440]  我就去崇拜之前的祈禱會
