
[00:00:00.000 --> 00:00:01.800]  各位家長早晨
[00:00:01.800 --> 00:00:03.800]  今天是兒童主日
[00:00:03.800 --> 00:00:09.340]  大家覺得我們教會重不重視兒童呢?
[00:00:09.340 --> 00:00:11.340]  很重視
[00:00:11.340 --> 00:00:15.340]  我記得我在2009年加入太古聖堂侍奉的時候
[00:00:15.340 --> 00:00:18.140]  第一年參加我們教會的感恩家會
[00:00:18.140 --> 00:00:21.140]  在除夕的時間
[00:00:21.140 --> 00:00:23.500]  我都忘記了是晚上還是下午了
[00:00:23.500 --> 00:00:26.480]  感恩家會裏面有一個環節
[00:00:26.480 --> 00:00:28.480]  就是抽獎項目
[00:00:28.480 --> 00:00:31.480]  凡是抽獎有些人抽到有些人抽不到
[00:00:31.480 --> 00:00:35.480]  當時兒童部導師就想得很周詳
[00:00:35.480 --> 00:00:38.480]  如果抽獎的時候有些小朋友抽不到
[00:00:38.480 --> 00:00:40.480]  他們就會很失望
[00:00:40.480 --> 00:00:42.480]  萬一小朋友不開心
[00:00:42.480 --> 00:00:44.480]  所以兒童部就為每一個出席的小朋友
[00:00:44.480 --> 00:00:46.480]  預備一份禮物
[00:00:46.480 --> 00:00:48.480]  所以他們就很開心了
[00:00:48.480 --> 00:00:50.480]  當時我看過太古聖堂
[00:00:50.480 --> 00:00:51.480]  真的很疼愛小朋友
[00:00:51.480 --> 00:00:53.480]  很想他們很開心
[00:00:53.480 --> 00:00:57.480]  其實教會真的很重視兒童
[00:00:57.480 --> 00:01:00.480]  因為我們學了很多資源在兒童那裏
[00:01:00.480 --> 00:01:03.480]  今天我想和大家一起思想一下
[00:01:03.480 --> 00:01:07.480]  合乎神心意的兒童侍工應該是怎樣的呢?
[00:01:07.480 --> 00:01:10.480]  尤其是針對我們心態方面
[00:01:10.480 --> 00:01:16.480]  我就參考了這本書
[00:01:16.480 --> 00:01:19.480]  《看待兒童侍工的幾個態度》
[00:01:19.480 --> 00:01:22.480]  這本書叫《Rock Solid Kids》
[00:01:22.480 --> 00:01:24.480]  是Avana所出的
[00:01:24.480 --> 00:01:28.480]  其中提到有幾種教會的領袖
[00:01:28.480 --> 00:01:29.480]  或者教會的領事姊妹
[00:01:29.480 --> 00:01:31.480]  他們看待兒童侍工的時候
[00:01:31.480 --> 00:01:33.480]  他們有什麼態度呢?
[00:01:33.480 --> 00:01:34.480]  第一種
[00:01:34.480 --> 00:01:36.480]  認為兒童是麻煩的
[00:01:36.480 --> 00:01:38.480]  因為小朋友會鬧彆扭
[00:01:38.480 --> 00:01:40.480]  又會吵又坐不穩
[00:01:40.480 --> 00:01:43.480]  所以教會是需要有兒童侍工
[00:01:43.480 --> 00:01:46.480]  因為為免小朋友騷擾了大人的崇拜
[00:01:46.480 --> 00:01:49.480]  教會就安排人手去照顧他們
[00:01:49.480 --> 00:01:52.480]  這個就是設立兒童侍工的目的
[00:01:52.480 --> 00:01:56.480]  所以兒童崇拜只不過是成人崇拜的附屬品
[00:01:56.480 --> 00:02:01.480]  目的就是為免小朋友去騷擾成人崇拜
[00:02:01.480 --> 00:02:04.480]  這個看法肯定是錯的
[00:02:04.480 --> 00:02:06.480]  第二個看法就是
[00:02:06.480 --> 00:02:08.480]  兒童是工具
[00:02:08.480 --> 00:02:10.480]  他們認為有效的兒童侍工
[00:02:10.480 --> 00:02:13.480]  就能夠讓教會接觸他們的家長
[00:02:13.480 --> 00:02:16.480]  所以兒童侍工是教會增長的手段
[00:02:16.480 --> 00:02:20.480]  這個看法也很實用
[00:02:20.480 --> 00:02:22.480]  但是不足夠
[00:02:22.480 --> 00:02:25.480]  可能有些教會領袖也會覺得
[00:02:25.480 --> 00:02:27.480]  如果多些小朋友來教會
[00:02:27.480 --> 00:02:29.480]  就能夠吸引家長來
[00:02:29.480 --> 00:02:30.480]  教會如果有什麼聚會
[00:02:30.480 --> 00:02:31.480]  不夠人參加
[00:02:31.480 --> 00:02:33.480]  就叫小朋友來
[00:02:33.480 --> 00:02:35.480]  於是家長就會來
[00:02:35.480 --> 00:02:39.480]  這個看法只不過是把小朋友當作工具
[00:02:39.480 --> 00:02:42.480]  第三種看法就是
[00:02:42.480 --> 00:02:44.480]  兒童是我們的未來
[00:02:44.480 --> 00:02:47.480]  這個就是薰火相傳的道理
[00:02:47.480 --> 00:02:50.480]  他們認為教會如果不做兒童侍工
[00:02:50.480 --> 00:02:52.480]  那麼基督教的信仰
[00:02:52.480 --> 00:02:54.480]  如何承傳下去呢?
[00:02:54.480 --> 00:02:56.480]  這個看法很真實
[00:02:56.480 --> 00:02:58.480]  也很重要
[00:02:58.480 --> 00:03:01.480]  但是同樣是不足
[00:03:01.480 --> 00:03:03.480]  小朋友不是工具
[00:03:03.480 --> 00:03:05.480]  不是讓教會可以藉著他們
[00:03:05.480 --> 00:03:07.480]  達到另一個目的
[00:03:07.480 --> 00:03:08.480]  一個手段
[00:03:08.480 --> 00:03:10.480]  當主耶穌說
[00:03:10.480 --> 00:03:12.480]  讓小孩子到我這裡來的時候
[00:03:12.480 --> 00:03:13.480]  祂沒有說
[00:03:13.480 --> 00:03:15.480]  讓小孩子到我這裡來
[00:03:15.480 --> 00:03:17.480]  因為他們是教會的未來
[00:03:17.480 --> 00:03:20.480]  主耶穌沒有這樣說
[00:03:20.480 --> 00:03:23.480]  第四個看法
[00:03:23.480 --> 00:03:26.480]  兒童是人
[00:03:26.480 --> 00:03:29.480]  當我們講到要關心人的時候
[00:03:29.480 --> 00:03:32.480]  是不是只想到成年人呢?
[00:03:32.480 --> 00:03:34.480]  我們有沒有想到
[00:03:34.480 --> 00:03:36.480]  當我們說關心人
[00:03:36.480 --> 00:03:38.480]  是包括所有人
[00:03:38.480 --> 00:03:39.480]  包括小朋友
[00:03:39.480 --> 00:03:41.480]  其實聖經裡面所有
[00:03:41.480 --> 00:03:44.480]  講到關於神和人的關係
[00:03:44.480 --> 00:03:48.480]  都包括小朋友在內
[00:03:48.480 --> 00:03:51.480]  例如在《約翰福音》三章十六節
[00:03:51.480 --> 00:03:52.480]  我們很熟悉的經文
[00:03:52.480 --> 00:03:55.480]  神愛世人
[00:03:55.480 --> 00:03:56.480]  今天我的講題是
[00:03:56.480 --> 00:03:57.480]  神愛世人
[00:03:57.480 --> 00:03:58.480]  不過是大世的世
[00:03:58.480 --> 00:04:00.480]  是小朋友的意思
[00:04:00.480 --> 00:04:01.480]  這個講題
[00:04:01.480 --> 00:04:03.480]  就是被小朋友啟發了我
