
[00:00:00.000 --> 00:00:02.000]  (主席)大英姊妹平安
[00:00:02.000 --> 00:00:06.000]  (主席)看看你旁邊的同學打聲招呼歡迎一下
[00:00:06.000 --> 00:00:14.000]  (主席)我回來討朕的感覺好像很依然不縮
[00:00:14.000 --> 00:00:18.000]  (主席)但其實我們都是大英姊妹
[00:00:18.000 --> 00:00:21.000]  (主席)希望我們能夠更加親密
[00:00:21.000 --> 00:00:24.000]  (主席)我們能夠在教會裏面彼此相愛
[00:00:24.000 --> 00:00:28.000]  (主席)今天要跟大家講一個題目
[00:00:28.000 --> 00:00:31.000]  (主席)叫做「以基督的心為心」
[00:00:31.000 --> 00:00:36.000]  (主席)這句說話有點像標題檔
[00:00:36.000 --> 00:00:39.000]  (主席)我們基督徒的標題
[00:00:39.000 --> 00:00:41.000]  (主席)我們經常聽到這個標題
[00:00:41.000 --> 00:00:43.000]  (主席)我相信我們每一個大英姊妹都聽過
[00:00:43.000 --> 00:00:45.000]  (主席)「以基督的心為心」
[00:00:45.000 --> 00:00:47.000]  (主席)我相信我們都很熟悉
[00:00:47.000 --> 00:00:49.000]  (主席)但我們要問究竟
[00:00:49.000 --> 00:00:52.000]  (主席)「以基督耶穌的心為心」是甚麼呢
[00:00:52.000 --> 00:00:54.000]  (主席)然後我們就回答
[00:00:54.000 --> 00:00:57.000]  (主席)就是「以基督耶穌的心為心」
[00:00:57.000 --> 00:01:00.000]  (主席)回答了就等於沒有回答
[00:01:00.000 --> 00:01:02.000]  (主席)我們又嘗試了解一下
[00:01:02.000 --> 00:01:05.000]  (主席)基督耶穌的心是甚麼呢
[00:01:05.000 --> 00:01:07.000]  (主席)我們可能會想到
[00:01:07.000 --> 00:01:12.000]  (主席)可能是愛、憐憫、饒恕
[00:01:12.000 --> 00:01:14.000]  (主席)可能有很多這些我們想
[00:01:14.000 --> 00:01:17.000]  (主席)關於神的我們就講
[00:01:17.000 --> 00:01:19.000]  (主席)這就是「基督耶穌的心為心」
[00:01:19.000 --> 00:01:21.000]  (主席)在早二十幾年前
[00:01:21.000 --> 00:01:23.000]  (主席)可能都三十年了
[00:01:23.000 --> 00:01:25.000]  (主席)有首詩歌叫做「把冷漠變成愛」
[00:01:25.000 --> 00:01:27.000]  (主席)大家認不認識
[00:01:27.000 --> 00:01:35.000]  (主席)是否一起唱
[00:01:35.000 --> 00:01:37.000]  (主席)副歌我們一起唱出來
[00:01:37.000 --> 00:01:39.000]  (主席)我打了歌詞在這裡
[00:01:39.000 --> 00:01:40.000]  (主席)這是副歌
[00:01:40.000 --> 00:01:43.000]  (主席)以基督的心為心
[00:01:43.000 --> 00:01:47.000]  (主席)以他的眼看世界
[00:01:47.000 --> 00:01:50.000]  (主席)你身邊的人需要你我
[00:01:50.000 --> 00:01:53.000]  (主席)把冷漠變成愛
[00:01:53.000 --> 00:01:56.000]  (主席)以基督的心為心
[00:01:56.000 --> 00:02:00.000]  (主席)以他的眼看世界
[00:02:00.000 --> 00:02:03.000]  (主席)這世界需要你我
[00:02:03.000 --> 00:02:06.000]  (主席)把冷漠變成愛
