
[00:00:00.000 --> 00:00:03.040]  各位Senior的早安
[00:00:03.040 --> 00:00:08.440]  希望將來有機會繼續聽大家說早安
[00:00:08.440 --> 00:00:13.160]  因為很掛念早安的回應
[00:00:13.160 --> 00:00:17.760]  今天我們繼續開始羅馬書裡的教導
[00:00:17.760 --> 00:00:20.880]  我們一月的主題繼續是講羅馬書
[00:00:20.880 --> 00:00:23.640]  今次的經文比較長
[00:00:23.640 --> 00:00:26.040]  這段經文比較複雜
[00:00:26.040 --> 00:00:32.280]  因為這兩次包括今天是講第九章和第十章的概覽
[00:00:32.280 --> 00:00:35.520]  以及下星期加分講第十一章
[00:00:35.520 --> 00:00:39.240]  都是比較我們不常處理的主題
[00:00:39.240 --> 00:00:40.280]  什麼主題呢?
[00:00:40.280 --> 00:00:43.160]  就是以色列人的歷史
[00:00:43.160 --> 00:00:44.440]  你可能會問
[00:00:44.440 --> 00:00:47.400]  我們已經說過很多舊約的人物
[00:00:47.400 --> 00:00:50.120]  我們之前說過Joseph
[00:00:50.120 --> 00:00:53.240]  說過Jabcock、Abraham那些
[00:00:53.240 --> 00:00:54.560]  說過很多人物
[00:00:54.560 --> 00:00:56.600]  但那些都是人物
[00:00:56.600 --> 00:01:02.640]  我們暫時還沒有討論很多關於以色列人整體的歷史
[00:01:02.640 --> 00:01:05.560]  所以我估計對我們很多人來說
[00:01:05.560 --> 00:01:08.040]  甚至不只是我們一群explorer
[00:01:08.040 --> 00:01:11.080]  可能是對很多教會裡很多人來說
[00:01:11.080 --> 00:01:15.240]  以色列人的歷史很陌生、很遙遠
[00:01:15.240 --> 00:01:17.440]  我記得過去這幾個月
[00:01:17.440 --> 00:01:19.720]  我又在小六去教主一學
[00:01:19.720 --> 00:01:21.840]  有一次他們教主一學
[00:01:21.840 --> 00:01:23.760]  其實很多時候都會說一些舊約的歷史
[00:01:23.760 --> 00:01:26.000]  即是說一些先知的歷史
[00:01:26.000 --> 00:01:28.880]  例如耶利米、以西傑
[00:01:28.880 --> 00:01:30.600]  如果你沒有聽過這些名字
[00:01:30.600 --> 00:01:32.520]  可以之後跟我說
[00:01:32.520 --> 00:01:35.160]  我可以教一些舊約主一學給大家
[00:01:35.160 --> 00:01:36.480]  說到這些的時候
[00:01:36.480 --> 00:01:39.040]  有一次有一個男生問我
[00:01:39.040 --> 00:01:40.760]  我們有些問問題的時間
[00:01:40.760 --> 00:01:42.240]  他就問我
[00:01:42.240 --> 00:01:45.480]  為什麼我們說這麼多以色列人的歷史呢?
[00:01:45.480 --> 00:01:47.160]  他說我們是中國人
[00:01:47.160 --> 00:01:50.280]  為什麼不說中國人歷史要說以色列人歷史呢?
[00:01:50.280 --> 00:01:53.400]  為什麼不說自己民族歷史呢?
[00:01:53.400 --> 00:01:57.160]  這個問題可能是我們不少人
[00:01:57.160 --> 00:02:00.320]  甚至我不知道是不是你所想的問題
[00:02:00.320 --> 00:02:02.560]  為什麼上帝會用以色列人
[00:02:02.560 --> 00:02:06.880]  會說這麼多跟以色列人有關的歷史呢?
[00:02:06.880 --> 00:02:10.520]  為什麼以色列人的歷史在聖經這麼重要呢?
[00:02:10.520 --> 00:02:13.720]  這個某程度上是保羅在《羅馬書》九節十一章
[00:02:13.720 --> 00:02:16.520]  想帶出一個很核心的問題來的
[00:02:16.520 --> 00:02:18.240]  當然今天是有以色列
[00:02:18.240 --> 00:02:22.320]  即是今天以色列已經在1948年復國
[00:02:22.320 --> 00:02:24.560]  所以今天是有以色列的國家
[00:02:24.560 --> 00:02:27.200]  可不可以去下一章看看
[00:02:27.200 --> 00:02:28.200]  對了
[00:02:28.200 --> 00:02:30.000]  今天當然有以色列的國家
[00:02:30.000 --> 00:02:31.920]  這個很明顯
[00:02:31.920 --> 00:02:34.560]  所以其實保羅在當時
[00:02:34.560 --> 00:02:36.480]  當時以色列還不是國家
[00:02:36.480 --> 00:02:38.840]  當時以色列不是國家
[00:02:38.840 --> 00:02:40.320]  是羅馬殖民地
[00:02:40.320 --> 00:02:41.800]  但是對保羅來說
[00:02:41.800 --> 00:02:44.480]  以色列的歷史是很重要
[00:02:44.480 --> 00:02:46.080]  所以在第八章
[00:02:46.080 --> 00:02:50.640]  說到聖靈怎樣幫我們面對生命挑戰的時候
[00:02:50.640 --> 00:02:53.240]  很有趣的是在第九到十一章
[00:02:53.240 --> 00:02:58.280]  其實很多人覺得是一個插曲
[00:02:58.280 --> 00:02:59.640]  或者是一個好像突然之間
[00:02:59.640 --> 00:03:04.720]  拆開他所說的以色列人歷史的一個分支
[00:03:04.720 --> 00:03:06.200]  但是回到第十二章
[00:03:06.200 --> 00:03:08.400]  我們看《羅馬書》整體的結構
[00:03:08.400 --> 00:03:09.880]  九節十一章是一個中間的
