
[00:00:00.000 --> 00:00:07.800]  大部分的基督徒對葡萄樹以枝子的比喻相當熟悉
[00:00:07.800 --> 00:00:14.000]  不過大家知不知道這個比喻是在什麼時候主耶穌說的呢?
[00:00:14.000 --> 00:00:18.000]  如果我們回到前聖經兩章的經文
[00:00:18.000 --> 00:00:21.000]  在《雕龍方言》的十三章
[00:00:21.000 --> 00:00:25.000]  那裡所記載的故事就是主耶穌為門徒洗腳
[00:00:25.000 --> 00:00:30.000]  大家都知道了 主耶穌是什麼時候幫門徒洗腳的
[00:00:30.000 --> 00:00:33.000]  是在最後的晚餐
[00:00:33.000 --> 00:00:37.000]  如果我們再看十四章
[00:00:37.000 --> 00:00:41.000]  十五章之前的一章 十四章的最後一節
[00:00:41.000 --> 00:00:48.000]  那裡主耶穌說的就是當主耶穌提到聖靈將要來臨的時候
[00:00:48.000 --> 00:00:50.000]  之後主耶穌就說
[00:00:50.000 --> 00:00:53.000]  「起來,我們走吧」
[00:00:53.000 --> 00:00:56.000]  在這句話之後就進入第十五章
[00:00:56.000 --> 00:00:58.000]  所以我們大概知道
[00:00:58.000 --> 00:01:02.000]  主耶穌在第十五章說的葡萄樹以枝子這個比喻
[00:01:02.000 --> 00:01:06.000]  大概他們已經出到戶外的地方
[00:01:06.000 --> 00:01:13.000]  大概他們正在走到喀西馬利縣的途中來講
[00:01:13.000 --> 00:01:21.000]  我估計主耶穌在路上看到葡萄樹的時候
[00:01:21.000 --> 00:01:23.000]  主耶穌就實地取材
[00:01:23.000 --> 00:01:29.000]  跟他的門徒講關於葡萄樹以枝子的比喻
[00:01:29.000 --> 00:01:35.000]  我們要明白在第十五章發生的事情
[00:01:35.000 --> 00:01:41.000]  距離主耶穌將要在十字架面對死亡
[00:01:41.000 --> 00:01:48.000]  將會被羅馬兵逮捕被拘捕的時間
[00:01:48.000 --> 00:01:55.000]  大概距離被拘捕大概是一個多兩個小時前左右的事情
[00:01:55.000 --> 00:01:58.000]  接著他就會被捉拿
[00:01:58.000 --> 00:02:01.000]  在被捉拿之後
[00:02:01.000 --> 00:02:04.000]  很明顯主耶穌就再不會有很多的機會
[00:02:04.000 --> 00:02:08.000]  來跟他的門徒再教導他們
[00:02:08.000 --> 00:02:10.000]  我想大家想一想
[00:02:10.000 --> 00:02:18.000]  當你和你的親人生離死別之前的一兩個小時
[00:02:18.000 --> 00:02:21.000]  你猜你會說些什麼呢?
[00:02:21.000 --> 00:02:25.000]  大概我們都不會說今晚天氣多好
[00:02:25.000 --> 00:02:32.000]  大概我們都不會說今晚的晚餐好不好吃
[00:02:32.000 --> 00:02:36.000]  大概主耶穌都不會在那個時間跟門徒說
[00:02:36.000 --> 00:02:40.000]  剛才和你們洗腳哪隻腳最臭
[00:02:40.000 --> 00:02:45.000]  大概主耶穌在那個一兩個小時前不會說這些事情
[00:02:45.000 --> 00:02:48.000]  大概那段時間主耶穌會說些什麼呢?
[00:02:48.000 --> 00:02:56.000]  大概會說一些對主耶穌來說是最重要的事情
[00:02:56.000 --> 00:02:58.000]  換言之在主耶穌的眼中
[00:02:58.000 --> 00:03:01.000]  在臨別之前的時間
[00:03:01.000 --> 00:03:05.000]  主耶穌就說了葡萄樹以枝子的比喻
[00:03:05.000 --> 00:03:11.000]  也告訴我們那個比喻所帶出來的訊息的意義
[00:03:11.000 --> 00:03:13.000]  是相當的重要
[00:03:13.000 --> 00:03:16.000]  我們一起看看這個比喻究竟說些什麼呢?
[00:03:16.000 --> 00:03:20.000]  如果我們回到今天我們所讀經文的第一節
[00:03:20.000 --> 00:03:22.000]  主耶穌就有這樣的宣稱
[00:03:22.000 --> 00:03:24.000]  我就是真的葡萄樹
[00:03:24.000 --> 00:03:26.000]  我父就是栽種的人
