
[00:00:00.000 --> 00:00:01.120]  親愛的姐妹
[00:00:01.120 --> 00:00:03.120]  很高興回到這裡
[00:00:03.120 --> 00:00:06.060]  大家在神的說話當中
[00:00:06.060 --> 00:00:08.060]  我們一起禱告
[00:00:08.060 --> 00:00:10.060]  天父上帝,我們感謝祢
[00:00:10.060 --> 00:00:12.060]  祢賜賜祢的說話
[00:00:12.060 --> 00:00:14.060]  祢也賜賜聖靈
[00:00:14.060 --> 00:00:16.060]  賜賜平安喜樂
[00:00:16.060 --> 00:00:18.060]  祢也讓我們能夠奉祢的名去祈求
[00:00:18.060 --> 00:00:20.060]  天父
[00:00:20.060 --> 00:00:22.060]  願以我們在世上的日子
[00:00:22.060 --> 00:00:24.060]  能夠活出祢的心意
[00:00:24.060 --> 00:00:26.060]  開我們的眼,開我們的心
[00:00:26.060 --> 00:00:28.060]  讓我們能夠融入祢的話語
[00:00:28.060 --> 00:00:30.060]  多謝祢
[00:00:30.060 --> 00:00:32.060]  祈禱奉耶穌基督的聖名祈求
[00:00:32.060 --> 00:00:34.060]  阿們
[00:00:34.060 --> 00:00:36.060]  香港有一個名勝
[00:00:36.060 --> 00:00:38.060]  很出名的,但不知道有沒有大家去過呢
[00:00:38.060 --> 00:00:40.060]  有沒有見過呀
[00:00:40.060 --> 00:00:42.060]  有沒有人上過去呀
[00:00:42.060 --> 00:00:44.060]  我就沒上過去啦
[00:00:44.060 --> 00:00:46.060]  我就離遠看到
[00:00:46.060 --> 00:00:50.060]  這個名勝叫什麼名呀
[00:00:50.060 --> 00:00:54.060]  忘夫山也好,忘夫石也好
[00:00:54.060 --> 00:00:56.060]  原來是一個故事
[00:00:56.060 --> 00:00:58.060]  其實應該說有很多版本的故事
[00:00:58.060 --> 00:01:02.060]  其實大意就是說
[00:01:02.060 --> 00:01:04.060]  有一個女人
[00:01:04.060 --> 00:01:06.060]  她丈夫出海
[00:01:06.060 --> 00:01:08.060]  行船
[00:01:08.060 --> 00:01:10.060]  於是一去
[00:01:10.060 --> 00:01:12.060]  很久都見不到
[00:01:12.060 --> 00:01:14.060]  事實上當時沒有WhatsApp
[00:01:14.060 --> 00:01:16.060]  船那邊也見不到信
[00:01:16.060 --> 00:01:18.060]  事實上
[00:01:18.060 --> 00:01:20.060]  以前的人行船
[00:01:20.060 --> 00:01:22.060]  似乎真的會斷綠親
[00:01:24.060 --> 00:01:26.060]  有些人看到這塊石頭
[00:01:26.060 --> 00:01:28.060]  很像一個婦人
[00:01:28.060 --> 00:01:30.060]  背著一個嬰兒
[00:01:30.060 --> 00:01:32.060]  望著海
[00:01:32.060 --> 00:01:34.060]  於是就作了這些故事出來
[00:01:34.060 --> 00:01:36.060]  能夠解釋
[00:01:36.060 --> 00:01:38.060]  一個浪漫的故事背後
[00:01:38.060 --> 00:01:40.060]  令人有很多遐想
[00:01:40.060 --> 00:01:42.060]  這個故事其實
[00:01:42.060 --> 00:01:44.060]  我覺得不單止是浪漫
[00:01:44.060 --> 00:01:46.060]  反而
[00:01:46.060 --> 00:01:48.060]  令我看到不是希望
[00:01:48.060 --> 00:01:50.060]  是一種絕望
[00:01:50.060 --> 00:01:52.060]  忘夫石的望
[00:01:52.060 --> 00:01:54.060]  似乎只是一個望
[00:01:54.060 --> 00:01:56.060]  是不是
[00:01:56.060 --> 00:01:58.060]  望到變成石
