
[00:00:00.000 --> 00:00:04.740]  剛剛講完了羅馬書的第四章
[00:00:04.740 --> 00:00:07.100]  羅馬書暫時告一段落
[00:00:07.100 --> 00:00:11.240]  我們說今年會講《路德記》和《薩姆異常》
[00:00:11.240 --> 00:00:14.500]  但是在這裏未講這兩部書的時候
[00:00:14.500 --> 00:00:16.100]  有少少的時間
[00:00:16.100 --> 00:00:19.380]  我可以加插一些單元的講道
[00:00:19.380 --> 00:00:21.580]  今天要講的就是
[00:00:21.580 --> 00:00:24.800]  神蹟、醫治和謊言的因次
[00:00:24.800 --> 00:00:26.840]  是否仍然存在
[00:00:26.840 --> 00:00:30.460]  這是很具爭議性的一個題目
[00:00:30.460 --> 00:00:32.940]  有很多人都有誤解
[00:00:32.940 --> 00:00:34.660]  對經文的誤解
[00:00:34.660 --> 00:00:35.760]  所以我們今天來看看
[00:00:35.760 --> 00:00:39.140]  究竟這些神蹟、醫治和謊言的因次
[00:00:39.140 --> 00:00:41.160]  是否仍然存在
[00:00:41.160 --> 00:00:44.640]  剛才我們讀了經文
[00:00:44.640 --> 00:00:48.940]  就是哥倫多前書的十二章九至十節
[00:00:48.940 --> 00:00:51.300]  請聽我再讀一次
[00:00:51.300 --> 00:00:54.600]  有人同一位聖靈領受信心
[00:00:54.600 --> 00:00:59.600]  有人由同一位聖靈領受醫治的因次
[00:00:59.600 --> 00:01:01.800]  又有人能行異能
[00:01:01.800 --> 00:01:04.200]  又有人能作先知
[00:01:04.200 --> 00:01:06.600]  又有人能辨別諸靈
[00:01:06.600 --> 00:01:08.840]  又有人能說謊言
[00:01:08.840 --> 00:01:11.300]  又有人能番謊言
[00:01:11.300 --> 00:01:16.960]  這一切都是由唯一的同一位聖靈所運行
[00:01:16.960 --> 00:01:21.740]  隨著自己的旨意分給各人的
[00:01:21.740 --> 00:01:26.440]  有沒有看到這裡說了有六種因次
[00:01:26.440 --> 00:01:30.140]  有神蹟、有醫治、有謊言
[00:01:30.140 --> 00:01:33.740]  有作先知辨別諸靈
[00:01:33.740 --> 00:01:37.660]  先知和辨別諸靈我不會在這篇讀
[00:01:37.660 --> 00:01:39.660]  希望遲些有時間
[00:01:39.660 --> 00:01:43.540]  今天主要是和大家看這四樣東西
[00:01:43.540 --> 00:01:49.140]  神蹟、醫治、謊言和謊言的翻譯
[00:01:49.140 --> 00:01:52.100]  我們先看看保羅告訴我們
[00:01:52.100 --> 00:01:57.240]  神給教會、給神指紋的因次是怎樣
[00:01:57.240 --> 00:02:00.240]  在哥倫多前書的十四章十二節
[00:02:00.240 --> 00:02:05.140]  說:「你們也是如此,既是切勿屬靈的因次,
[00:02:05.140 --> 00:02:09.440]  就當求多得造就教會的因次。」
[00:02:09.440 --> 00:02:11.940]  有沒有看到保羅給我們的教導
[00:02:11.940 --> 00:02:14.100]  「因次」是用來做什麼?
[00:02:14.100 --> 00:02:16.100]  是用來造就教會
[00:02:16.100 --> 00:02:19.040]  這一點是很重要的
[00:02:19.040 --> 00:02:23.440]  造就教會就是造就耶穌基督的肢體
[00:02:23.440 --> 00:02:26.540]  就是使得我們的教會能夠合一
[00:02:26.540 --> 00:02:29.340]  能夠有美好的見證
[00:02:29.340 --> 00:02:33.240]  這就是這些因次的目的
[00:02:33.240 --> 00:02:37.040]  最重要是用來造就教會
[00:02:37.040 --> 00:02:39.640]  其實在樹哥倫多前書的十二章
[00:02:39.640 --> 00:02:41.540]  和羅馬書的十二章
[00:02:41.540 --> 00:02:44.740]  都有不同屬靈因次的清班
[00:02:44.740 --> 00:02:47.340]  有很多不同屬靈的因次
[00:02:47.340 --> 00:02:52.340]  其實我們可以將這些屬靈的因次分為兩種
[00:02:52.340 --> 00:02:55.940]  第一種我稱為永久的、永恆的
[00:02:55.940 --> 00:02:59.340]  不是說你去到天堂還需要這些因次
[00:02:59.340 --> 00:03:02.140]  是地上永恆的因次
[00:03:02.140 --> 00:03:05.540]  這些因次就好像剛才哥倫多前書
[00:03:05.540 --> 00:03:07.740]  十四章十二節所說
[00:03:07.740 --> 00:03:10.740]  用來做什麼?造就教會
[00:03:10.740 --> 00:03:14.340]  所以我稱為永恆造就教會的因次
[00:03:14.340 --> 00:03:16.540]  這些因次是給信徒的
[00:03:16.540 --> 00:03:18.040]  是給教會的
[00:03:18.040 --> 00:03:20.740]  是要建立耶穌基督的肢體
[00:03:20.740 --> 00:03:22.940]  是要建立信徒
[00:03:22.940 --> 00:03:24.340]  另外一種
[00:03:24.340 --> 00:03:28.140]  我稱為暫時印證的因次
[00:03:28.140 --> 00:03:30.540]  這些只不過是暫時的
[00:03:30.540 --> 00:03:32.340]  用來印證什麼?
[00:03:32.340 --> 00:03:35.540]  用來印證神的話語
[00:03:35.540 --> 00:03:39.040]  這個因次不是造就教會的
[00:03:39.040 --> 00:03:40.640]  不是給教會的
[00:03:40.640 --> 00:03:42.940]  不是給信徒的
[00:03:42.940 --> 00:03:45.740]  主要是為了非信徒
[00:03:45.740 --> 00:03:49.140]  是用來證實神的話語
[00:03:49.140 --> 00:03:51.140]  在舊約、使徒時代
[00:03:51.140 --> 00:03:53.940]  神的確是賜下這些因次
[00:03:53.940 --> 00:03:56.740]  是給先知、是給使徒
[00:03:56.740 --> 00:03:59.940]  用來做什麼?證實神的話語
[00:03:59.940 --> 00:04:03.740]  證實這些有神蹟奇事異能的人
[00:04:03.740 --> 00:04:05.540]  的確是從神而來
[00:04:05.540 --> 00:04:08.140]  我們要聽從他們的話語
[00:04:08.140 --> 00:04:12.540]  這一個就是暫時印證的因次
[00:04:12.540 --> 00:04:13.940]  我再說一次
[00:04:13.940 --> 00:04:15.740]  這些不是給教會的
[00:04:15.740 --> 00:04:18.740]  因為不是造就教會的因次
[00:04:18.740 --> 00:04:21.940]  這些就是在哥倫多前書十二章
[00:04:21.940 --> 00:04:25.140]  九至十節所說的那四種
[00:04:25.140 --> 00:04:28.740]  今天我們要說的這些因次
[00:04:28.740 --> 00:04:31.740]  就是神蹟、醫治、謊言
[00:04:31.740 --> 00:04:33.740]  以及謊言的翻譯
[00:04:33.740 --> 00:04:35.740]  稍後我們會見到
[00:04:35.740 --> 00:04:40.340]  謊言其實是人會聽懂得的話語
[00:04:40.340 --> 00:04:41.940]  不是說你聽不明白的
[00:04:41.940 --> 00:04:45.540]  早期教會的謊言是這樣
[00:04:45.540 --> 00:04:48.540]  所以翻謊言的因次是什麼?
[00:04:48.540 --> 00:04:51.940]  是懂得翻譯這些語言
[00:04:51.940 --> 00:04:54.540]  這四種因次
[00:04:54.540 --> 00:04:58.140]  在舊約、甚至新約、使徒時代
[00:04:58.140 --> 00:04:59.740]  是有它的需要
[00:04:59.740 --> 00:05:02.740]  因為神的話語還未完備
[00:05:02.740 --> 00:05:04.940]  聖經的正典還未關閉
[00:05:04.940 --> 00:05:09.140]  還繼續有神的密事、有神的啟示
[00:05:09.140 --> 00:05:13.140]  所以繼續需要證明這些人的確是從神而來
[00:05:13.140 --> 00:05:14.540]  但是現在
[00:05:14.540 --> 00:05:19.540]  在我們這些相信聖經的肢體裏面已經毫無作用
[00:05:19.540 --> 00:05:22.740]  神的話語、聖經的正典
[00:05:22.740 --> 00:05:25.740]  已經關閉、已經完成了
[00:05:25.740 --> 00:05:28.540]  我們再不需要證明某些人
[00:05:28.540 --> 00:05:30.540]  是從神而來說的話
[00:05:30.540 --> 00:05:32.140]  就是神的啟示
[00:05:32.140 --> 00:05:36.140]  我們已經沒有這樣的需要
[00:05:36.140 --> 00:05:39.940]  今天我們會看三節的經文
[00:05:39.940 --> 00:05:43.540]  來看這些暫時印證的因次
[00:05:43.540 --> 00:05:45.540]  或者是使徒的因次
[00:05:45.540 --> 00:05:47.140]  哪三節的經文?
[00:05:47.140 --> 00:05:49.940]  哥倫多後書的十二章十二節
[00:05:49.940 --> 00:05:53.740]  馬可福音的十六章十七節到二十節
[00:05:53.740 --> 00:05:58.140]  以及希伯來書的二章三至四節
[00:05:58.140 --> 00:05:59.540]  我們先看第一節
[00:05:59.540 --> 00:06:02.740]  就是哥倫多後書的十二章十二節
[00:06:02.740 --> 00:06:06.740]  保祿說:「我在你們中間用百般的忍耐
[00:06:06.740 --> 00:06:09.340]  藉著神蹟奇事異能
[00:06:09.340 --> 00:06:12.340]  顯出使徒的憑據來」
[00:06:12.340 --> 00:06:13.740]  大家有沒有看到
[00:06:13.740 --> 00:06:17.140]  這些神蹟依治異能的因次
[00:06:17.140 --> 00:06:18.940]  是用來做什麼?
[00:06:18.940 --> 00:06:21.740]  顯出使徒的憑據
[00:06:21.740 --> 00:06:23.540]  很清楚
[00:06:23.540 --> 00:06:26.140]  使徒的條件是什麼?
[00:06:26.140 --> 00:06:29.340]  是要見過復活的主
[00:06:29.340 --> 00:06:32.340]  在使徒行轉的一章二十一節
[00:06:32.340 --> 00:06:34.140]  以及二十二節
[00:06:34.140 --> 00:06:36.540]  哥倫多前書的九章一節
[00:06:36.540 --> 00:06:38.740]  這些是使徒的條件
[00:06:38.740 --> 00:06:40.540]  使徒的憑據
[00:06:40.540 --> 00:06:44.140]  是懂得行這些神蹟奇事異能
[00:06:44.140 --> 00:06:47.340]  所以我們見到這些因次是給使徒的
[00:06:47.340 --> 00:06:50.540]  是作為他們的憑據
[00:06:50.540 --> 00:06:52.540]  第二節的經文
[00:06:52.540 --> 00:06:55.740]  馬可福音的十六章十七節到二十節
[00:06:55.740 --> 00:07:00.340]  這一段的經文是比較有爭議性的
[00:07:00.340 --> 00:07:03.740]  所以我需要做很多的解釋
[00:07:03.740 --> 00:07:07.940]  首先經文在馬可福音的十六章十四節
[00:07:07.940 --> 00:07:09.940]  說耶穌復活了之後
[00:07:09.940 --> 00:07:12.340]  祂就向門徒顯然
[00:07:12.340 --> 00:07:13.740]  然後就罵門徒
[00:07:13.740 --> 00:07:16.140]  你們的信心太小了
[00:07:16.140 --> 00:07:17.940]  那些人說我復活了
[00:07:17.940 --> 00:07:19.740]  你們居然不相信
[00:07:19.740 --> 00:07:22.140]  馬可福音的十六章十四節
[00:07:22.140 --> 00:07:23.940]  耶穌罵門徒
[00:07:23.940 --> 00:07:26.540]  然後在書十五至十六節
[00:07:26.540 --> 00:07:28.140]  祂又對他們說
[00:07:28.140 --> 00:07:30.340]  你們往普天下去
[00:07:30.340 --> 00:07:32.340]  傳福音給萬民聽
[00:07:32.340 --> 00:07:35.740]  信而受洗的必然不救
