
[00:00:00.000 --> 00:00:04.280]  被囚的保羅是一個自投羅網的見證人
[00:00:04.280 --> 00:00:10.360]  請頂姐妹們先替我們讀一段聖經
[00:00:10.360 --> 00:00:13.120]  我們先讀一段主要的經文
[00:00:13.120 --> 00:00:15.320]  在《思能傳》第25章
[00:00:15.320 --> 00:00:20.400]  我們讀8到11節
[00:00:20.400 --> 00:00:23.760]  有可以的請一起讀
[00:00:23.760 --> 00:00:25.760]  預備起
[00:00:25.760 --> 00:00:32.960]  保羅心變說:「無論猶太人的律法或是聖殿或是凱撒,我都沒有干犯。」
[00:00:32.960 --> 00:00:43.960]  但菲斯都要討猶太人的喜歡,就回答保羅說:「你願意上耶路撒冷去,在那裡為這些事受我的審判嗎?」
[00:00:43.960 --> 00:00:51.560]  保羅說:「我現在站在凱撒的審判台前,這就是我應當審判的地方。」
[00:00:51.560 --> 00:00:58.160]  「我並沒有對猶太人做過什麼不對的事,這也是你明明知道的。」
[00:00:58.160 --> 00:01:04.280]  「我若做了不對的事,犯了什麼該死的罪,就是死我也不辭。」
[00:01:04.280 --> 00:01:13.000]  「他們所控告我的事,若都不實,就沒有人能把我交給他們,我要向凱撒上訴。」
[00:01:13.000 --> 00:01:15.640]  《思能傳》第25章
[00:01:15.640 --> 00:01:20.000]  這裡說到保羅向凱撒上訴
[00:01:20.000 --> 00:01:24.800]  經文很清楚地說,特別是到26章尾
[00:01:24.800 --> 00:01:27.000]  基伯王說了一句話
[00:01:27.000 --> 00:01:34.800]  「如果保羅沒有向凱撒上訴,沒有向羅馬皇帝上訴,他應該可以得到自由。」
[00:01:34.800 --> 00:01:42.400]  今天這段經文,保羅已經在凱撒尼亞被軟禁、被囚
[00:01:42.400 --> 00:01:45.800]  已經有兩年,兩年有多
[00:01:45.800 --> 00:01:52.600]  自投羅網的見證人,今天我們會直接聆聽這段聖經
[00:01:52.600 --> 00:01:59.000]  去了解神如何使用保羅,這個愛邦人的仕途
[00:01:59.000 --> 00:02:02.800]  如何傳揚福音,如何將神的愛
[00:02:02.800 --> 00:02:06.400]  如何將神復活的真理見證出去
[00:02:06.400 --> 00:02:10.000]  讓我們一起在神面前禱告
[00:02:10.000 --> 00:02:14.600]  慈悲的天父,當我們要去見證你
[00:02:14.600 --> 00:02:18.600]  見證你的真實,見證你的真理
[00:02:18.600 --> 00:02:23.200]  見證你的愛是真的,你無條件的愛是真的
[00:02:23.200 --> 00:02:27.200]  去見證你復活的真理是真實的
[00:02:27.200 --> 00:02:30.200]  去見證耶穌基督是真實的時候
[00:02:30.200 --> 00:02:34.200]  至於我們,很容易會膽怯
[00:02:34.200 --> 00:02:36.000]  很容易會軟弱
[00:02:36.000 --> 00:02:37.600]  求你幫助我們
[00:02:37.600 --> 00:02:41.200]  讓保羅,你在他身上所做的工作
[00:02:41.200 --> 00:02:43.400]  成為我們今天的激勵
[00:02:43.400 --> 00:02:48.200]  主,願祢的真理在我們心裡得光強
[00:02:48.200 --> 00:02:51.200]  求聖靈引導我們的心
[00:02:51.200 --> 00:02:54.200]  聽我們從心祈禱,奉耶穌基督的聖名
[00:02:54.200 --> 00:02:55.200]  阿門
[00:03:14.200 --> 00:03:17.200]  你有否想過,神在期待我們
[00:03:17.200 --> 00:03:19.800]  真真正正地對付自己的生命
[00:03:19.800 --> 00:03:22.800]  真真正正地要改變
[00:03:22.800 --> 00:03:28.400]  不過有時候,你不改變也不行
[00:03:28.400 --> 00:03:31.200]  因為世界一直在催逼我們
[00:03:31.200 --> 00:03:35.200]  不單是周圍的環境去影響,催逼我們
[00:03:35.200 --> 00:03:38.800]  我們內裡的聖靈也會催逼我們
[00:03:38.800 --> 00:03:43.200]  如果你心裡有一份愛,有一份信念
[00:03:43.200 --> 00:03:46.200]  世界就會一直考驗你
[00:03:46.200 --> 00:03:50.200]  你有多麼相信,有多麼愛
[00:03:50.200 --> 00:03:53.200]  你的盼望有多真實
[00:03:53.200 --> 00:03:58.200]  我在網上看到一些手機
[00:03:58.200 --> 00:04:04.200]  你知道有些手機會把測試結果放出來
[00:04:04.200 --> 00:04:06.200]  有些測試結果很有趣
[00:04:06.200 --> 00:04:09.200]  那些叫做手機的撞擊測試
[00:04:09.200 --> 00:04:13.200]  以前還不是智能手機,也有這些測試
[00:04:13.200 --> 00:04:17.200]  任何一些產品,如果是貴一點
[00:04:17.200 --> 00:04:19.200]  當然便宜一點也會
[00:04:19.200 --> 00:04:22.200]  它就會測試一下碰撞
[00:04:22.200 --> 00:04:26.200]  會不會袋在衣袋裡面,會不會摘爛
[00:04:26.200 --> 00:04:31.200]  它承受到多少溫度、濕度
[00:04:31.200 --> 00:04:35.200]  我聽過以前製造了一些手機
[00:04:35.200 --> 00:04:39.200]  有些殼拿上二樓扔下來
[00:04:39.200 --> 00:04:41.200]  或者在桌子上推它到地上
[00:04:41.200 --> 00:04:44.200]  甚至找些東西打它,泡一下水
