
[00:00:00.000 --> 00:00:01.000]  領先輩平安
[00:00:01.000 --> 00:00:07.000]  我本來想著
[00:00:07.000 --> 00:00:09.000]  昨天也在想
[00:00:09.000 --> 00:00:11.000]  今天會不會大風大雨呢
[00:00:11.000 --> 00:00:15.000]  當大家都一起回到主經面前的時候
[00:00:15.000 --> 00:00:18.000]  一起去敬拜主、服侍主的時候
[00:00:18.000 --> 00:00:22.000]  我就真的覺得有一種風雨同路的感覺
[00:00:22.000 --> 00:00:24.000]  有一種心情在當中
[00:00:24.000 --> 00:00:28.000]  不過我不知道外面是否也沒有什麼風雨
[00:00:28.000 --> 00:00:30.000]  就好像很安靜那樣
[00:00:30.000 --> 00:00:32.000]  但是我猜
[00:00:32.000 --> 00:00:34.000]  雖然外面沒有什麼風雨
[00:00:34.000 --> 00:00:38.000]  但是我想我們在人生或者在日常生活裡面
[00:00:38.000 --> 00:00:42.000]  其實也可能面對著很多風風雨雨
[00:00:42.000 --> 00:00:46.000]  其實我們也是在一個風雨同路的當中
[00:00:46.000 --> 00:00:48.000]  我們一起去敬拜主、一起去服侍主
[00:00:48.000 --> 00:00:52.000]  特別今天那個題目
[00:00:52.000 --> 00:00:56.000]  我定的題目叫做「難為了爸爸」
[00:00:56.000 --> 00:01:02.000]  爸爸也是一個很多艱難、很多風雨的一位
[00:01:02.000 --> 00:01:06.000]  這樣問問大家在座
[00:01:06.000 --> 00:01:08.000]  應該也有爸爸吧
[00:01:08.000 --> 00:01:09.000]  應該有吧
[00:01:09.000 --> 00:01:11.000]  我應該看到一些爸爸的
[00:01:11.000 --> 00:01:18.000]  你有沒有曾經一閃的一些意念
[00:01:18.000 --> 00:01:23.000]  就是當你很累、很辛苦、很艱難的時候
[00:01:24.000 --> 00:01:26.000]  你就想
[00:01:26.000 --> 00:01:28.000]  早知道不做爸爸就好了
[00:01:28.000 --> 00:01:31.000]  有沒有?
[00:01:31.000 --> 00:01:32.000]  不用舉手
[00:01:32.000 --> 00:01:33.000]  千萬不要舉手
[00:01:33.000 --> 00:01:35.000]  千萬不要舉手
[00:01:35.000 --> 00:01:38.000]  不做爸爸
[00:01:38.000 --> 00:01:40.000]  現在不就好了嗎?
[00:01:40.000 --> 00:01:42.000]  好一點更加好了
[00:01:42.000 --> 00:01:45.000]  我也是爸爸
[00:01:45.000 --> 00:01:47.000]  所以我也很體會到
[00:01:47.000 --> 00:01:52.000]  現代今時今日去做爸爸有很多難處
[00:01:52.000 --> 00:01:54.000]  就是我們香港出了命
[00:01:54.000 --> 00:01:55.000]  我們生活壓力又大
[00:01:55.000 --> 00:01:57.000]  工作壓力又大
[00:01:57.000 --> 00:01:58.000]  我們社會
[00:01:58.000 --> 00:02:02.000]  甚至小朋友的教育都有很多不同的壓力
[00:02:02.000 --> 00:02:05.000]  雖然你說可以有工人幫忙
[00:02:05.000 --> 00:02:08.000]  但其實很多事情工人做不到的
[00:02:08.000 --> 00:02:12.000]  譬如很多學校有很多活動
[00:02:12.000 --> 00:02:13.000]  要家長去的
[00:02:13.000 --> 00:02:16.000]  有沒有家長都要出席
[00:02:16.000 --> 00:02:18.000]  或者今天可能
[00:02:18.000 --> 00:02:22.000]  其實都沒有說分誰做家務、誰照顧子女
[00:02:22.000 --> 00:02:24.000]  所以其實爸爸都要分擔的
[00:02:24.000 --> 00:02:27.000]  不是好像傳統的角色
[00:02:27.000 --> 00:02:28.000]  傳統的角色是怎樣?
[00:02:28.000 --> 00:02:29.000]  傳統的爸爸的角色是怎樣?
[00:02:29.000 --> 00:02:32.000]  傳統的爸爸的角色是一家之主
[00:02:32.000 --> 00:02:34.000]  不是煮飯的主
[00:02:34.000 --> 00:02:35.000]  一家之主
[00:02:35.000 --> 00:02:38.000]  就是承擔那些經濟
[00:02:38.000 --> 00:02:41.000]  賺了錢就可以了
[00:02:41.000 --> 00:02:43.000]  但現在不是
[00:02:43.000 --> 00:02:44.000]  現在是怎樣的?
[00:02:44.000 --> 00:02:46.000]  現在是社會都期望
[00:02:46.000 --> 00:02:48.000]  或者不用社會
[00:02:48.000 --> 00:02:50.000]  另一半都期望
[00:02:50.000 --> 00:02:51.000]  當中的另一半
[00:02:51.000 --> 00:02:53.000]  你都期望你的丈夫
[00:02:53.000 --> 00:02:57.000]  期望爸爸更加積極地投入在
[00:02:57.000 --> 00:02:59.000]  怎樣照顧子女
[00:02:59.000 --> 00:03:01.000]  家務、家務的事情上
[00:03:01.000 --> 00:03:03.000]  但是另一方面
[00:03:03.000 --> 00:03:06.000]  其實我們仍然很受
[00:03:06.000 --> 00:03:11.000]  我們傳統中國人的文化影響
[00:03:11.000 --> 00:03:12.000]  就是我們
[00:03:12.000 --> 00:03:14.000]  大部分我們都不懂
[00:03:14.000 --> 00:03:16.000]  或者我們的爸爸都不懂
